title,Endodontics Midterm Exam (Spring 2021),endo,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
The most common cause of root canal infection is:,Allergic reaction to a filling,Occlusal trauma,Bacteria and their byproducts,Periodontal breakdown,,C,
The most common cause of apical periodontitis is:,Allergic reaction to a root canal filling material,Periodontal disease,Systemic diseases,Bacteria and their byproducts,,D,
If the diagnosis of the pulp is ‘Irreversible pulpitis’ the treatment of choice is a root canal.,True,False,,,,A,
Clinically the best way to measure your working length is with:,Apex locator,Radiograph,3D scan,Apex locator and radiograph,Apex locator and 3D scan,D,
A necrotic tooth with a periapical radiolucency will most often not respond to cold testing.,True,False,,,,A,
The root canal should be hand instrumented up to at least what size k-file before proceeding to rotary.,10,20,25,30,,B,
A patient presents with a sinus tract associated with tooth #30. Tooth #30 has a periapical lesion. The periapical diagnosis is:,Symptomatic apical periodontitis,Chronic apical abscess,Acute apical abscess,Symptomatic irreversible pulpitis,,B,
The treatment of choice if a patient presents to the clinic with an acute apical abscess is to obtain drainage by initiating root canal therapy and a possible incision and drainage. The patient should usually also be given an antibiotic.,True,False,,,,A,
When making your access for the maxillary central incisor you should clear the incisal edge by at least 1.5 mm.,True,False,,,,B,
Patient presents with symptomatic irreversible pulpitis and is in severe pain. The patient should be given antibiotics after the first appointment.,True,False,,,,B,
Pulp necrosis with acute apical abscess with signs of systemic involvement is a good indicator for antibiotic prescription.,True,False,,,,A,
Patient presents with a previously endodontically treated tooth with a periapical lesion and a sinus tract present. There is pus draining out of the sinus tract. This is a good indicator for antibiotic prescription.,True,False,,,,B,
If a patient is not allergic to Penicillin then the first choice of antibiotics is usually clindamycin.,True,False,,,,B,
The best treatment for a patient with an acute apical abscess is.,Dental treatment (such as root canal therapy).,Incision and drainage,Antibiotics,All of the answer choices,,D,
If a sinus tract appears on the gingiva adjacent to tooth #4 that means the infection would definitely be coming from tooth #4.,True,False,,,,B,
The mandibular first molar most commonly has how many roots?,1,2,3,4,,B,
"When obturating, it is important to have tug back at slightly beyond the working length",True,False,,,,B,
When obturating the root canal which will you likely not need?,Glick,Endo explorer,Heat source,Ruler,,B,
A tooth that presents with a sinus tract will most often be symptomatic to percussion.,True,False,,,,B,
The best way to obtain an accurate endodontic diagnosis is:,Clinical exam,Patient interview,Radiographic exam,All of the answer choices,,D,
A tooth with a pulpitis will most often not respond to cold testing with endo ice.,Tue,False,,,,B,
The buccal extent of the access preparation for the maxillary molar should be ≥ 0.5 mm from the line bisecting the mesio-buccal and disto-buccal cusp tips.,True,False,,,,B,
"File sizing – “Size 30 .02, 31 mm” – what does the 31 represent?",Taper,Length,Tip size,Weight,,B,
Hand files are what taper?,02,04,06,08,,A,
Nickel titanium files are more flexible than stainless steel.,True,False,,,,A,
Tip of the instrument gets locked in the canal while the shaft continues to rotate inevitably leading to file separation. This defines:,Cyclic fatigue,Torsional strain,Torque force,Muscle fatigue,,B,
Case scenario:  You have finished your instrumentation up to a size 35 04 rotary file but the 35 04 gutta percha cone does not fit to your working length. This would be considered a ‘short fill’. The best solution would be to cut a small tip off of that gutta percha to allow for a better fit.,True,False,,,,B,
"Primary afferent neurons that are unmyelinated, have slow conduction velocity, and are associated with a dull, aching, or burning sensation. This describes:",A-delta fibers,C fibers,A-beta fibers,Sympathetic fibers,,B,
"Primary afferent neurons that are lightly myelinated, have a fast conduction velocity, and are believed to transmit a sharp or pricking sensation. This describes:",A-delta fibers,C fibers,A-beta fibers,Sympathetic fibers,,A,
A tooth with an apical diagnosis of symptomatic apical periodontitis must have periapical lesion (periapical radiolucency).,True,False,,,,B,
