title,Intro to Implants Exam 2 (Spring 2020),implants,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
An implant overdenture is an example of what type of implant supported prosthetic?,Cementable,Hybrid,Fixed,Removable,,D,
"During stage II surgery, a healing abutment serves what purpose?",Protects the implant prosthetic interface,Provides access to the head of the implant,Guides the soft tissue healing,All of the answer choices,,D,
Which of the following is NOT a type of implant impression coping?,Open tray,Custom body,Closed tray,Scan body,,B,
Which scenario would be a contra-indication to an open tray impression technique?,The implant head is 2mm sub gingival,The implant is in #8 spot and angulated buccally,You are restoring #2 and the patient has limited opening,There are multiple implants to be restored in the arch,,C,
A screw retained crown is always indicated where the implant placed is angulated.,True,False,,,,B,
Which of the following is an advantage for cement retained implant restoration?,Easy retrieval,Better esthetic potential,Less costly to produce,Less likely to have soft tissue inflammation post insertion,,B,
The placement position of the dental implant is entirely up to the surgeon.,True,False,,,,B,
A poorly placed implant is a failure of:,The surgeon,The restorative dentist,The patient,The insurance company,The surgeon AND The restorative dentist,E,
Which type of impression technique always requires the placement of the impression coping into the impression after removal from the patient’s mouth?,Digital,Open tray,Abutment level,Closed tray,None of the answer choices,D,
A torque wrench is used to confirm seating of an impression coping,True,False,,,,B,
It is imperative to capture soft tissue detail around an impression coping,True,False,,,,A,
The best way to verify that an impression coping or restoration is properly seated is:,Visually,By using your explorer to check the margins,Radiograph,By feel,,C,
"When seating an impression coping, you feel a gradual resistance to tightening the screw.",This is desirable as it indicates a tight fit,This means you are using the wrong driver,You should stop and remove the coping and evaluate the implant and coping,It depends on whether it is open or closed tray technique,,C,
It is easier to get a passive fit with which type of fixed restoration?,Cementable,Screw retained,Hybrid,They are all equal in ease,,A,
You have placed an implant restoration in a patient’s mouth and six months later they return saying the tooth feels “loose”.,You tell them that’s normal and dismiss them.,"You thank your Touro Faculty in your mind since you did a screw retained crown, check and adjust the bite and replace the screw.",You check the occlusion and adjust the bite and tell them it will tighten up in a few days.,You refer them to Dr. Rubin since the implant obviously failed.,,B,
"A different patient comes in and complains that a few days after you put their implant tooth in, their gum has been really sore, red, and bleeds (you are having a really bad day). You take a radiograph and see that there is a gap between the crown and your custom abutment, also there is some radiopaque stuff around the crown.",You send them to your hygienist and tell him/her to scale the implant,You refer them back to the surgeon for treatment,You tell the patient it is because of poor oral hygiene on their part and they need to do a better job cleaning,You kick yourself for not taking seating verification and post op radiographs and tell your front desk that you will be running behind or to reschedule your next patient since you will need to redo this restoration.,,D,
What materials can be milled for digital implant prosthetics?,Zirconia,PMMA,Surgical Guide Material,All of the answer choices,,D,
Why are screw-retained crowns preferred to cement-retained crowns?,Reduction in peri-implantitis risk,Improved retrievability,Improved aesthetics,Reduction in peri-implantitis risk AND Improved retrievability,,D,
Why would you consider restoring an implant with a cement-retained crown?,Because the lab bill costs less,Because the screw-access hole is coming out the facial aspect of the final restoration,Because it will last longer,All of the answer choices,,B,
