title,Removable Prosthodontics Final Exam (Fall 2017),rempros,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
When setting the maxillary posterior teeth what buccal surfaces form a straight line,buccal of premolars and mesial buccal of the first molar,lingual of molars and premolars,buccal of canines and laterals,buccal and lingual cusp tips,none of these,A,
The term used to describe the placement of retention grooves on the undersurface of teeth to enhance retention is called,diatorics,inversion,festooning,retaining,,A,
What is the name of the denture processing step where the denture is broken out of the flask,Deflasking,Festooning,Articulation,Layering,Veneering,A,
Posterior teeth that are monoplane have an inclination of,0 degrees,15 degrees,10 degrees,20 degrees,,A,
The maxillary central incisors should be set.,8-10 mm anterior to the incisive papilla,Lingual to the ridge,Lingual to the lower central incisors,On the ridge,,A,
"When selecting posterior teeth for the mandibular arch, the mesial distal length",does not have to accommodate 2 premolars and 2 molars,must accommodate all four posterior teeth,can accommodate teeth set on the ascending arch,must accommodate all selected maxillary teeth,,A,
The maxillary palatal cusp articulating with the lingual fossa of mandibular central fossa most closely resembles,a mortar and pestle,simple grinding,crossbite chewing,none of these,,A,
The mandibular anterior teeth,touches the plane of occlusion,is 1mm. below the plane of occlusion,follows the curve of spee,is set directly over the mandibular ridge,,A,
The processing procedure step where the flask is placed in boiling water to soften the wax is called,Dewaxing or Boil out,festooning,diatorics,muscle moulding,,A,
The anatomic landmark that may be used to identify a patient's midline when setting maxillary anterior teeth is called,incisive papilla,Buccal frenum,Rugae,Hamular notch,,B,
The primary objective when setting mandibular denture teeth is,Set the teeth such that the occlusal forces are distributed at right angles to the crest of the ridge,Set the teeth such that only the lingual cusps of the mandibular teeth are in contact,Set the teeth such that the anterior teeth have light contact,Set the teeth such that teeth are canine protected ridge,,A,
What is the most commonly used separating material used in processing a denture,Vaseline,Alcohol,Wax,Varnish,,A,
When setting up the mandibular posterior teeth what surfaces form a straight line,lingual surfaces of molars and premolars,buccal of canines,buccal and lingual cusp tips,none of these,,A,
The part of the mandibular posterior teeth that line up over the crest of the ridge is,central fossa,cusp tips,buccal of molars,buccal of premolars,,A,
All the maxillary anterior teeth touch the plane of occlusion except,lateral incisor,central incisors,canines,premolars,molars,A,
The curve of spee is formed by which of the following teeth,Maxillary 1st and 2nd molars,Mandibular premolars and molars,Mandibular molars only,Maxillary premolars and molars,Mandibular second molars,A,
How many implants are generally required to fabricate a maxillary denture with an open palate?,four,two,one,eight,,A,
What is the name of the implant part that is screwed into the implant body?,abutment,coping,attachment,pontic,,A,
In a complete denture the height of the cusp can determine the amount of force exerted on the ridge,True,False,,,,A,
In a lingualized occlusion,the maxillary palatal cusp touches the flat plane of the lower teeth,the maxillary buccal cusps contact the central fossa,teeth are generally set in crossbite,mandibular teeth are set 1 mm above the occlusal plane,,A,
The advantages of a lingualized occlusion include which of the following,easier to balance,upper posterior teeth can be set more buccally,helps to eliminate cheek biting,none of the above,all of the above,E,
Which maxillary anterior tooth has the greatest distal tilt?,lateral incisors,central incisors,canines,1st premolars,,C,
Mandibular molars and premolars are set up on a plane parallel to,the mandibular ridge,the ala tragus line,the incisive papilla,the maxillary plane of occlusion,,A,
Which mandibular anterior teeth are set with the least amount of distal tilt?,lower central incisors,lateral incisors,canines,none of these,,A,
The anterior portion of a maxillary occlusal rim,has a 15-degree pitch,is flat,is concave,is retrusive,,A,
Which statement is NOT TRUE concerning “occlusal rests”,They transfer the forces of occlusion to the long axis of the tooth,They maintain the vertical dimension of the prosthesis,They help with retention of the RPD,,,C,
Maxillary Major Connectors must :,Have relief from the hard palate,Connect to ALL parts of the RPD,Contact the lingual surfaces of the maxillary teeth,,,B,
The purpose of the “Indirect Retainer “is to?,To prevent rotation of the rpd saddle INTO the tissue,To prevent the rotation of the rpd saddle area away from the tissue,Will help increase retention of the rpd,,,B,
The fulcrum line about which the rpd will rotate is?,A line connecting the two most anterior occlusal rests,A line connecting the two most posterior occlusal rests,Is only important in class 3 and 4 RPD's,,,B,
A “Direct retention” unit must cover at least?,270 degrees of the tooth,90 degrees,180 degrees,All of the tooth,,C,
“Guide Planes” will:,Aid in retention,Gives us a path of insertion,Gives us a path of removal,All are true,,D,
In which order do we do tooth modifications?,Make occlusal rests then guide planes,Make guide planes and then occlusal rests,Does not matter which we do first,,,B,
The “Height of Contour” as determined by the surveyor:,Separates the Suprabulge from the infrabulge,may be adjusted by recontouring the tooth,may be adjusted by adjustment of the cast table on the surveyor,all are true,,D,
When we border mold the custom tray for a mandibular RPD:,We only border mold the The lingual border,We border mold the buccal and lingual border,We border mold the buccal and lingual borders in areas of the “free end” saddle area,,,C,
When we make a custom tray for a removable prosthesis the tray will be?,About 2mm short of the Mucobuccal fold,Right to the Mucobuccal fold,3-4 mm short of the Mucobuccal fold,,,A,
"When we border mold the area for a class 4 RPD, which muscle do we activate?",Buccinators,Orbicularis oris,Genioglossus,,,B,
The mandibular lingual bar:,Is in direct contact with the lingual mucosa,Is relieved from the oral mucosa,Can be flexible,,,B,
The maxillary major connectors are kept:,3mm from the free margin of the gingiva,6 mm from the free margin of the gingiva,Can contact the free margin of the gingiva,,,B,
"The shape of the occlusal rest is spoon shaped, with the deepest part towards the center of the tooth, and is approximately 2mm deep in the center, and 1.5 mm at the marginal ridge.",True,False,,,,A,
