title,Clinical Oral Radiology Exam 1 (Fall 2017),coralrad,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following does NOT apply to the #30 region?,Dental caries,Apical periodontitis,Missing mesial tooth structure,Root-canal treatment,,,D,images/coralrad-exam1-fall-2017/fig1.jpeg
"There are four radiopaque entities just superior to the maxilla, overlapping with the inferior nasal concha. Based on the radiodensity of these entities, what are the most likely made of?",Bone,Soft-tissue,Metal,Plastic,,,C,images/coralrad-exam1-fall-2017/fig2.jpeg
This radiograph is of a 60-year-old male. Which of the following best describes tooth #16?,Impacted,Taurodont,Root-canal treated,Has a PFM crown,,,A,images/coralrad-exam1-fall-2017/fig3.jpeg
Describe the borders of the object on the floor of maxillary sinus.,Moderately well-defined,Poorly-defined,,,,,A,images/coralrad-exam1-fall-2017/fig4.jpeg
Describe the internal structure of the object on the floor of maxillary sinus.,Radiopaque,Radiolucent,,,,,A,images/coralrad-exam1-fall-2017/fig5.jpeg
This radiograph is a:,Left maxillary periapical,Right maxillary periapical,Left maxillary bitewing,Right maxillary bitewing,,,B,images/coralrad-exam1-fall-2017/fig6.jpeg
Which of the following best describes the differences between images (a) and (b)? Image (a) Image (b),Different brightness,Different contrast,Different spatial resolution,Different type of radiograph,,,B,images/coralrad-exam1-fall-2017/fig7.jpeg
"Based on images (a), (b), and (c), which of the following best describes the #19/20 region? Image (a) Image (b) Image (c)",Dense bone island,Impacted supernumerary tooth,"Dense, reactive bone formation",Retained root fragment,,,A,images/coralrad-exam1-fall-2017/fig8.jpeg
Which of the following does NOT apply to the #10 region?,Periapical lucency,Calcified root canal,Periodontal bone loss,Coronal decay,,,D,images/coralrad-exam1-fall-2017/fig9.jpeg
Which of the following applies to the #11 region?,Widened PDL space,Calcified root canal,Root canal treatment,Coronal decay,,,C,images/coralrad-exam1-fall-2017/fig10.jpeg
Which of the following best describes the borders of the entity indicated by the red arrow in the #19 region?,Well-defined,Poorly-defined,,,,,A,images/coralrad-exam1-fall-2017/fig11.jpeg
Which of the following best describes the internal structure of the entity indicated by the red arrow in the #19 region?,Radiolucent,Radiopaque,,,,,B,images/coralrad-exam1-fall-2017/fig12.jpeg
"There are a few highly radiopaque flecks in the #19 region. Based on the overall radiographic presentation, which of these is most likely identity of the flecks?",Bony fragments,Fixed orthodontic appliance,Broken dental instrument,Retained pieces of dental restorative material,,,D,images/coralrad-exam1-fall-2017/fig13.jpeg
"Based on the radiographic presentation, what is the entity indicated by the red arrow in the #19 region most likely?",Dense bone island,Impacted supernumerary tooth,"Dense, reactive bone formation",Retained root fragment,,,D,images/coralrad-exam1-fall-2017/fig14.jpeg
Which of the following best describes the patient's overall caries condition?,Kissing caries,Localized caries,Gross caries,Class II lesion,,,C,images/coralrad-exam1-fall-2017/fig15.jpeg
Which of the following most accurately describes the overall condition of the PDL spaces?,All of the PDL spaces are within normal limits,All of the PDL spaces are widened,Some of the PDL spaces are widened,None of the PDL spaces cannot be visualized on this panoramic radiograph,,,C,images/coralrad-exam1-fall-2017/fig16.jpeg
What is the identity of the bilateral radiopaque entity indicated by the red arrow?,Hyoid bone,Ossified stylohyoid ligament,Styloid process,Carotid calcification,Calcified thyroid cartilage,,B,images/coralrad-exam1-fall-2017/fig17.jpeg
#20 appears to have a periapical lucency. Which of the following best describes the bone surrounding the #20 region?,Within normal limits,"Dense, reactive bone formation",Relatively radiolucent compared to surrounding bone,Hypervascular,,,C,images/coralrad-exam1-fall-2017/fig18.jpeg
#20 appears to have a periapical lucency. Which of the following is the most likely reason for this lucency?,Apical periodontitis,Mental foramen,Primary intraosseous carcinoma,Cemento-osseous dysplasia,,,A,images/coralrad-exam1-fall-2017/fig19.jpeg
Which of the following is NOT found in this panoramic radiograph?,Root canal treatment / gutta percha,Dental caries or missing restoration,Abnormally shaped mandibular condyles,Calculus,"Coronal restorations (Class I, II, III, IV, V, or VI)",,A,images/coralrad-exam1-fall-2017/fig20.jpeg
What type of radiographs are these?,Horizontal Bitewing,Periapical,Occlusal,Vertical bitewing,Panoramic,,D,images/coralrad-exam1-fall-2017/fig21.jpeg
Which of the following is NOT visualized in the radiographs,Class I restorations,Calculus,Periodontal bone loss,Apical periodontitis,,,D,images/coralrad-exam1-fall-2017/fig22.jpeg
"Based on the radiographic presentation, which of the following is most likely the patient's age?",<6,6 - 25,25 - 50,>50,,,D,images/coralrad-exam1-fall-2017/fig23.jpeg
Which GV Black classification of restoration would be most appropriate to place on teeth #24 and #25?,Class I,Class II,Class III,Class IV,Class V,Class VI,E,images/coralrad-exam1-fall-2017/fig24.jpeg
The radiolucency on the distal aspect of #8 is most likely:,Cervical burnout,Dental caries,Root canal treatment,Periapical lucency,,,B,images/coralrad-exam1-fall-2017/fig25.jpeg
