title,GDA Final Exam (Summer 2019),gda,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Statement 1: Puberty is a landmark of physical development. Statement 2: During pubery there is a redistribution of fat and an increase in muscle mass in both males and females.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,A,
"During adolescence, the head is the body part that grows most rapidly.",True,False,,,,,B,
What part of the brain is responsible for releasing factors that stimulate the pituitary cells to release gonadotropins?,Hypothalamus,Thalamus,Pons,Medulla,,,A,
A 10 year old male patient presents to your office with mom for his periodic exam and prophy. Mom is concerned that he is the shortest in the class. You assure mom that the patient has not yet had his adolescent growth spurt. At what age do boys reach the peak of their adolescent growth spurt and what is the average number of centimeters of growth at that age?,12 years; 9 cm,14 years; 10 cm,14 years; 9 cm,12 years; 10 cm,,,B,
Which of the following is not a change in the profile of a patient normally noted during adolescence?,Larger brow area due to pneumatization of the sinuses,Decreased prominence of the nose,Decreased prominence of the lips,Increased prominence of the chin due to bone deposition,,,B,
Which of the following is a true statement about the development of the sinuses?,Assymetrical sinuses are often a sign of pathology.,The sinuses expand laterally and horizontally after permanent teeth erupt.,Sinuses are fully developed during puberty but can expand later in life.,Sinuses often show bilateral assymetry.,,,D,
Which of the following type of bony growth results in increase in length and thickness as new bone is being laid down?,Sutural growth,Appositional growth,,,,,B,
Which of the following is not a growth site of the mandible?,Symphysis menti,Condylar cartilages,Posterior border of the ramus,Insertion site for the inferior alveolar nerve,All of the above are growth sites of the mandible,,D,
A gonial angle of less than 120 degrees will result in which face shape?,Square,Circle,Oval,,,,A,
An individual who has both a maxilla and a mandible that are posterior to the normal limits of the face would be desribed as having which of the following?,Bimaxillary retrognathism,Bimaxillary prognathism,Mandibular retrognathism,Maxillary prognathism,,,A,
If all permanent teeth have not erupted by age 13 a radiographic evaluation should be made to check for missing or unerupted teeth aside from third molars.,True,False,,,,,A,
Which of the following is not a consideration when treating adolescent patients?,Patients may have a greater freedom to snack and therefore are consuming more carbohydrates and refined sugars.,There is little to no tobacco or drug use in this population.,There is a greater potential for traumatic injury as patients become involved in competitive sports.,Adolescent patients are often not very well educated on periodontal disease.,,,B,
Which of the following is not a way that caries risk can be decreased in the adolescent population?,Fluoride applications until age 16.,Sealants on high caries risk individuals.,Proper oral hygiene instruction.,Diet counseling with patients and parents.,All of the above are correct.,,E,
"TMJD symptoms are more prevalent in adolescents than young children due to increases in stress from school, parents and peers.",True,False,,,,,A,
Oral contraceptives have no effect on periodontal tissue.,True,False,,,,,B,
Which of the following cells are responsible for the formation of dentin?,Ameloblasts,Odontoblasts,Cementoblasts,Dentinoblasts,,,B,
The usual order of primary tooth eruption is: central incisors followed by...,"first molars, lateral incisors, second molars, canines.","lateral incisors, first molars, second molars, canines.","lateral incisors, first molars, canines, second molars.","lateral incisors, canines, second molars, first molars.",,,C,
Radiographs of a patient show short roots and bulbous crowns with little to no pulp chambers prsent. What is the clinical name of this finding?,Ameologenesis Imperfecta,Dentinogenesis Imprefecta,Dens in dente,Taurodontism,,,B,
Which of the following are not accessional teeth?,Permanent third molars,Permanent second molars,Permanent canines,Permanent first molars,,,C,
In a normal set of dentition there are 20 primary teeth and 32 permanent teeth.,True,False,,,,,A,
A patient presents to your office with enamel hypocalcification. Your clinical findings include:,Chalky white spots,Intrinsic stains,Linear pits and fissures,Dark staining,,,A,
The primary canine is usually exfoliated between 12 and 13 years of age.,True,False,,,,,B,
Which tooth is most likely to be congenitally missing?,Maxillary lateral incisor,Mandibular lateral incisor,Mandibular second molars,Maxillary first molars,,,A,
Tetracycline staining is a result of the drug chelating with iron during the calcification stage of odontogenesis.,True,False,,,,,B,
Dens invaginatus is due to a disturbance during which phase of odontogenesis?,Initiation,Morphodifferentiation,Calcification,Proliferation,,,B,
Which of the following is the correct term for 6 or more congenitally missing teeth?,Anodontia,Hypodontia,Oligodontia,,,,C,
In which type of amelogenesis imperfecta is the enamel soft due to deficiency in calcification?,Hypoplastic,Hypocalcified,,,,,B,
Which type of Dentinogenesis Imperfecta is associated with an isolated tri-racial group in Southern Maryland known as the Brandywine population?,Type I,Type II,Type III,,,,C,
What color stain can Erythropoietic Porphyria produce on developing teeth:,Purple-brown,Yellow-grey,Blue,Green,,,A,
What color stain can RH Incompatibility produce on developing teeth:,Green,Purple-brown,Yellow-gray,Blue-gray,,,A,
Which of the following is not a normal oral change related to aging?,Loss in elasticity of tissue,Thinning of epithelium,Increased healing time,Loss of teeth,,,D,
What is the clinical term for tooth to tooth wear?,Attrition,Abfraction,Abrasion,Erosion,,,A,
Which of the following is not a cause of xerostomia?,Polypharmacy,Systemic disease,External beam radiation,All of the above are causes of xerostomia,,,D,
Which of the following is a clinical condition caused by a fungus that can occur with extended denture wear?,Angular chelitis,Candidiasis,Denture stomatitis,Osteoperosis,,,B,
What is the maximum amount of epinephrine recommended for elderly patients with out without cardiac conditions?,0.04,0.4,0.02,0.2,,,A,
Males are more likely to have osteoperosis and therefore more likely to experience jaw fractures from alveolar bone loss.,True,False,,,,,B,
An 86 year old patient presents to your office with chief complaint of dry mouth. Which of the following would not be an appropriate recommendation for alleviating their discomfort.,Sipping water and ensuring adequate hydration,Sucking on a hard candy like a LifeSaver or Jolly Rancher,Using over the counter products such as Biotene,Using a humidifer at night,All of the above are appropriate recommendations,,B,
"As cementum thickens with age, it becomes more more resistant to acids, sugar and tobacco.",True,False,,,,,B,
"You notice significant wear on a patient's teeth at their periodic exam. They admit that they have been experiencing uncontrolled acid reflux but have yet to see their primary care doctor to address this issue. Clinically, what type of tooth wear is this known as?",Erosion,Abrasion,Attrition,Abfraction,,,A,
Which of the following is not a risk factor for oral squamous cell carcinoma?,Over the age of 50,Tobacco Use,Alcohol use,Poor oral hygiene,,,D,
From what germ layer does connective tissue arise?,Ectoderm,Endoderm,Mesoderm,,,,C,
Which of the aortic arches involutes and has no adult derivative?,Arch 1,Arch 2,Arch 3,Arch 4,Arch 5,Arch 6,E,
Which two pharyngeal arches contribute to the formation of the hyoid?,Arches 1 and 2,Arches 2 and 3,Arches 3 and 4,Arches 2 and 4,,,B,
The function of Cranial Nerve IV is:,Downward and inward eye movements,Extraocular eye movements,Lid elevation,Facial expression,,,A,
Which pharyngeal pouch contributes to the formation of the palatine tonsils?,Pouch 1,Pouch 2,Pouch 3,Pouch 4,Pouch 5,,B,
"Which Veau Class describes a defect involving the soft palate to the alvelous, usually involving the lip?",Group I,Group II,Group III,Group IV,,,C,
What is the most posterior suture on the skull?,Lamboidal,Metopic,Coronal,Saggital,,,A,
Which of the following is not associated with maternal marijuana use during pregnancy?,Increased carbon dioxide levels in the fetal blood,Increased risk of miscarriage,Strong fetal addiction potential,Low birth weight,,,C,
Under what drug category is Coumadin classified?,Class A,Class B,Class C,Class X,,,D,
Bactrim is the antibiotic of choice for a pregnant woman with a dental infection.,True,False,,,,,A,
A child presents to your office with a medical history significant for fetal alcohol syndrome. What is the critical period for FAS to occur during development?,First Trimester,Second Trimester,Third Trimester,Alcohol consumption during pregnancy does not effect the fetus.,,,B,
Exposure to which of the following diseases during pregnancy is strongly linked to deafness in the child?,Rubella,Toxoplasmosis,Cytomegalovirus,Herpes Simplex,,,A,
Enamel is derived from which germ layer?,Ectoderm,Endoderm,Mesoderm,,,,A,
