title,Pain & Anxiety Control Quiz 3 (Spring 2018),painanx,quiz
question,option_a,option_b,option_c,option_d,correct,image
Who originated the term “laughing gas”?,Sir Humphrey Davy,Joseph Priestly,Crawford Long,Horace Wells,A,
Where is the Ether Dome located?,"Hartford, CT","Rochester, NY","Boston, MA","Washington, DC",C,
Who was the first person to specialize full time in the field of anesthesiology?,Morton,Wells,Priestly,Colton,A,
Who is given the credit and honor of introducing anesthesia to the USA both by the ADA and AMA?,Wells,Morton,Priestly,Long,A,
What is the most dangerous impurity in N2O?,CO,NO,NO2,NH4,B,
N2O is relatively insoluble in the blood.,True,False,,,A,
What is the MAC (minimum alveolar concentration) of N2O in percentage of O2?,105,6.0,2.0,1.15,A,
N2O produces analgesia but surgical depth anesthesia is unattainable with N2O alone.,True,False,,,A,
What color is an O2 cyclinder in the US?,Green,Blue,Black,Red,A,
What size cylinder is typically used in portable N2O-O2 units or emergency O2 tank systems?,E Cylinder,D Cylinder,B Cylinder,H Cylinder,A,
