title,DAO Midterm Exam (Summer 2021),dao,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
This tooth is shown in what view?,Lingual,Occlusal,Facial,Gingival,,C,
The dental formula is made up of a ratio. The ratio is:,Secondary teeth/primary teeth,Primary teeth/secondary teeth,Maxillary teeth/mandibular teeth,Mandibular teeth/mandibular teeth,,C,
Mr. Den Tin has always taken good care of his teeth and has kept them all intact. On Monday all his wisdom teeth were taken out. How many teeth remain?,32,30,28,26,,C,
The outermost layer of tissue that covers the anatomical root is:,Enamel,Dentin,Cementum,You cannot tell because it is just the anatomical root,,D,
Mary went to the dentist with pain on the maxillary left first premolar. Which tooth number is that?,4,5,12,13,,C,
The clinical crown is,The part of the crown covered in enamel,The part of the crown covered in dentin,The part of the crown that appears above the gingiva,The part of the crown that appears below the gingiva,,C,
"In health, the pediatric dentition has how many teeth?",16,18,20,22,,C,
Statement 1: Teeth are composed of both hard and soft tissue. Statement 2: The dentin is considered the soft tissue.,Both statements are true,Both statements are false,The first statement is true and the second is false,The first statement is false and the second is true,,C,
Using the Universal Numbering system the maxillary right first molar is tooth number?,1,2,3,14,15,C,
At what age does the mixed dentition begin?,5,6,7,8,9,B,
When referring to pediatric patients’s dentition which term does not apply?,Primary,Deciduous,Milk,Baby,Succedaneous,E,
"Using the Universal Number System, anterior teeth are:",1-6,6-11,11-16,6-12,,B,
Which tooth is considered the cornerstone tooth? Answer in International Numbering System,6,11,13,3,,C,
"True or False: When looking at the maxillary canine from the incisal view, the mesiofacial aspect is more convex than the distofacial.",True,False,,,,A,
Which anterior tooth is most likely to have a bifurcated root?,The mandibular canine,The maxillary canine,The maxillary central,The mandibular central,,A,
The maxillary canine erupts at what age?,7-8,8-9,11-12,13-14,,C,
A triangular fossa can be found:,"On the occlusal surface, lateral to the marginal ridges of a posterior tooth","On the occlusal surface,  distal to the mesial  marginal ridge of a posterior tooth",On the lingual surface of an anterior tooth,On the buccal surface of a posterior tooth,On the palatal surface of a posterior tooth,B,
