title,Endodontics Quiz 1 (Spring 2018),endo,quiz
question,option_a,option_b,option_c,option_d,correct,image
The steps in making a diagnosis include: a. the dentist asks the patients about their chief complaint b. the dentist asks the patients about previous history and symptoms that made them come to the office c. the dentist performs objective clinical tests d. the dentist combines the data from objective clinical tests with the subjective findings to reach a tentative differential diagnosis e. Then the dentist forms a treatment plan based on where the patient believes the pain is coming from,All of the choices,"a, b, e","a, b, c, d",e alone,C,
Proper health care forms include: a. information on the specific reasons the patients have presented themselves b. information on their overall health c. psychological evaluation regarding dental care in general d. a general history of past dental treatment,All of the choices,"a, b, c","a, b","a, b, d",D,
SOAP represents the 4 basics prior to treatment: a. The S stands for noting subjective information b. The O stands for noting objective information c. The A stands for assessment of that information d. The P stands for determining the price of the procedure,All of the choices,"a, b, c","b, c, d","a, c, d",B,
As dentists we want to find out the following information: a. localization b. commencement c. intensity d. provocation e. attenuation f. duration,All of the choices,"a, b, c, d, f","a, d, f","a, b, c, f",A,
The pulp and surrounding bone is best seen via:,chemical based x-rays,cone beam computed tomography (CBCT),digital x-rays where the contrast and color can be manipulated,thermography,B,
The most important step in treating a medically compromised patient is to:,determine what drugs they are on,determine the severity of the condition(s),communicate with the patient's physician(s),develop an excellent rapport with the patient,C,
"Patient issues the dentist should be aware of before starting treatment include: a. history of allergies and any adverse effects from drugs formally or presently taken b. presence of prosthetic valves, joints, stents, pacemakers c. whether antibiotics should be administered prophylactically d. that the patient clots normally e. can have anesthetic with vasoconstrictor f. prone to emergencies like congestive heart failure",All of the choices,"a, b, c, d, e","a, b, c","a, c, f",A,
Typical prophylactic dosage of antibiotics prior to treatment includea. a. 2000 mg of penicillin or amoxicillin one hour prior to treatment b. 600 mg of clindamycin one hour prior to treatment c. 1000 mg of penicillin or amoxicillin at the time of the procedure d. 400 mg clindamycin one hour prior to the procedure e.  penicillin or amoxicillin as the choice over clindamycin when no allergies exist,"c, d","a, b, e","a, c","c, e",B,
Include all signs of hypoglycemia: a. confusion b. tremors c. agitation d. diaphoresis (sweating) e. tachycardia f. peripheral numbness in the hands and legs,All of the choices,"a, b, c","b, c, e","b, d, f",A,
Prior to giving opioid analgesics to a patient it is important to: a. determine whether or not they are taking drugs that could negatively interact with the narcotics you are prescribing b. that you make sure they take enough that they feel no pain post-operatively c. make a psychological evaluation of the patient to the best of your ability and if you have doubts talk to the patient’s physician d. prescribe on an as need basis determined by the patient,All of the choices,"a, b","c, d","a, c",D,
