title,Pathomedicine Exam 4 (Fall 2019),patho,exam4
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A brown pigmented gallbladder stone is most likely:,A sterile stone comprised of pure cholesterol,A stone that developed in the background of an infection and comprised primarily of pure cholesterol,A sterile stone comprised primarily of unconjugated salts of bilirubin,A stone that developed in the background of an infection and comprised primarily of unconjugated salts of bilirubin,A stone that developed in the background of an infection and comprised primarily of cholesterol admixed with calcium carbonate and phosphate,,D,
"A male of 36-years presents for evaluation of “pain in right lower molar that is unbearable”. All of the following are likely diagnoses, EXCEPT one. Which one is the EXCEPTION?",Chronic apical periodontitis (periapical granuloma),Irreversible pulpitis,Acute apical abscess,,,,A,
A male of 4-years develops generalized edema with marked periorbital involvement. His plasma albumin level is 2.5 g/dL. He is administered prednisone and rapid improvement is observed. What is the most likely diagnosis?,Minimal change disease,Membranous nephropathy,Acute post-infectious (post-streptococcal) glomerulonephritis,IgA nephropathy,End-stage renal disease (ESRD),,A,
"A male patient of 55-years with a 35-year history of smoking presents to his primary care provider reporting a recent history of significant unintended weight loss, chest pain, dyspnea, a general sense of fatigue and hemoptysis. Which of the following is the most likely diagnosis?",Squamous cell carcinoma of a major bronchi,Lymphoma of the right upper lobe,Sarcoma of the right upper lobe,Carcinoid of the left upper lobe,,,A,
A positive PPD alone is insufficient for a diagnosis of active tuberculosis.,True,False,,,,,A,
"A pregnant (second trimester) female of 42-years presents to her PCP with a fever.  She reports pain in the costovertebral angle and a general feeling of discomfort. Her medical history is limited to seasonal allergies. She has been urinating over past 36-hours with increased frequency. As part of the work-up, her PCP collects a urine specimen. Laboratory examination of the urine specimen identified the presence of WBCs. What is the most likely diagnosis?",IgA nephropathy,Tuberculosis,Acute pyelonephritis,Minimal change disease,COPD,,C,
A primary feature of emphysema is hypersecretion of mucus.,True,False,,,,,B,
Administration of aspirin may exacerbate uremic platelet defects in patients with end-stage renal disease.,True,False,,,,,A,
"All of the following are clinical features identified in acute bacterial pneumonia, EXCEPT one. Which one is the EXCEPTION?",Left shift on CBC,High fever,Shaking chills,Productive mucopurulent cough,Alveolar lymphocytic inflammatory infiltrate,,E,
"All of the following are features of autosomal dominant (adult) polycystic kidney disease, EXCEPT one. Which one is EXCEPTION?",Bilateral enlargement of the kidneys,Fluid filled cysts up to 3-4 cm in diameter,"Patients may also develop cysts of the liver and pancreas, as well as saccular aneurysms of the circle of Willis",End-stage renal disease usually develops around age 50,Often clinically irrelevant,,E,
"All of the following are true of renal osteodystrophy, EXCEPT one. Which one is the EXCEPTION?","Calcium absorption is reduced due to diminished renal synthesis of 1,25-dihydroxyvitamin D",Reduced calcium absorption results in increased serum phosphate,Reduced calcium absorption results in decreased serum phosphate,Decreased serum calcium results in secondary hyperparathyroidism,Osseous changes may occur throughout the body,,B,
"All of the following represent viable treatments for eosinophilic esophagitis, EXCEPT one. Which one is the EXCEPTION?",Restricting the intake of cow milk,Proton pump inhibitors,Cortical steroids,,,,B,
"All of the following are clinical findings associated with peptic ulcer disease, EXCEPT one. Which one is the EXCEPTION?",Nausea,Vomiting,Bloating,Belching,Oral ulceration,,E,
"All of the following are clinical findings associated with progressing tuberculosis, EXCEPT one. Which one is the EXCEPTION?",Fever,Night sweats,Weight gain,Hemoptysis,Malaise,,C,
Barrett's esophagus increases the risk for:,Squamous cell carcinoma,Adenocarcinoma,Mucoepidermoid carcinoma,Melanoma,Lymphoma,,B,
Curshmann bodies represent:,Aggregations of eosinophil protein crystalloids,Aggregations of basophil protein crystalloids,Mucous plugs with whorls of shed epithelium,Iron-laden macrophages that have phagocytosed debris from degenerating erythrocytes,Keratin protein aggregates with fungal hyphae,,C,
"Intro: An eighteen-year-old female patient presents to your office with a CC of “I think my wisdom teeth are growing in and they hurt”. HPI: Patient reports the pain has been worsening on biting in the past couple of weeks and she noticed the upper right tooth was erupting for about a month. MedHx: Asthma. Meds: Advair, albuterol. Allergies: NKDA. SocHx: Denies. PhysEx: 114/68; HR: 78; RR: 16 Regional H&N: EOE: No extra-oral nodules, asymmetry, or other grossly visible signs of pathology. Negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Inflamed operculum overlying partially erupted #16. All other oral mucosal surfaces including upper/lower labial mucosae, bilateral buccal mucosae, bilateral maxillary/mandibular buccal vestibules, uninvolved gingiva, tongue, FOM, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: #1, 17, 32 full bony impactions; #16 partially erupted Treatment plan: Extraction #1, 16, 17 and 32. Question: You choose to extract number #16 under local anesthetia. As you begin your injection you notice that her body becomes tense. After completing the injection she begins to make a high pitched sound during expiration. She complains of difficulty breathing and chest tightness. What is the next most appropriate step in addressing this patient's situation?",Activate the emergency response system,Initiate CPR,Administer albuterol,Administer a second dose of local anesthetic,Administer Advair,"Administer subcutaneous injection of 0.4 mL 1:1,000",C,
Mast cell degranulation in asthma is triggered by coating with:,IgA,IgG,IgM,IgE,,,D,
Microscopy demonstrating casseating granulomas positive for AFB stain are most suggestive of a diagnosis of:,Crohn disease,Ulcerative colitis,H. pylori infection,Gastroesophageal reflux disease,Tuberculosis,,E,
"Nitrous oxide should be avoided in patients with all of the following diagnoses, EXCEPT one. Which one is EXCEPTION?",Moderate bronchitis,Severe COPD,Centriacinar emphysema,Distal acinar emphysema,Panacinar emphysema,,A,
Please refer to the attached image. What is the most likely diagnosis?,Candidiasis,Enamel erosion,Syphilis,Iron deficiency anemia,Pernicious anemia,,A,images/patho-exam4-fall-2019/fig21.jpeg
"See attached image. The attached image supports a diagnosis of candidiasis. Diflucan (fluconazole) would be an appropriate therapy to manage this disease. However, dosing for this medication needs to be adjusted in patients with clinically significant chronic kidney disease. In such patients, the dose should be:",Increased,Decreased,,,,,B,images/patho-exam4-fall-2019/fig22.jpeg
Statement 1: Elevated ESR levels are anticipated in active inflammatory bowel disease (IBD). Statement 2: Elevated CRP levels may also be seen in active IBD.,Both statements are true,Both statements are false,Statement 1 is true; statement 2 is false,Statement 1 is false; statement 2 is true,,,A,
Statement 1: Environmental pollutants represent a common trigger of asthma. Statement 2: Viral infections represent a common trigger of asthma.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
"Statement 1: Henoch-Schonlein purpura comprises IgA deposition in the mesangium and systemic involvement including a purpuric rash, abdominal and renal pain and arthritis. Statement 2: Goodpasture syndrome comprises anti-glomerular basement membrane Ab-mediated crescentic glomerulonephritis along with pulmonary involvement.",Both statements are true,Both statements are false,,,,,A,
Statement 1: Type II pneumocytes are more numerous than type I pneumocytes. Statement 2: Type I pneumocytes produce surfatcant.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,B,
The majority of patients with hiatal hernia experience symptoms similar to those who suffer from GERD.,True,False,,,,,B,
What is most common cause of acute pancreatitis in the US?,Medications,Infections,Inherited mutations,Alcohol abuse,Gallstones,,E,
What is the most common cause of chronic gastritis?,Bacterial infection,Autoimmune destruction of parietal cells,Autoimmune destruction of chief cells,Overuse of NSAIDs,Systemic acidosis,,A,
Which disease does NOT show granulomas upon microscopic review?,Tuberculosis,Crohn disease,Ulcerative colitis,,,,C,
Which medication is most commonly used is for patients undergoing hemodialysis?,Rivaroxaban,Heparin,Warfarin,Apixaban,Dabigatran,,B,
Which medication reverses the effects of heparin?,Warfarin,Clopidogrel,Aspirin,Protamine sulfate,Naloxone,,D,
Which medication type will most rapidly relieve a patient from the effects of an asthma attack?,Beta-adrenergic agonist,Inhaled anti-inflammatory agents,Acetylsalicylic acid,Acetaminophen,Ascorbic acid,,A,
Which of the following is NOT an obstructive lung disease?,Emphysema,Chronic bronchitis,Bronchiectasis,Asthma,Interstitial fibrosis,,E,
Which of the following diseases is primarily related to a surfactant deficiency?,Acute respiratory distress syndrome,Neonatal respiratory distress syndrome,Sarcoidosis,Asthma,Asbestosis,,B,
Which of the following is NOT considered to be one of the three most common materials responsible for pneumoconiosis?,Coal,Silica,Asbestos,Carbon dioxide from burning of fossil fuels,,,D,
Which of the following is associated with the use of steroid inhalers?,Primary syphilis,Acute necrotizing ulcerative gingivitis,Acute necrotizing ulcerative periodontitis,Candidiasis,Secondary herpes labialis,Oral lichen planus,D,
Which of the following is not considered a nephrotic syndrome?,IgA nephropathy,Minimal change disease,Focal segmental glomerulosclerosis,Membranous nephropathy,,,A,
Which of the following represents the most common cause of end-stage renal disease?,Diabetes mellitus,Hypertension,Chronic glomerulonephritis,Polycystic kidney disease,Systemic lupus erythematosus,,A,
Which of the following represents the best measure of overall renal function?,Glomerular filtration rate,Creatinine clearance,Blood urea nitrogen,Serum creatinine,Serum parathyroid hormone,,A,
Which of the following has the weakest association with autoimmune gastritis?,Squamous cell carcinoma,Pernicious anemia,Adenocarcinoma,Carcinoid tumor,,,A,
Which of the following are features of Zollinger-Ellison syndrome?,Multiple peptic ulcers,Massive acid production,Gastrin-secreting tumor,All the above,,,D,
Which of the following is a neonatal disease that comprises complete obstruction of bile flow and is treated definitively by a liver transplant?,Biliary atresia,Strawberry gallbladder,Cholangitis,Acute calculous cholecystitis,,,A,
