title,Fixed Prosthodontics Quiz 9 (Fall 2018),fixedpros,quiz
question,option_a,option_b,option_c,option_d,correct,image
"When discussing an ideal Class I occlusion, the midline where teeth 8-9 meet should align with the midline of teeth 23-24:",True,False,,,B,
The MB cusp of the Maxillary First Molar occludes withThe MB groove of the Mandibular first molar,True,False,,,A,
"When discussing a cusp-fossa relationship in an ideal Class I occlusion, the mesiolingual cusp of the maxillary first molar will occlude with the central fossa of the mandibular first molar:",True,False,,,A,
"When discussing an ideal Class I occlusion, the distobuccal cusp of the mandibular first molar will occlude with the central fossa of the maxillary first molar:",True,False,,,A,
"When discussing an ideal Class I occlusion, in the maximum intercuspation (MIP) position, which two teeth occlude with the maxillary first premolar:",Mandibular canine and first premolar.,Mandibular first and second premolar.,Mandibular second premolar and first molar.,,B,
"When discussing an ideal Class I occlusion, in MIP, which two teeth occlude with the Mandibular second molar:",Maxillary first and second premolar.,Maxillary second premolar and first molar.,Maxillary first and second molars.,,C,
"When discussing an ideal class I occlusion, the lingual cusp of the maxillary second premolar would occlude with:",Mesial marginal ridge of the mandibular second pre-molar.,Mesial fossa of the mandibular second premolar.,Distal marginal ridge of the mandibular second premolar.,,C,
A chamfer diamond has a rounded end:,True,False,,,A,
THE Dean of Touro College of Dental Medicine is:,Dr. Larry Farkas,Dr. Jay Goldsmith,Dr. Ronnie Myers,Dr. Ed Farkas,C,
When adding to a margin of a provisional made with PMMA we should use flowable composite:,True,False,,,B,
