title,Surgical Principles of Periodontics & Implant Dentistry Final Exam (Summer 2022),surgperio,
question,option_a,option_b,option_c,option_d,correct,image
Periodontal attachment loss (CAL) measures clinically from:,CEJ to the base of the pocket,Gingival margin to the base of the pocket,CEJ to the gingival margin,,A,
Planning of periodontal surgery is best accomplished at:,After phase I therapy and during the re-evaluation visit,Phase I therapy,After phase I therapy and before re-evaluation,Can be planned at any phase of periodontal therapy,A,
Periodontal surgery can be classified into many types; those types is/are:,"Periodontal flap surgery, periodontal plastic surgery, resective osseous surgery.","Transalveolar surgery, implant surgery, resective osseous surgery","Gingival curettage, Periodontal flap, Surgical extraction","Gingivectomy, Regenerative periodontal surgery, surgical closure of the oro-antral fistula",A,
"Adult patient presents clinically with an irregular thickness of buccal gingiva, a round diamond bur used to correct and establish a physiological gingival contour. The type of this procedure is/are:",Gingivoplasty,Gingivectomy,Combined gingivoplasty & gingivectomy,None of the above,A,
The primary cause/etiology of periodontal diseases is:,Bacterial-induced and host-mediated,Malocclusion,Faulty restoration,Trauma from occlusion,A,
"Based on the information, please choose the appropriate periodontal diagnosis: 50 year-young female patient presents with the following - missing all her 1st premolars (4 teeth) due to orthodontic reasons, interdental CAL of -<5mm in 20 % of her remaining teeth, radiographic bone loss involving the coronal third, Diabetic with A1c of 6.5 and smokes 15 cigarettes per day.",Localized Stage 1 Grade B,Localized Stage 2 Grade C,Generalized Stage 1 Grade B,Generalized Stage 2 Grade C,B,
What part of the oral cavity or keratinized?,Alveolar Mucosa,Interdental Col,Free Gingiva,Apical to the Mucogingival Junction,C,
"Based on the Gargiulo cadaver study, what is the average Biological Width?",Junctional epithelium of 0.97 mm + connective tissue of 1.07 mm = 2.04,Sulcular epithelium of 0.97 mm + connective tissue of 1.07 mm = 2.04,Junctional epithelium of 0.97 mm + Sulcular epithelium of 1.07 mm = 2.04,None of the above,A,
"All are the risk factors for periodontitis, EXCEPT?",Age and Sex,Diabetes and Smoking,Joint replacement,Frequent Marijuana use,C,
Prognosis is a dynamic concept that must be evaluated at every phase of patient management.,True,False,,,A,
Vertical root fracture not due to periodontal reasons has the following prognosis?,Unfavorable,Questionable,Favorable,Hopeless,D,
What is the contradistinction to performing gingivectomy?,Inadequate keratinized gingiva,Gummy Smile,Altered passive eruption,Gingival overgrowth due to pharmacological reasons,A,
What is the rationale for osseous surgery?,Create harmonious topology (positive architecture),To eliminate shallow pockets < 4mm,Ideal choice to eliminate pockets in the esthetic zone,To achieve 1:1 crown-to-root ratio,A,
"The full-thickness flap includes the epithelium, connective tissue, and periosteum. In a partial-thickness flap, the mucosa is separated from the periosteum (which is attached to the alveolar bone). The periosteal blood supply is not disturbed.",True,False,,,A,
"All are types of flap design, EXCEPT?",Widman and Modified Widman,Envelope,4-corner and papilla preservation,Internal bevel,D,
"All are general Principles of Periodontal Surgery, EXCEPT?",Large flap to provide reasonable access,Minimal tension during suturing,Narrow base to enable sufficient blood supply,None of the above,C,
"1) Primary wound healing: The mucosal wound edges are adjacent to one another. They are reapproximated to minimize any scarring (e.g., periodontal flaps). 2) Secondary wound healing: Epithelial cells must migrate (granulate in) to close the wound (e.g., gingivectomy, open extraction socket).",Both Statements are True,Both Statements are False,Statement 1 is True | Statement 2 is False,Statement 1 is False | Statement 2 is True,A,
Which of the sutures is non-resorbable?,Plain gut,Chromic gut,Vicryl,Polypropylene and Nylon,D,
Which of the following suturing technique is used during the coronally advanced flap?,Simple Interrupted,Sling,Vertical Mattress,Horizontal Mattress,B,
"All are predisposing factors for developing mucogingival defects, EXCEPT?",Thin gingiva,High frenal attachment,Malposition tooth,Thick Biotype,D,
"All are different flap techniques for root coverage procedure, EXCEPT?",Lateral Positioned Flap,Double Papilla Flap,Semilunar Flap,Modified Widman Flap,D,
What regenerative properties does a Xenograft (bone graft) possess?,Osteogenic,Osteoinductive,Osteoconductive,None of the above,C,
"All are different types of bone graft materials, EXCEPT?",Autogenous graft,Allograft,Xenograft,Tellograft,D,
"All are anatomical factors to consider before performing a sinus augmentation procedure, EXCEPT:",Position of the Inferior Alveolar Nerve,Residual Bone Height (RBH),Bony Septa/s,Shape of the sinus floor,A,
"All are anatomical considerations before placing a Dental implant, EXCEPT:",Nerver (IAN and Mental Foramen) & Blood Vessels,Proximity to Sinus,Genial Tubercle and Submandibular Fossa,Anterior and Posterior Vibrating Lines,D,
"Tooth and Dental implants have dento-gingival fiber attachment to the root and implant surface, respectively.",True,False,,,B,
"Dental Implants are classified based on all of the following, EXCEPT:",Surface and Shape,Material,Type of platform (bone vs tissue level),Translucency and Radiopacity,D,
Identify the type of incision in pictures A and B:,A: External Bevel | B: Internal Bevel,A: Internal Bevel | B: External Bevel,A: Internal Bevel | B: Curettage,A: External Bevel | B: Sulcular,A,images/surgperio-final-summer-2022/fig28.jpeg
Identify the type of Flap Design:,Envelope Flap,Modified Widman Flap,Widman Flap,Three Corner Flap,A,images/surgperio-final-summer-2022/fig29.jpeg
Identify which of the three is a 1-wall (severe) defect:,A,B,C,,C,images/surgperio-final-summer-2022/fig30.jpeg
"All instruments are used to remove unsupported bone during Resective Periodontal Surgery, EXCEPT:",Kirkland Knife,Sugarman File,Backaction Chisel,Rongeurs,A,
Identify the Type of Socket:,Type 1,Type 2,Type 3,,B,images/surgperio-final-summer-2022/fig32.jpeg
Identify the Bone Defect:,Fenestration,Dehiscence,Bony Exostosis,Muco-gingival Defect,A,images/surgperio-final-summer-2022/fig33.jpeg
The Flap Releasing Technique is used to achieve primary closure.,True,False,,,A,
Identify the Suturing Technique:,Modified Simple Interrupted,Vertical Mattress,Horizontal Mattress,Sling Suture,A,images/surgperio-final-summer-2022/fig35.jpeg
"All are functions of using Bone Graft and Membrane at the time of socket preservation, EXCEPT:",Protects the Wound,Stabilizes the Clot,Preserves Bone Volume,Reduce the Bone Formation Time by Half,D,
Identify the Type of Membrane:,Non-Resorbable,Resorbable,Absorbable,Non-Resorbable - Ti reinforced,D,images/surgperio-final-summer-2022/fig37.jpeg
Identify the Type of Surgical Procedure being performed:,Trascrestal Sinus Lift & Implant Placement,Lateral Window Sinus Lift & Implant Placement,Implant Placement Only,,A,images/surgperio-final-summer-2022/fig38.jpeg
"Dental LASER can be used to perform the following peridontal therapy, EXCEPT:",Sinus Lift,Scaling and Root Planning,Crown Lengthening,Resective and Regenerative surgery,A,
