title,GDA Final Exam (Spring 2019),gda,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following is an adult derivative of the mesoderm?,Peripheral nervous system,Lining of the digestive track,Connective tissue,Respiratory organs,,,,C,
Statement 1:Aortic arch 5 involutes. Statement 2: Aortic arch 2 gives rise to the common carotid artery.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,C,
Which of the following is the function of Cranial Nerve X?,Equilibrium,Visceral muscle movement,Taste on the posterior tongue,Extraocular eye movements,Swallowing,,,B,
Which of the pharyngeal pouches gives rise to ultimobranchial body which produces the C-cells of the thyroid?,Pouch 1,Pouch 3,Pouch 4,Pouch 5,,,,C,
What is the appropriate Veau classification for the cleft shown in the figure?,Veau Class I,Veau Class II,Veau Class III,Veau Class IV,,,,C,images/gda-final-spring-2019/fig5.jpeg
Identify the suture shown in the figure provided.,Metopic suture,Lamboidal suture,Coronal suture,Sagittal suture,,,,A,images/gda-final-spring-2019/fig6.jpeg
Marijuana increases the level of ________ in fetal blood if consumed during pregnancy.,Carbon monoxide,Calcium,Nitrous oxide,Cortisone,,,,A,
Accutane is a Class D drug and should be avoided during pregnancy because it is known to cause acne.,True,False,,,,,,B,
A pregnant patient is seen in your office for a limited oral evaluation after experiencing minor trauma to tooth #8. What over the counter pain medication should you recommend for this patient?,Ibuprofen,Motrin,Naproxen,Tylenol,Aleve,,,D,
Patients of your practice recently adopted a child and bring him in for his first dental visit. On the medical history you see that they have noted the child has fetal alcohol syndrome. Which of the following is NOT a clinical presentation you expect to see?,Small head circumference,Widely spaced eyes,Upturned nose,Thick upper and lower lips,,,,D,
Fetal alcohol syndrome has the largest effect on development during the first trimester.,True,False,,,,,,B,
Increased levels of the stress hormone _____ during pregnancy can lead to birth defects including cleft lip and palate and defects of the _____.,Testosterone; heart,Cortisone; lungs,Cortisone; heart,Estrogen; liver,None of the above,,,C,
Statement 1:A fetus is considered mature at 35 weeks. Statement 2: The fetus should weigh approximately 25 grams.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,C,
Which of the following is not true about supine hypotensive syndrome during pregnancy?,The vena cava become compressed when laying in the supine position.,"Patients may experience nausea, bradycardia and sweating.",Pregnant patients should be treated in a semi-seated position with the left hip propped after 20 weeks of pregnancy.,None of the above.,,,,C,
Deficiency of which of the following is responsible for causing rickets?,Vitamin A,Vitamin D,Vitamin C,Vitamin E,,,,B,
Growth in height is on average fastest in spring and growth in weight fastest in autumn.,True,False,,,,,,A,
Statement 1:Enamel is derived from ectoderm from the oral cavity. Statement 2: All other tissues are derived from mesoderm.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,C,
Tooth development begins at week __ with thickening of the oral epithelium which forms the dental lamina.,4,5,6,7,8,,,C,
Accessional teeth are those that erupt to the take the place in the arch once held by primary teeth.,True,False,,,,,,B,
During which stage of tooth development do the inner and outer enamel epithelium form?,Bud stage,Cap stage,Bell stage,,,,,B,
"The _______, derived from neural crest cells, is a specialized vascular connective tissue that surrounds the root of the tooth, attaching it to the alveolar bone.",Cementum,Periodontal ligament,Dental follicle,Stellate reticulum,,,,B,
Which of the following cells are responsible for the development of the enamel?,Ameloblasts,Odontobalsts,Cementoblasts,Striae of Retzius,,,,A,
"Which type of dentin forms in response to attrition, abrasion, caries or restorative treatment?",Primary,Secondary,Tertiary,,,,,C,
Statement 1: Mandibular teeth usually erupt after maxillary teeth. Statement 2: Eruption generally occurs earlier in girls than in boys.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,D,
Which of the following is not a function of the periodontal ligament?,Nutritive,Sensory,Supportive,Remodeling,All of the above are functions of the PDL,,,E,
During adolescence where does most growth occur?,Head,Torso,Legs,None of the above,,,,C,
A mother and daughter present to your office for their hygiene appointments. Mom is concerned because her daughter is suddenly the tallest in her 6th grade class. You assure this is a normal pattern of growth because the growth spurt in girls peaks at age __ at __ cm per year.,12; 9,14; 10,12; 10,12; 12,14; 9,,,A,
"During the mixed dentition stage it is not common for children to have lip incompetence, or difficulty closing their lips completely, even at rest.",True,False,,,,,,B,
Which of the following is true regarding the development of the sinuses?,"When viewing sinuses on a panoramic film, they should always appear symmetrical.",Sinuses expand into the space once occupied by the permanent teeth once they erupt.,Sinuses do not develop fully until middle age.,None of the above are true.,,,,B,
Which of the following is not a growth site of the mandible?,Alveolar ridges,The posterior border of the ramus,At the condylar cartilages,At the site of the mental nerve,,,,D,
"The shape of the face is determined by the gonial angle. An individual with a narrow angle, less than ____ degrees, will have a _____ face.",120; square,120; neutral,130; square,130; oval,120; oval,,,A,
Identify the skeletal classification of the individual shown in the figure.,Bimaxillary Prognathism,Maxillary Prognathism,Mandibular Prognathism,Bimaxillary Retrognathism,None of the above,,,C,images/gda-final-spring-2019/fig32.jpeg
Which of the following is not a consideration when treating adolescent patients?,Dietary habits are changing and there may be increases in snacking,Decreased potential for traumatic injury likely,"Use of alcohol, drugs and tobacco increases",Lack of motivation for proper oral hygiene,,,,B,
Which of the following is not a way to manage increased caries risk in the adolescent patient population?,Application of topical fluoride until age 16,Placement of sealants on all permanent posterior teeth,Aggressive restorative techniques including stainless steel crowns,Oral hygiene education and diet counseling,,,,C,
Statement 1: Patients should expect to lose their teeth as they age. Statement 2: Patients over age 65 are becoming an increasingly large part of the patient population in dental offices.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,D,
What does the “A” in the acronym OSCAR stand for?,Ability,Autonomy,Access,Age,Aptitude,,,B,
What is the appropriate treatment for oral squamous cell carcinoma?,Monitor for at least 6 months,Surgery and radiation,Biopsy only,Copious use of Chlorhexidine daily,,,,B,
A patient has been brushing aggressively for many years with a medium bristle manual toothbrush. This is called _____.,Abrasion,Attrition,Erosion,Caries,,,,A,
When examining elderly patients it is common to find an increased sensitivity to pulp tests.,True,False,,,,,,B,
Which of the following is not a risk factor for root surface caries?,Smoke-less tobacco use,Poor oral hygiene,Frequent snacking,Lack of a dental home to receive care,Increased use of electric toothbrush,,,E,
A 64 year old female presents to your office with chief complaint “I have been using Crest White Strips for 2 months and my teeth are still not as white as I would like them to be”. You examine the patient and attribute the fact that her teeth have not whitened further to which of the following:,Patient smokes 1 pack per day of cigarettes,Thinning of the enamel occurs with age so teeth appear more yellow,Patient admits to drinking 2-3 cups of black coffee per day.,Crest White Strips rarely work on older patients because the enamel is less porous.,All of the above.,"A, B, C","A, D",E,
Which of the following age-related changes to teeth may make extractions more difficult?,Hypercementosis,Obliteration of pulp,Thinning of enamel,Decreased fibroblasts in the periodontal ligament,,,,A,
Xerostomia is not related to which of the following conditions,Diabetes,Polypharmacy,Radiation therapy for head and neck cancer,Salivary duct stones,,,,D,
