title,DAO Quiz 5 (Summer 2018),dao,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following embrasures tends to be wider when viewed from the incisal aspect?,Facial embrasure between #8 and #9,Lingual embrasure between #8 and #9,They are equal in width,,,B,
Statement 1: The form of the teeth and their arrangement are related to incising or crushing food without causing damage to supporting structure. Statement 2: Some of the form must also relate to that of the jaws and face and to occlusal forces that dictate various angles and positions within the arches.,Both Statements are True,"Statement 1 is true, and Statement 2 is false","Statement 1 is false, and Statement 2 is true",Both Statememts are false.,,A,
At what age does the mandibular first molar begin to erupt?,4-5 years,6-7 years,8-10 years,10 years,,B,
"From the lingual view, all five cusps of the mandibular first molar can be seen.",True,False,,,,B,
Which of the following teeth likely will have the largest cervico-occlusal length of the crown?,Mandibular first molar,Mandibular second molar,Mandibular third molar,All are the same length,,A,
"Both the mandibular first and second molars posses two buccal grooves, the mesiobuccal and the distobuccal developmental grooves.",True,False,,,,B,
Which tooth is most likely to have 2 roots?,Maxillary central,Mandibular central incisor,Maxillary canine,Mandibular canine,,D,
Which trait can be used to describe all canines and incisors?,The mesial contact is more cervical than the distal contact,The mesial crest of curvature (contact area) is more rounded than the distal,The cingulum is positioned more to the mesial,The curvature of the mesial cervical line is greater than the curvature of the distal cervical line curvature,,D,
Where are the furcations located on the roots of permanent mandibular molars?,Near the middle (mesiodistally) of the facial and lingual surfaces,Near the middle (buccolingually) of the mesial and distal surfaces,"On the mesial, distal, and lingual surfaces","On the facial, distal, and lingual surfaces","On the facial, mesial, and distal surfaces",A,
From which view is only one root visible on a mandibular molar?,Mesial,Distal,Facial,Lingual,Apical,A,
