title,Oral Pathology Exam 3 (Spring 2018),oralpath,exam3
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Statement 1: Alveolar soft part sarcoma most commonly occurs in children and young adults. Statement 2: Synovial sarcoma most commonly occurs in children.,Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement is true,,,,,C,images/oralpath-exam3-spring-2018/fig1.jpeg
Which of the following is a feature of Sturge-Weber angiomatosis?,Lisch nodules,Medullary thyroid carcinoma,Optic gliomas,Pheochromocytoma,Intracranial calcifications,All the above,,,E,
"Please use all caps (upper case). The lesion on the tongue in the attached clinical image was biopsied. Among other important histopathological features, pseudoepitheliomatous hyperplasia is present. What is the most likely diagnosis? (three words)",GRANULAR CELL TUMOR,,,,,,,,FILL,
The presence of a parulis is most indicative of a:,Variant of normal,Reactive process,Primary metabolic abnormality,Neoplastic process,,,,,B,
Pyogenic granulomas commonly cup-out bone when located on the alveolar tissues.,True,False,,,,,,,B,
"Please use all caps (upper case). What is the most likely diagnosis for this painless soft tissue mass with the accompanying histopathology that showed areas of Antoni A, Antoni B and Verocay bodies? (one word)",SCHWANNOMA,,,,,,,,FILL,
Please us all caps (upper case). What is the most likely diagnosis for the abnormality on this patient's dorsal tongue that has a frog egg appearance? (one word),LYMPHANGIOMA|LYMPHATIC MALFORMATION,,,,,,,,FILL,
Please use all caps (upper case). What is the most likely diagnosis for the nodule on this patient's right buccal mucosa? (one word),FIBROMA,,,,,,,,FILL,
Please use all caps (upper case). The patient in this image reported trauma to his left lower lip several weeks ago. What is the most likely diagnosis for this nodule? (one word),MUCOCELE,,,,,,,,FILL,
Please use all caps (upper case). What is most likely diagnosis for the redundant tissue indicated by the blue arrows present at area corresponding to the flanges of this poorly-fitting denture? (two words),EPULIS FISSURATUM,,,,,,,,FILL,
Please use all caps (upper case). What is the term for an abnormality that is microscopically comprised of normal bone with overlying healthy mucosa in an anatomic region that should only include oral soft tissues? (two words),OSSEOUS CHORISTOMA,,,,,,,,FILL,
Please use all caps (upper case). What is the hematogenous route for metastatic disease to spread from below the diaphragm to above the diaphragm? (two words),BATSON'S PLEXUS,,,,,,,,FILL,
Please use all caps (upper case). List two malignancies of vascular tissue. (one word and two words),KAPOSI SARCOMA|ANGIOSARCOMA,KAPOSI SARCOMA|ANGIOSARCOMA,,,,,,,FILL,
Please use all caps (upper case). What is the term for a benign tumor of smooth muscle? (one word),LEIOMYOMA,,,,,,,,FILL,
Please use all caps (upper case). What is the term for a high-flow vascular malformation? (two words),ARTERIOVENOUS MALFORMATION,,,,,,,,FILL,
Please use all caps (upper case) . What is the most common salivary gland tumor? (two words),PLEOMORPHIC ADENOMA|BENIGN MIXED TUMOR,,,,,,,,FILL,
Please use all caps (upper case). What is the most common soft tissue sarcoma in children? (one word),RHABDOMYOSARCOMA,,,,,,,,FILL,
Please use all caps (upper case). What is the term for a benign neoplasm that demonstrates skeletal muscle differentiation? (one word),RHABDOMYOMA,,,,,,,,FILL,
"Please use all caps (upper case). A patient has a red, smooth surfaced nodule on the gingiva. Type the three most likely diagnoses. 3 GRANULOMA| GRANULOMA| GRANULOMAPERIPHERAL GIANT CELL GRANULOMA|",PYOGENIC GRANULOMA|PERIPHERAL OSSIFYING FIBROMA|PERIPHERAL GIANT CELL,PYOGENIC GRANULOMA|PERIPHERAL OSSIFYING FIBROMA|PERIPHERAL GIANT CELL,PYOGENIC GRANULOMA|PERIPHERAL OSSIFYING FIBROMA|PERIPHERAL GIANT CELL,,,,,,FILL,
Which feature of necrotizing sialometaplasia distinguishes it from a malignancy?,Cells with a high nuclear to cytoplasmic ration,Perforation of underlying bone,"A large, painful palatal swelling",Sharply demarcated border of ulceration,,,,,D,
Which of the following is true about Sjogren Syndrome?,It is a simple diagnosis made on either biopsy or lab titer,It has a marked male predilection,There is an ocular and an oral component,There is 20-44x increased risk of salivary gland carcinoma,,,,,C,
Which of the following features identified on sialography is correctly associated with its corresponding condition?,“Sausage link” ductal compressions: Sialosis,"“Fruit-laden, branch-less tree” sialectasia: Sjogren syndrome","Normal distribution of tracer until a specific point in the duct, and then no response: Sialorrhea",“Leafless tree” caused by hypertrophic acini: Chronic sialadenitis,,,,,B,
All of the following are possible etiologies for chronic sialadenitis EXCEPT:,History of acute sialadinitis with damage of the duct,Sailolithiasis,Previous surgery near duct,S. aureus infection,,,,,D,
A clinically diagnosed “mucocele” in which location is suspicious for neoplasia?,Upper lip,Lower lip,Ventral tongue,Soft palate,,,,,D,
Which of the following is true regarding salivary gland aplasia?,It is a relatively common developmental anomaly,It can be a finding in patients with Treacher Collins syndrome,The lack of gland tissue will leave an anatomic defect of the extraoral facial profile,There is no net decrease in saliva compared to a “normal” population,,,,,B,
"Patients with all of the following tumors may demonstrate elevated urinary levels of vanillylmandelic acid, EXCEPT:",Melanotic neuroectodermal of infancy,Neuroblastoma,Pheochromocytoma,Congenital granular cell lesion,,,,,D,
Which of the following is/are (a) component(s) of multiple endocrine neoplasia type 2B?,Malignant peripheral nerve sheath tumor,Pheochromocytomas,Bilateral acoustic schwannomas,Lisch nodules,Palisaded encapsulated neuromas,,,,B,
Which of the following occurs on the face (nose and cheek) in 90% of cases?,Palisaded encapsulated neuroma,Congenital granular cell lesion,Malignant peripheral nerve sheet tumors,Melanotic neuroectodermal of infancy,Metastasis to oral soft tissues,,,,A,
Which is the correct ordering from most likely to least likely for locations of metastatic disease to be identified in the oral soft tissues?,"Gingiva, tongue, anywhere else","Buccal mucosa, gingiva, anywhere else","Tongue, gingiva, anywhere else","Buccal mucosa, tongue, gingiva","Gingiva, buccal mucosa, tongue",,,,A,
"Which of the following is not present at birth, develops in the first few weeks of life, demonstrates rapid growth in the first year of life, then completely involutes between five and ten-years-of-age?",Venous malformation,Rapidly involuting congenital hemangioma,Non involuting congenital hemangioma,Capillary malformation,Hemangioma of infancy,,,,E,
Which of the following statements is true regarding venous and capillary malformations?,They are more common in the maxilla compared to the mandible,They represent a true neoplasm,They represent a reactive tissue growth,They are considered to be low-flow lesions,All of the above,,,,D,
Which of the following salivary gland tumors is most commonly reported to metastasize?,Adenoid cystic carcinoma,Polymorphous adenocarcinoma,Mucoepidermoid carcinoma,Acinic cell carcinoma,,,,,A,
Which of the following entities should be at the top of the differential diagnosis for a clinically described “mucocele” of the retromolar pad?,Pleomorphic adenoma,Mucoepidermoid carcinoma,Sialadenoma papilliferum,Adenoid cystic carcinoma,,,,,B,
Which of the following is true regarding adenoid cystic carcinoma?,Most common in parotid gland,Characterized microscopically by single-cell filing,Perineural invasion often identified microscopically,Associated with the ETV-6-NTRK3 fusion gene,All the above,,,,C,
Which of the following is the most common malignancy of the submandibular gland?,Mucoepidermoid carcinoma,Polymorphous adenocarcinoma,Adenoid cystic carcinoma,Acinic cell carcinoma,,,,,C,
Which of the following is the most common of the tumors classified as malignant mixed tumors?,Mucoepidermoid carcinoma,Carcinosarcoma,Metastasizing mixed tumor,Carcinoma ex pleomorphic adenoma,,,,,D,
Which of the following is true regarding mucoepidermoid carcinoma?,Most common malignant salivary gland tumor in children,Associated with chromosomal translocations,May be intraosseous,Three cell populations identified microscopically in most tumors,All of the above,"B,C and D only",,,E,
Which of the following tumors is/are likely to be associated with patient complaints of pain?,Low-grade mucoepidermoid carcinoma,Secretory carcinoma,Polymorphous adenocarcinoma,Adenoid cystic carcinoma,A &D,B &D,C &D,,G,
"Of the following tumors, which usually has the worst prognosis?",Polymorphous adenocarcinoma,Acinic cell carcinoma,Carcinoma ex pleomorphic adenoma,Secretory carcinoma,,,,,C,
Which of the following would you be least likely to include on the differential diagnosis for a unilateral swelling of the parotid gland in a 60-year-old female?,Warthin tumor,Mucoepidermoid carcinoma,Pleomorphic adenoma,Canalicular adenoma,,,,,D,
Which of the following is most likely to clinically resemble a squamous papilloma?,Papillary cystadenoma,Sialadenoma papilliferum,Intraductal papilloma,Inverted ductal papilloma,,,,,B,
Which of the following is false regarding Warthin tumor?,There is a female predilection,Most cases affect the bilateral parotid glands,Linked with smoking,"Presents clinically as a slow growing, painless mass",A &B,A &C,B &C,B &D,E,
Statement 1: The typical appearance of pleomorphic adenoma is a smooth-surfaced submucosal mass. Statement 2: Myoepithelioma is considered to be on the spectrum of pleomorphic adenoma.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 2 is true, statement 1 is false",,,,,A,
Which intraoral site is most commonly affected by salivary gland tumors?,Buccal mucosa,Palate,Tongue,Upper lip,,,,,B,
"For salivary gland tumors overall, which of the following correctly ranks the glands involved from most to least common?",Sublingual >Submandibular >Minor glands >Parotid,Parotid >Minor glands >Submandibular >Sublingual,Parotid >Submandibular >Minor glands >Sublingual,Parotid >Submandibular >Sublingual >Minor glands,,,,,B,
"What do the terms, “pleomorphic adenoma” and “benign mixed tumor” imply about the lesion which they describe?",The presence of pleomorphic cells within the lesion,The lesion is derived from multiple germ layers,There is variability in the histopathologic appearance,The lesion tends to be locally aggressive,,,,,C,
Which of the following conditions is associated with a purulent exudate?,Sialorrhea,Acute sialadenitis,Necrotizing sialometaplasia,Ranula,,,,,B,
Which of the following is true of a mucocele?,“Popping” the lesion is definitive treatment and recurrence is unlikely,Always look blue through the mucosa,Lower lip is the most common site,Uncommon in children,,,,,C,
Which of the following is not associated with a true sialorrhea?,Heavy-metal poisoning,Rabies,Cholinergic medications to treat dementia or myasthenia gravis,Muscular dystrophy,,,,,D,
The histology report issued for a biopsy you submitted reads: “There is an increase in the number of normal acini expected in this region”.  Which of the following statements is true of the lesion this report describes?,Occurs most often on the palate,Occurs most often in the parotid gland,Presents as a “leafless tree” on sialography,Associated with eating disorders,,,,,A,
