title,Periodontics I Final Exam (Spring 2018),perio1,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What is true regarding the Engler (1996) study of Gingivectomy healing in monkeys?,Healing happens at a rate of 1mm per day in every direction,It took 8 weeks for the new gingival sulcus to completely heal,JE (Junctional Epithelium) heals more quickly than Gingival Epithelium,All of the above,,,C,
Which of the following definitions is true?,Regeneration is the reunion of epithelium and connective tissue with root surfaces that occurs after an incision or injury.,Regeneration is the union of epithelium or connective tissue with a root surface that has been deprived of its original attachment apparatus.,Regeneration is epithelial adhesion and/or connective tissue adaptation or attachment which may include new cementum,None of the above is true,,,D,
Normal wound healing consists of three phases. What is true regarding these phases?,The inflammation phase only lasts three days,The remodeling phase can take up to two years,Wound contraction begins only after the inflammation phase is completed,All of the above,,,B,
What happens when there is Delayed Primary Closure?,This can occur when there is a laceration involving foreign bodies.,This is the fastest type of closure,The wound is surgically treated first and then observed for a few days,None of the above,,,A,
What occurs when there is an injury with a simple linear incision?,There is a cellular phase which is mediated by vasoactive substances and changes in the nature of the vessel wall,There is repair through a substrate phase which is mediated mainly by fibroblasts,a. and b.,None of the above,,,B,
Wang HL (2006) described four stages used to successfully regenerate bone. What was the third phase that he described?,Space maintenance for bone ingrowth,Angiogenesis,Primary Closure,Wound stability,,,A,
What did Lang (1975) prove in his article regarding results of Mucogingival Surgery?,That it is possible to have periodontal regeneration,That gingival grafts can not be used to augment the zone of attached gingiva,That split thickness grafts of palatal or gingival tissue retain their original characteristics when transplanted to the alveolar mucosa.,All of the above,,,C,
According to Ritz (1991) which method removed the least amount of root substance after 12 strokes?,Manual curet,Sonic scaler,Ultrasonic scaler,Rotating diamond bur,,,C,
According to Lindhe (1982) what is the average critical probing depth for loss of attachment when performing Scaling and Root Planing?,4.2mm,2.1mm,5.5mm,2.9mm,,,D,
When probing depths are 4-6mm what percent of the time are the roots clean after Scaling/Root Planing?,43%,32%,25%,90%,,,A,
Which of the following are important factors related to periodontal probing prior to scaling?,Amount of calculus,Shape of the pocket,Root Morphology,All of the above,,,D,
According to Proye (1982) what is true regarding pocket depth following one visit of scaling and root planning?,Recession was noticed after three weeks,There was a gain in attachment after two weeks,The average attachment gain was 0.52mm,All of the above,,,C,
