title,PCOD II Final Exam (Spring 2021),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following composites are made up of large glass particles and give a rough surface and poor polish?,Macrofilled composites,Microfilled composites,Flowable composites,All composites and that is why we always polish,,,A,
Which statement is INCORRECT?,"The smaller the filler particle size, the better the polishability","The bigger the filler particle size, the greater the wear resistance","The bigger the filler particle size, the great the strength","The smaller the filler particle size, the greater the strength",,,D,
Finishing and polishing your restorations is important for your patient's:,Gingival health,Comfort,Chewing efficiency,All of the answers,,,D,
Finishing of a restoration is define as:,Shaping the restored surface to the original,Creating a high gloss or luster on the finished surface,Removing surface scratches and any defects remaining after contouring,None of the answers,,,C,
In which of the following order would you use instruments for finishing and polishing of a restoration?,"Yellow, Red, White","Yellow, White, Red","Red, Yellow, White","White, Yellow, Red",,,C,
This is an image of overhang. What did the doctor do wrong?,Did not place rubber dam,Did not place wedge,Did not use a matrix band,Did not remove old restoration,,,B,
In clinic the entire preparation should be cut with a high speed handpiece.,True,False,,,,,B,
When you are excavating decay a round bur should be used.,The smaller the round bur the less likely it is to perforate the pulp,The larger the round bur the less likely it is to perforate the pulp,The size of the round bur does not effect if someone perforates,Only use a round bur to bevel the cavosurface margin,,,B,
Liners should be placed in,.5mm increments,1-2 mm increments,2-4 mm increments,The amount doesn't matter since we are using composite,,,A,
Bases are used to/for:,Prevent chemical Insult,Thermal insulation,"Return the preparation to ""ideal""","Prevent chemical Insult, and thermal insulation","Thermal insulation, and return the preparation to ""ideal""",,E,
Below are characteristics of infected dentin.,Must be removed,Cannot be remineralized,Bacteria is present,Collagen is denatured,"Cannot be remineralized, and bacteria is present",All of the answers,F,
True/False: The use of caries detector dye can lead to a significant clinical over-preparation due to the diffusion into infected and affected dentin.,True,False,,,,,A,
A Dentist should always remove questionably carious dentin if it is,Hard and shiny,Soft and mushy,Discolored,,,,B,
A carious lesion along the margin of a restoration is considered:,Recurrent decay,Incipient caries,Affected dentin,Microleakage,,,A,
When placing a liner directly on pulp tissue it is called:,Indirect pulp capping,Direct pulp capping,We never place a liner on pulp tissue,Indirect pulp covering,,,B,
The process of using a glass ionomer is simple and similar to that of composite. You must remember to etch and bond accordingly for effective use.,True,False,,,,,B,
This will be restored with a glass ionomer. What is true in this situation?,Glass Ionomer cannot be used in this area because of occlusal wear,Glass ionomer cannot match the tooth color,Glass Ionomer can only be used as a base- not as a restorative material,None of the answers,,,D,
What are some advantages of using a glass ionomer?,Tooth colored,Fluoride release,Resin can be added to it,Tooth colored & fluoride release,All of the answers,,E,
Interim restorations are sometimes needed to:,Prevent contamination of a preparation,Maintain space,To prevent pain,All of the answers,,,D,
Placing an interim restoration saves you time because:,No need to a matrix band,You do not need to wait for the material to set,It is not very technique sensitive,All of the answers,,,C,
The following is true of matrix bands,Must extend past the gingival cavosurface margin of the preparation for adequate seal,Matrix bands needs to be slightly smaller than the occlusal circumference of the tooth,When placing the matrix band the narrow end is always toward the occlusal,It is not recommended to use Denovo bands in pediatric patients,,,A,
What is NOT true about this system?,Disposable,Expensive,It is versatile and can be used in more than one quadrant,All of the answers are TRUE.,,,D,
You have completed a restoration. After checking with articulating paper you see a bull’s eye on a tooth. This means:,That was your Target and the restoration was great- no need to adjust,The restoration is not ideal and needs to be adjusted,"There is heavy occlusion in that area- but that is okay, the patient will adjust after a week or two.","Look at the rest of the tooth, if there are bull’s eyes on two other/additional cusps, its tripodization and its fine- no adjustment needed.",,,B,
"If you have a compromised tooth and you do a large interim restoration, its best to make sure",It is restored with heavy occlusion,It is restored to be in occlusion with the opposing arch,It is restored with light occlusion,You do not have to worry about occlusion when restoring a tooth.,,,C,
An example of galvanism is,Amalgam contacting gold,Amalgam contacting composite,Amalgam contacting porcelain,,,,A,
"When preparing two adjacent interproximal caries, you prepare the larger one first. What is the justification for preparing the larger one first?",You excavate the bigger one first so you do not want disease to spread.,You excavate the bigger one so that the smaller preparation can be very conservative.,You excavate the bigger one first so that you can break contact.,You always prepare the smaller one first.,,,B,
True/False: Telling your patient you can finish everything in a quadrant in one appointment is always a good idea.,True,False,,,,,B,
Who can benefit from quadrant dentistry?,Special needs patients,Pediatrics patients,Provider,All of the answers,,,D,
You are doing a classic MO preparation on tooth #19. The outline form should:,preserve the integrity of the uninvolved marginal ridge,be large enough to for the smallest plugger,incorporate all the infected grooves,all of the answers,,,D,
How would you classify this preparation?,Mesial Occlusal (MO),Mesial (M),Distal-Occlusal (DO),Distal (D),,,C,
"True or false: When more than one-half of the cusp-tip to cusp-tip tooth structure is removed, a fullcrown or onlay covering all of the remaining cusps is recommended.",True,False,,,,,A,
Why would you choose to do a large composite buildup of a broken down tooth instead of making a crown?,Due to patient finances,Due to patient's health,Due to patient's inability to come for many appointments,More than one answers,,,D,
Iatrogenic means:,Damage caused by natural causes,Damage caused by a provider,Damage caused spontaneously,Damage caused by genetics,,,B,
The way that you are MOST LIKELY to ensure that you have adequate contact is:,Using a wedge,Burnish your matrix band,Condensing your composite,Using flowable composite,,,B,
The occlusal cavo-surface margin of a posterior composite preparation is finished,With a hollow point bevel,With a ground hollow bevel,With no bevel,With a bevel that is .5mm-1mm wide,With a bevel that is angled at 45 degrees and which is .5-1.0mm,,C,
Your patient presents with a large diastema between teeth #8 and #9. The first thing you should do is,Ask the patient if there is anything they would like to change about their smile,Measure the width of the diastema with a perio probe,Make a shade selection,Determine the best method of closing the diastema.,,,A,
Why is a bevel placed on the facial cavo-surface margin of a class III restoration?,To increase the surface area for bonding,To aid in esthetics,To provide a gradual transition from the restoration to the surrounding tooth structure,To increase the surface area for bonding & to provide a gradual transition from the restoration to the surrounding tooth structure,All of the answers,,E,
According to the golden proportion rule the ratio of length to width of the central incisor is:,1.0,1.6,1.8,.8,,,B,
Chroma refers to the,saturation of color,complement of color,the lightness of color,the reflection of color,,,A,
Due to metamerism,Objects will appear the same in different light,Objects will vary in appearance in different light,Objects can blend together in different lighting,Objects maintain their color over time,,,B,
Omnichromatic composites have the ability to shade match mainly based on its unique,coupling agent,filler,resin,etch,,,B,
The difference in the bonding mechanism to tooth structure for a composite and a glass ionomer (GIC) is:,"the bond of composite to dentin is chemical, and GIC to dentin is micromechanical","the bond of composite to dentin is micromechanical, and GIC to dentin is chemical","the bond of composite to enamel is chemical, and GIC to enamel is micromechanical",there is no difference between the bond of composites and GIC to tooth structure,none of the answers,,B,
"When carving an amalgam restoration, which of the following statements are false?",Carving may be easier by waiting 1-2 minutes after condensation before starting to carve,"The blade of a discoid-cleoid carver should be parallel to the margins, resting only on the partially set amalgam",Proper occlusal anatomy should be carved,The carved amalgam outline should coincide with the cavosurface margins,,,B,
The reason for overfilling a cavity preparation with amalgam prior to carving is:,to avoid creating flash at the margins,to get acceptable interproximal contacts,to eliminate the excess mercury in the restoration while carving the anatomical form,so that polishing can be performed immediately after anatomical carving,all of the answers,,C,
What is the most predominant element in dental amalgam?,Silver,Copper,Tin,Mercury,Zinc,,D,
Amalgam gamma-2 phase refers to:,Ag-Sn,Ag-Hg,Sn-Hg,Cu-Sn,Cu-Hg,,C,
An evaluation of which of the following represents the most important aspect in shade selection?,Hue,Value,Chroma,Size,Shape,,B,
"True/False: You have completed a preparation and removed all the decay, but the outline form doesn’t look exactly like the preparations you learned in PCODII. The right thing is to modify and extend the preparation to make it look like the image on the powerpoint.",True,False,,,,,B,
The generally accepted maximum thickness of a composite increment that allows for proper cure is,1-2mm,2-4mm,4-6mm,There is no minimum thickness restriction,,,A,
Which of the following is a primary contraindication for the use of a composite restoration?,Occlusal factors,Inability to isolate the operating area,Nonesthetic areas,Extension onto the root surface,,,B,
The powder component in an unmixed amalgam capsule contains:,Ag-Sn and Cu-Sn,Ag-Sn and Ag-Cu,Ag-Cu and Cu-Sn,Ag-Hg and Cu-Sn,none of the answers,,B,
