title,Removable Prosthodontics Midterm Exam (Fall 2017),rempros,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which tissue has as its primary function to provide stability to the upper and lower lip and tongue,Frenum,Hamular notch,Rugae,Labial vestibule,,A,
The anatomic landmark located in the anterior maxilla that is a landmark for identifying a patient's midline is called,Incisive papillae,Buccal frenum,Rugae,Hamular notch,,A,
"When taking an alginate impression, it is best to insert the impression tray in the patients mouth",From the side,Using a single handed technique,With the patient in the supine position,in reverse,,A,
The technique used to recognize an exostosis is a patient,Alginate impression,Ph test,Serum glucose test,palpation,,D,
What factor is most important in determining how well a person can adapt to a full denture,Underlying bone,Alginate,Denture stability,Length of tongue,Amount of saliva,A,
What material is used to provide a negative imprint of an edentulous ridge and for making a study cast,Alginate,Bite registration,Shade selection,Shim fabrication,,A,
What material is used to take a final impression for the fabrication of a full denture,Vinyl impression,Bite registration,Face bow,Centric occlusion,,A,
What technique is used to provide better access to different areas of a study cast for fabrication of a custom tray,Trimming a model,Blocking out undercuts,Mounting,Articulating,None of these,A,
What makes the most accurate impression,An even thickness of impression material,Number of undercuts,Presence of a copious amount of saliva,An abundance of tissue,,A,
"When portions of the impression tray are exposed when taking an alginate impression, it is considered to be",Favorable because the tray is properly seated,Unfavorable because an even thickness of the impression material is absent in that area,Favorable because the material set faster in the area,Unfavorable because it is less comfortable to the patient,,B,
The future of Dental Impressions is evolving for elastic impression materials to,Digital impressions,Alginate impressions,Bite registration materials,Advanced impression materials,,A,
Material used to alter a stock impression tray in order to better adapt to the contours of the patients' mouth is,Wax,Stone,Putty,Alginate,,A,
A wafer like material that is initially soft and adapts to a preliminary cast to fabricate a custom tray is called,Triad material,Light body impression material,Sticky wax,Putty,,A,
What material is painted on an adapted triad material prior to curing in a light curing oven?,Air barrier,Vaseline,Separator,Impression material,,A,
The rectangular openings placed in a wax spacer prior to placement of triad material is called,Tissue stops,Air barrier,Base plate,Putty,,A,
The technique used to extend an intentionally shortened stock tray in order to capture the fullest extent of the patients' vestibule is called,Border molding,Tissue conditioning,Labial moulage,alveoloplasty,,A,
Areas that may develop sore spots due to an overextended denture is called,Relief areas,Supporting areas,Tissue bearing areas,Tuberosity areas,Genial tubercle,A,
A tray made of photoactivated polymer adapted on a cast and used to place an occlusal rim is called a,Baseplate,Custom tray,Final impression,Face bow,,A,
The base plate for an occlusal rim is extended,To the extent of the vestibule,1mm shy of the vestibule,beyond a wax shim,3mm beyond the alveolus,,A,
The approximate dimensions of the length of the labial portion of an occlusal rim is,20 to 22 mm,10 to 12 mm,6 to 8 mm,14 to 18 mm,,A,
What is the approximate width of the anterior portion of the occlusal rim,3 to 5 mm,5 to 7 mm,9 to 12 mm,10 to 30 mm,,A,
The flat border extended beyond the flanges that is used to scribe markings to designate where teeth are going to be set is called,Land area,Retromolar area,Frenum,Vestibule,,A,
The device that is used to record the positional relationship of the maxillary arch to the condyles is called,Face bow,Occlusal records,Bite registration,Incisal pin,,A,
The part of the face bow that is used to transfer the relationship of the actual bow to the bite fork is called the,Transfer rod,Earpiece,Occlusal rim,Bite registration,,A,
The anatomic landmark located immediately posterior to the labial frenum is called,Fovea Palatine,Tuberosity,incisive foramen,Buccal Frenum,,C,
What anatomic structure connects the buccal frenum to the maxillary tuberosity,Buccal vestibule,Mid palatine Raphe,Hamular notch,Soft palate,Tongue,A,
A relatively repeatable position on patients face that is referred to in denture construction is called,Ala tragus line,Vertical dimension of occlusion,Centric Relation,Occlusal rims,,A,
The shape of anterior teeth includes which of the following.,Square,Tapering,Ovoid,All of the above,,D,
Which facial type is widest at the hairline and narrowest at the angles of the jaw.,Square Face,Square tapering ovoid Face,Tapering Face,Ovoid Face,,C,
Which facial type is where the sides of the face from the hairline to the levels of the condyles to the angles of the jaw are straight and parallel.,Square Face,Square tapering ovoid Face,Tapering Face,Ovoid Face,,A,
Which facial type is where the sides of the head are parallel from the condyles upward. From the condyles downward along the sides of the face the outline tapers in to the angles of the jaw.,Square Face,Square Tapering Face,Tapering Face,Ovoid Face,,B,
Which facial type is widest through the center at the level of the condyles. It curves upward and downward to form an oval outline.,Square Face,Square Tapering Face,Tapering Face,Ovoid Face,,D,
