title,Periodontics I Quiz 4 (Spring 2017),perio1,quiz
question,option_a,option_b,option_c,option_d,correct,image
Which of the following is a feature of the Piezoelectric Ultrasonic Scaler?,The pattern of the vibration of the tip is elliptical,There is no electrical current involved,"The tip vibrates 25,000 - 50,000 cycles per second",It is not safe to use in patients with cardiac pacemakers,C,
What is true regarding Ultrasonic Instrumentation?,Operator has more tactile sensitivity during use,Ultrasonic tip needs to be sharpened,There is less access in Class II or III Furcations,There is less operator fatigue,D,
"According to Tarnow and Fletcher (1984): If a patient had radiographic bone loss in the furcation area of tooth #30 which did not clinically extend through the through and had a vertical depth of 4mm, how would that furcation area be Classified?",Grade II Subclass B,Grade II Subclass A,Grade III Subclass B,Grade I Subclass C,A,
What is pyrophosphate used for in toothpaste?,Caries protection,Anti-calculus agent,Desensitizing agent,Whitening agent,B,
Which of the following is a feature of “Triclosan”?,It has no effect on inflammatory mediators,Triclosan is used in the United States in antibacterial soaps,It has antiplaque activity for up to 12 hours after brushing,It is one of the inactive ingredients in Colgate Total,C,
Dentinal tubules contain fluids from the pulp that can transmit pain producing stimuli. Which of the following statements is true regarding tooth sensitivity?,There are mechano-receptors of pulpal nerve fibers attached to odontoblasts that protrude into the dentinal tubules.,Air can cause osmotic movement in the tubules that can lead to sensitivity,Sweets can cause fluid to shrink in the tubules that can lead to sensitivity,Cold can cause osmotic movement in the tubules that can lead to sensitivity,A,
Which of the following is true regarding Gingival Massage?,Gingival Massage protects against microorganisms and other local irritants,Gingival Massage can increase mitotic activity in the epithelium and connective tissue,Gingival Massage decreases circulation,Gingival Massage decreases keratinization of the epithelium,B,
The removal of microbial plaque has all of the following effects except:,It slows the progression of calculus,It resolves gingival inflammation,Needs to be performed twice daily to prevent Gingivitis,Is sufficient to reduce the parameters associated with Periodontitis,D,
Which of the following dentrifice abrasives is least abrasive?,Calcium carbonate,Dicalcium phosphate dihydrate,Sodium bicarbonate,Silica,C,
Which of the following can be a contraindication for the use of Ultrasonic instrumentation?,Patients who have a Cardiac Pacemaker,Patients with a communicable disease that may be transmitted by aerosol,Patients with porcelain or bonded restorations,All of the above,D,
