title,DAO Final Exam (Summer 2019),dao,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A cervical ridge is found on the facial surface of how many primary teeth?,8,20,12,4,,,B,
After taking an alginate impression it is important to wrap in a dripping wet towel and the impression must be pour up within 90 minutes of removal from the mouth,True,False,,,,,B,
All mandibular motion can be described using rotation and/or translation movements.,True,False,,,,,A,
All of the following are convexities on a tooth except:,Fossa,Cusp,Ridge,Tubercle,Cingulum,,A,
Canines usually erupt _________ 1st molars.,Before,After,At the same time as,,,,B,
From what view is only one root visable on a mandibular first molar?,mesial,distal,buccal,lingual,apical,,A,
Gliding movement is referred to as:,rotation,translation,protrusion,retrusion,,,B,
"If the maxillary 1st molar were to have 4 canals, there would be 2 canals located in which root?",Mesiobuccal,distobuccal,palatal,mesial,distal,,A,
In the upper compartment of the TMJ _____ occurs. In the lower compartment of thw TMJ ____ occurs.,"translation, rotation","rotation, translation","translation, translation","rotation, rotation",,,A,
Irreversible hydrocolloid can be used for all of the following indications except:,Preliminary impression,Study models,Mouth guards,Bleaching trays,None of the above,,E,
"List the cusps in sequential order, from the largest to smallest on the maxillary first molar","Mesiolingual, mesiobuccal, distobuccal, distolingual","Mesiobuccal, mesiolingual, distobuccal, distolingual","Distobuccal, mesiobuccal, distolingualm mesiolingual","Distolingual, mesiolingual, mesiobuccal, distobuccal",,,A,
Maximum intercuspation is most similar to:,centric relation,centric occlusion,posselts envelope,protrusion,,,B,
Oblique ridge of the maxillary molar extends from:,MB to ML cusp,DB to DL cusp,MB to DL cusp,DB to the ML cusp,,,D,
"On the maxillary canine, the slope of the mesial incisal edge is longer than the slope of the distal incisal edge. On the maxillary 1st premolar, the slope of the mesial incisal edge is longer than the slope of the distal incisal edge.",First statement is true. Second statement is false.,First statement is false. Second statement is true.,Both statements are true.,Both statements are false.,,,B,
Ordinarily a 7 year old would most likely have what teeth clinically visible in the mouth?,All 20 primary teeth and 4 permanent teeth,18 primary teeth and 2 permanent teeth,16 primary teeth and 8 permanent teeth,12 primary teeth and 12 permanent teeth,,,C,
Permanent Deformation is the degree to which a flexible impression does not return to its original shape after being removed from the mouth,True,False,,,,,A,
Proper facial and lingual heights of contour of teeth provide:,Self-cleansing of the sulcus,Deflection of food from the sulcus,Protection from occlusal trauma,Prevention of food impaction,All of the above,,E,
Ridges can be:,Linear,Triangular,Neither,Both,,,D,
Teeth often develop from,"1,2 or 3 lobes","2,3 or 4 lobes","3,4 or 5 lobes","4,5 or 6 lobes",,,C,
The amount of porosity in set plaster and stone is independent of the amount of excess water used while mixing. This porosity causes weakness of the model and softness of its surface.,True,False,,,,,B,
The anterior-posterior curve is called the:,curve of Spee,curve of Wilson,sphere of monson,curve of Carabelli,,,A,
The cingulum is centered mesiodistally on,maxillary central incisor,maxillary canine,mandibular canine,all of the above,none of the above.,,B,
The clinical importance of Centric Relation (CR) is:,The condyles are at the most anterior portion of the articular eminence,It tells us exactly how a patients' teeth fit together,"It is a clinically useful, repeatable reference position",Its position gives the dentist the functional age of the patient,,,C,
The cusp tip of mandibular canine is located,mesial and facial to the midline of the tooth,mesial and lingual to the midline of the tooth,distal and facial to the midline of the tooth,distal and lingual to the midline of the tooth,,,B,
The following teeth have unique development grooves EXCEPT for the:,mandibular first premolar,maxillary first premolar,maxillary lateral incisor,mandibular lateral incisor,,,D,
The gingival embrasure is usually occupied by a:,interdental papilla,marginal ridge,height of contour,lobe,,,A,
The horizontal distance between the labioincisal surfaces of mandibular incisors and the linguoincisal surfaces of maxillary teeth is referred to as.,overjet,over bite,openbite,crossbite,,,A,
The incisal edge exhibits a distolingual twist.,Maxillary central incisor,maxillary lateral incisor,mandibular central incisor,mandibular lateral incisor,,,D,
The movement of the mandible when one condyle is rotating in the mandibular fossa and the other condyle is rotating and translating down the articular eminence is:,Not a possible movement as described,A lateral movement,A protrusive only movement,A retrusive movement,,,B,
The period of mixed dentition generally extends from the age of:,6 months through 6 years,3 years through 9 years,6 years through 12 years,9 years through 15 years,12 years through 18 years,,C,
The period of the primary dentition begins:,At six years of age,When the first primary tooth erupts,At birth,Before the first tooth erupts,At twelve years of age,,B,
The position known as maximum intercuspation position is:,Dependent upon the condyles being seated in the mandibular (glenoid) fossa,"Is the position determined by the patient bringing their teeth together in the comfortable, contacting position.",Independent of the position of the condyles.,b and c,,,D,
The tooth most likely to have 5 cusps is:,maxillary 1st molar,maxillary 2nd molar,mandibular 1st molar,mandibular 2nd molar,,,C,
The “gain” of water into the brush-heap structure of reversible hydrocolloid is known as,Syneresis,Wetting,Hydroscopic Intuition,Imbibition,Iambic pentameter,,D,
There are more supplemental grooves in a tooth as you move more posteriorly in the mouth.,True,False,,,,,A,
Tooth #11 could be a tooth from which of the following systems:,Palmer System,Universal System,FDI,Palmer and Universal,FDI and Universal,Palmer and FDI,E,
