title,PCOD II Quiz 1 (Spring 2017),pcod2,quiz
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Calcium hydroxide liner is used for which the following purposes?,Protects the pulp from chemical insult,Used as a thermal insulator,Used as an antibacterial agent,a and c,all of the above,,D,
A glass ionomer base is used for which of the following purposes?,As a thermal insulator under composite restorations,To protect a calcium hydroxide liner from being crushed during condensation of amalgam,To stimulate reparative dentin,all of the above,none of the above,,B,
A calcium hydroxide liner should be applied in a thin layer because:,its thermal insulating effect is enhanced in thin layers,it has low compressive strength,it has high compressive strength,a and b,none of the above,,B,
IRM is used for which of the following purposes?,Temporary intracoronal restorations.,Restore function until a permanent restoration can be placed,Relieve tooth pain,b and c,all of the above,,E,
The main ingredient of the liquid portion of IRM® is:,Methylmethacrylate (MMA),Eugenol,Water,Zinc acetate,None of the above,,B,
IRM® should not be used under composite restorations because:,the zinc acetate will prevent composites from bonding to the tooth,"the material is too weak, and will distort during the placement of the composite",the eugenol will prevent the bonding agent and composite from completely polymerizing,a and c,all of the above,,C,
The chemical reaction of the components of IRM is considered to be “autocatalytic” because:,water is a catalyst and also a product of the reaction,it can be used in the manufacture of catalytic mufflers,zinc eugenolate is a catalyst for the reaction,a and c,none of the above,,A,
The correct powder/liquid ratio for IRM is:,1 level scoop powder : 1 drop liquid,2 level scoops powder : 1 drop liquid,1 level scoop powder : 2 drops liquid,1 level scoop powder : 3 drops liquid,none of the above,,A,
Both brands of glass ionomer base used in the preclinic exercises are mixed in the amalgamator at a speed of:,2400 CPM,3500 CPM,4800 CPM,4200 CPM,"10,000 CPM",none of the above,D,
The correct ratio of catalyst paste to base paste for Dycal® is:,Equal volumes of catalyst and base pastes,2 to 1 : catalyst to base,1 to 2 : catalyst to base,none of the above,,,A,
"For a lingual approach Class III composite preparation, the facial wall is beveled:",only when the facial wall extends into the facial embrasure,whenever the facial wall breaks contact with the adjacent tooth,whenever the lingual wall is beveled,all of the above,none of the above,,A,
A facial approach Class III composite preparation is used only when:,a carious lesion is visually evident from the facial view,the lingual wall is intact with no visual evidence of a carious lesion,the proximal carious lesion is only evident on a radiograph and not visually evident,a and b,all of the above,,D,
"In a lingual approach Class III preparation, the gingival and incisal walls are parallel to each other in order to:",create retentive form,create convenience form,increase the bond strength of the restoration,all of the above,none of the above,,A,
Which of the following are features of a three surface Class III preparation (e.g. FML)?,Facial cavosurface margin is crescent shaped,Lingual cavosurface margin is rectangular in shape,Facial cavosurface margin has a 1 mm bevel,Retentive grooves are placed gingivally and incisally at the expense of the gingival and incisal walls,all of the above,,E,
The buccal and lingual walls of the proximal box of a Class II MOD composite preparation should be:,slightly divergent to form a dovetail,parallel to form a dovetail,slightly convergent to form a dovetail,All of the above,none of the above,,C,
