title,GDA Final Exam (Summer 2021),gda,final,"No figures are available in this exam's source file, so 6 questions (cleft lip/palate classification, a suture, a plane of reference, and 2 clinical findings) reference a figure that is not shown."
question,option_a,option_b,option_c,option_d,option_e,correct,image
Enamel is derived from ectoderm from the oral cavity. All other tissues are derived from mesoderm.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,C,
Tooth development begins at week __ with thickening of the oral epithelium which forms the dental lamina.,4,5,6,7,8,C,
Accessional teeth are those that erupt to the take the place in the arch once held by primary teeth.,True,False,,,,B,
During which stage of tooth development do the inner and outer enamel epithelium form?,Bud stage,Cap stage,Bell stage,,,B,
"The _______, derived from neural crest cells, is a specialized vascular connective tissue that surrounds the root of the tooth, attaching it to the alveolar bone.",Cementum,Periodontal ligament,Dental follicle,Stellate reticulum,,B,
Which of the following cells are responsible for the development of the enamel?,Ameloblasts,Odontobalsts,Cementoblasts,Striae of Retzius,,A,
"Which type of dentin forms in response to attrition, abrasion, caries or restorative treatment?",Primary,Secondary,Tertiary,,,C,
Mandibular teeth usually erupt after maxillary teeth. Eruption generally occurs earlier in girls than in boys.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,D,
Which of the following is not a function of the periodontal ligament?,Nutritive,Sensory,Supportive,Remodeling,All of the above are functions of the PDL,E,
The stomodeum is the primordium of what?,Mouth,Tongue,Teeth,Cheeks,Lips,A,
During what season is growth in height the fastest?,Spring,Summer,Winter,Fall,,A,
Fill in the blanks. _____________________ is the most important hormone related to growth and development and secreted by the _________________________.,Somatotropin (HGH); pituitary,Estrogen; ovaries,Thyroid hormone; parathyroid,Somatotropin (HGH); thymus,,A,
Which is the following types of cells are the only haploid cells in the body?,Stem cells,Neural crest cells,Gametes,Dermal cells,Red blood cells,C,
Where does fertilization of the ovum by the sperm take place?,Ovary,Endometrial lining of uterus,Uterine tube,None of the above,,C,
Skeletal muscles arise from which germ layer?,Ectoderm,Mesoderm,Endoderm,,,B,
What is the adult analogue of aortic arch 6?,The arch involutes,Ductus Arteriosus,Common Carotid Artery,Stapedial Arteries,Maxillary artery,B,
"According to the Rule of 5s, approximately how many centimeters in head growth occurs during the first year of life?",5cm,10 cm,15 cm,25 cm,50 cm,D,
Which pharyngeal arch gives rise to the muscles of mastication?,Arch 1,Arch 2,Arch 3,Arch 4,Arch 5,A,
Which two pharyngeal arches contribute to the formation of the hyoid?,Arches 1 and 2,Arches 2 and 3,Arches 3 and 4,Arches 4 and 5,Arches 5 and 6,B,
Cranial Nerve X is the ________ Nerve and its function is ____________.,Glossopharygeal; Extraocular eye movement,Vestibulochochlear; Gag reflex and phonation,Hypoglossal; Taste on anterior tongue,Vagus; Hearing and equilibrium,None of the answer choices are correct,E,
What is the name and function of Cranial Nerve VIII?,"Glossopharyngeal, taste in the posterior tongue","Hypoglossal, visceral muscle movement","Glossopharyngeal, eyeball movement","Vestibulocochlear, hearing","Hypoglossal, movement of the tongue",D,
