title,Fixed Prosthodontics Final Exam (Fall 2023),fixedpros,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"When fabricating a porcelain fused to metal crown, the coefficient of thermal expansion of the metal should be lower than the coefficientof thermal expansion of the porcelain:",True,False,,,,,B,
"Ms. Jones presents to your office with a large, fractured MOD amalgam on tooth # 3 with clear evidence of marginal breakdown and decay. The tooth has completed endodontic therapy, is asymptomatic and is ready for restoration. She has poor oral hygiene, and you find moderate gingivitis. The ideal restoration for this tooth would be:",All ceramic crown,Ceramic or gold onlay,Replace the MOD amalgam,None of the above,,,B,
"Mrs. Washington presents to your office as a new patient. You are completing her comprehensive exam, and the last item is making physical diagnostic casts using irreversible hydrocolloid. She has mentioned in the patient interview that she has a pronounced gag reflex which has been a problem in previous dental visits. You, of course, want to make Mrs. Washington comfortable so you would alter your procedure by:",Impression material setting time (Fast set vs Regular set,Change the manufacturers recommended liquid to powder ratio,Alter the water temperature,Impression material setting time and alter the water temperature,,,D,
"When preparing an MODBL ceramic onlay on tooth # 14, the preparation should have a gingival bevel on all prepared margins:",True,False,,,,,B,
"Ms. Franklin was referred to your office because of the excellent reputation of TCDM graduates. She presents with chipped and malposed teeth #7-#10 with numerous older, stained composite restorations. She would like to have crowns placed. Upon examination you discover she has limited inter-occlusal space between arches. The ideal restoration of choice would be:",All Porcelain Crowns,All Metal Crowns,Porcelain fused to metal crowns with a metal palatal surface.,None of the above,,,C,
"When treatment planning a fixed prosthesis on teeth #3-#6, you have noted in your clinical examination that the mandibular occlusal plane is not ideal. When treating this patient with the ideal result in mind you should:",Fabricate the prosthesis and then adjust the mandibular plane,Adjust the occlusal plane prior to preparing the maxillary teeth,Fabricate the prosthesis to accommodate the existing occlusalplane,None of the above,,,B,
"If Elastic Recovery of an impression material is 98%, then the permanent Deformation would also be 98%:",True,False,,,,,B,
An example of a thixotropic impression material would be:,Reversible Hydrocolloid,Irreversible Hydrocolloid,Polyether,None of the above,,,C,
Hydrophobic impression materials will “wet” intraoral structures better than Hydrophilic impression materials:,True,False,,,,,B,
"Mrs. Pennywhistle is wearing a PMMA provisional from #3-#5 with a pontic at #4 site. Three weeks after you insert the provisional it fractures between 3 and 4. To properly repair this provisional you would: 1) Clean the provisional cement in an ultrasonic cleaner 2) Roughen the broken surfaces with a green stone 3) Clean the surfaces with an alcohol swab and dry 4) Place Flowable composite on both surfaces, place in the mouth and cure 5) Adjust, repolish, check occlusion and recement",True,False,,,,,B,
"When preparing the interproximal margins of a ceramic laminate veneer, we want the interproximal margin to be at a 45-degree angle tothe adjacent teeth:",True,False,,,,,B,
The thickness of remaining dentin following crown preparation is inversely proportional to adverse pulpal responses:,True,False,,,,,A,
"When fabricating a multiple unit fixed prosthesis, which of the following is the MOST important limiting factor for success. One of these, if improperly executed will lead to failure every time:",Esthetics,Material Selection,Parallelism,Choice of margin,None of the above,,C,
"Mrs. Bluestein, a 79-year-old woman with multiple health issues presents to your office. She has a history of uncontrolled diabetes, hypertension, rheumatoid arthritis and therefore has difficulty with oral hygiene. You decide in your treatment plan to select restorations with the greatest marginal seal. Which restoration(s) would be most likely to succeed:",Large composite restorations,All metal crowns,All ceramic crowns,Porcelain fused to metal crowns,"b, c, and d",b and d,F,
"When fabricating a post-core at TCDM, he post-core system we prefer is:",Screw post,Passive fit post,Non passive fit post,a and c,None of the above,,B,
"Mr. Fred Flintstone presents for a complex, multi month full arch restoration. He will have initial preps made and provisionals placed. He will then undergo periodontal therapy, several extractions and implants placed. After 6-12 months you will complete his treatment. Given the length of treatment time and several prep modifications you decide to use which material for the provisionals which will wear well and have a low polymerization shrinkage:",VPS,PMMA,Stainless steel crowns,Bis-Acryl,None of the above,,D,
"Your patient Bruce Wayne is missing teeth 1,2 and 3. You treatment plan a cantilevered bridge 3-4-5. The mesiodistal width of pontic # 3 should be:",Equal to # 3 if in place,Wider than # 3 if in place,Narrower than # 3 if in place,Any of these choices will work long term,,,C,
"Taylor Swift is your patient. You get tickets to ALL her concerts. You will be making crowns for teeth 4, 5,6,7,8,9,10, 11, 12 and 13. She has had periodontal therapy and is in perfect gingival health. Her oral hygiene Is excellent and she does NOT have a high smile line. Your gingival finish line should be:",Fully subgingival,At or slightly below the free gingival margin,Fully Supragingival,None of the above,,,B,
David Longtooth returns to your office after you inserted ceramic crowns on teeth 24 and 25. He is unhappy with the esthetics. The incisal edges of these teeth should be:,Straight,Rectangular,Perpendicular to the long axis of the tooth,a and b,All of the above,,E,
"Sarah Bernhardt has fractured the ml and dl cusps of tooth # 30. She is a bruxer AND likes to chew ice cubes. She is concerned that the “cheek side”, buccal of the tooth, will also fracture. The restoration you choose to maximize longevity and strength would be:",Pin retained amalgam,MODBL ceramic onlay,MODBL gold onlay,b and c,None of the above,,C,
G.V. Black has recently become your patient. You are thrilled to be treating the “Father of Operative Dentistry”. You are preparing a cast post-core pattern for endodontically treated tooth # 8. Which would be the FIRST instrument you request of your dental assistant:,Lentulo spiral drill,Parapost red drill,Peeso reamer,Gates-glidden drill,,,D,
Captain Kangaroo presents to your office for ceramic crowns on teeth 24 and 25. When fabricating your individual provisionals the following characteristics should be found:,24 and 25 have the smallest crown dimensions of any tooth in the dentition,24 and 25 are wider faciolingual than mesiodistally,The MI and DI line angles are rounded,a and b,,,D,
George Washington presents to your office for treatment. He has a medical history of hypertension and atrial fibrillation causing him to be on anticoagulant therapy. You will be fabricating several ceramic crowns to be placed just below the gingival margin. You will adjust your treatment procedures by NOT:,Checking with physician re holding anticoagulant therapy,Using retraction cord impregnated with epinephrine,Taking his blood pressure prior to of the above,None of the above,,,B,
The MOST common cause of a poorly adapted crown margin is:,Poor casting technique,Incomplete seating of the crown,Poor impression,None of the above,,,B,
Feldspathic porcelain restorations are highly esthetic due to their:,Ability to build up porcelain in layers,Excellent control of color,Translucency,b and c,All of the above,,E,
"Dr. Jackier presents to your office for restoration of several maxillary anterior teeth with large, older discolored Class III and Class V composite restorations. You explain that porcelain laminates are the restoration of choice because you will bond them mostly to dentin which will result in a successful, long-lasting bond:",True,False,,,,,B,
The pulp horn most likely to be exposed when preparing a crown on a young patient on the maxillary first molar is:,Distobuccal,Mesiobuccal,Distolingual,Cusp of Carabelli,,,B,
"When using the ADA Alloy Classification System, an alloy with less than 25% noble metal is classified as:",High Noble Metal,Non-Precious Alloy,Noble Alloy,Base Alloy,b and d,,E,
Ante's Law is used to help treatment plan a fixed prosthesis by determining:,Number of roots,Pontic shape,Margin design,Number of abutments and pontic length,,,D,
Your patient is missing # 3 and 4. Upon examination you discover that the remaining ridge has lost both width and height of the alveolar bone. This would be classified as a Class_______ ridge deformity:,Class I,Class II,Class III,None of the above,,,C,
"When fabricating a post-core preparation on a tooth with no ferrule, you decide to place an anti-rotational key to prevent displacement. This key-way is most common placed:",Mesial,Distal,Lingual or Palatal,It makes no difference where it is placed,,,C,
A Semi-Adjustable articulator is a Class _____ articulator:,Class I,Class II,Class III,None of the above,,,C,
The buccal cusp of tooth # 13 occludes with teeth:,20 and 21,19 and 18,19 only,None of the above,,,D,
