title,Oral Pathology Exam 5 (Spring 2018),oralpath,exam5
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
The attached image depicts:,Hypercementosis,Macrodontia,Cementoblastoma,Microdontia,Taurodontism,,A,images/oralpath-exam5-spring-2018/fig1.jpeg
The attached image depicts:,Attrition,Erosion,Abfraction,Abrasion,,,C,images/oralpath-exam5-spring-2018/fig2.jpeg
The attached image depicts:,Amelogenesis imperfecta,Abfraction,Dentinogenesis imperfecta,Osteogenesis imperfecta,,,D,images/oralpath-exam5-spring-2018/fig3.jpeg
The attached image depicts:,Amelogenesis imperfecta,Abfraction,Dentinogenesis imperfecta,Osteogenesis imperfecta,,,A,images/oralpath-exam5-spring-2018/fig4.jpeg
Attrition is defined as tooth loss secondary to an external agent.,True,False,,,,,B,
The attachment shows two clinical images of abnormal oral findings that presented as boggy masses of the palate and adjacent tissues. Both cases represent the second most common malignancy of the oral cavity. What is the name of this entity? Type your response in all caps.,LYMPHOMA,,,,,,FILL,
Which diagnosis is more likely to result in a thrombocytopenia (quantitative platelet defect) and related risk of hemorrhage?,Lymphoma,Leukemia,,,,,B,
What is the term for a solitary lesion of malignant plasma cells (if it were multifocal the diagnosis would be multiple myeloma)? Type your response in all caps.,PLASMACYTOMA,,,,,,FILL,
"The lesion depicted on the right buccal mucosa was excised. Upon microscopic review, the lesional tissue was shown to be comprised of benign adipose tissue (fat cells). What is the correct term for this entity? Type your response in all caps.",LIPOMA,,,,,,FILL,
A male of 10-years presents with moderate swelling around tooth #30. A panoramic radiograph is taken and demonstrates total bone loss around tooth #30 to the point that it appears to be floating in space. No other abnormalities are identified upon clinical and radiographic examination. What is a likely diagnosis? Type your response in all caps.,LANGERHANS CELL HISTIOCYTOSIS,,,,,,FILL,
"While the ulcers in cyclic neutropenia most commonly occur on the gingiva, they can occur at other oral locations as well.  What is the most appropriate treatment for the oral ulcers that occur in cyclic neutropenia?",Chlorhexidine (Peridex rinse),Systemic antifungal medication,Systemic antibiotics,Valacyclovir,Topical steroid,,A,
Statement 1: The focal osteoporotic marrow defect is typically asymptomatic. Statement 2: Establishing the diagnosis of focal osteoporotic marrow defect may require that a biopsy be performed.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
What is the diagnosis for the changes in the alveolar bone surrounding tooth #30 that developed following a pulpitis secondary to a carious lesion?,Condensing osteitis,Idiopathic osteosclerosis,Focal osteoporotic marrow defect,Periapical granuloma,Periapical cyst,,A,images/oralpath-exam5-spring-2018/fig13.jpeg
"Statement 1: While the diagnosis of a periapical granuloma or a periapical abscess implies inflammation within bone, neither alone constitute a diagnosis of osteomyelitis. Statement 2: It is possible that a periapical granuloma or a periapical abscess could progress to osteomyelitis.",Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
Which organism is most often responsible for osteomyelitis?,S. aureus,S. mutans,E. coli,Salmonella spp.,S. pyogenes,,A,
Treatment for osteomyelitis includes:,Surgical drainage,Combination antibiotics,Hyperbaric oxygen,All of the above,A and B only,,E,
"Of the three entities listed below, which two are most likely to demonstrate overlap and similarity in terms of radiographic findings? • Chondrosarcoma • Osteomyelitis • Stafne defect",Chondrosarcoma and osteomyelitis,Osteomyelitis and Stafne defect,Stafne defect and chondrosarcoma,,,,A,
Statement 1: The chondroma is a common lesion of the oral cavity. Statement 2: Chondrosarcoma is a malignant tumor of cartilage which occurs more commonly in the maxilla compared to the mandible.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,D,
Which syndrome is associated with the entity described and depicted in the attached image?,Gardner syndrome,Cherubism,Jaffe-Lichtenstein syndrome,McCune-Albright syndrome,,,A,images/oralpath-exam5-spring-2018/fig19.jpeg
What is the name of the entity described and depicted in the attached image? Type your answer in all caps.,OSTEOMA,,,,,,FILL,
"The case in the attached image demonstrated the following features: • Pain and paresthesia of the right side • Soft tissue mass of the right side • Tooth mobility • Destructive, poorly-defined mixed radiolucency-radiopacity • Sunburst appearance of the radiography • Histopathology revealing malignant bone Type the diagnosis using all caps.",OSTEOSARCOMA,,,,,,FILL,
"The case in the attached image demonstrated the following features: • Pain and paresthesia on the right side • Soft tissue mass • Tooth mobility • Destructive, poorly defined mixed radiolucency-radiopacity • Sunburst appearance of the radiography • Histopathology revealing malignant bone Which of the following is another frequent radiographic finding that presents with this diagnosis?",Punched-out radiolucencies,Asymmetrical widening of the periodontal ligament (PDL) space,Ground glass mixed radiolucency-radiopacity,Cotton wool mixed radiolucency-radiopacity,,,B,images/oralpath-exam5-spring-2018/fig22.jpeg
What is the most likely diagnosis for the case in the attached image?,Traumatic bone cyst,Aneurysmal bone cyst,Stafne defect,Condensing osteitis,Idiopathic osteosclerosis,,B,images/oralpath-exam5-spring-2018/fig23.jpeg
What is the most likely diagnosis for the case in the attached image?,Traumatic bone cyst,Aneurysmal bone cyst,Stafne defect,Condensing osteitis,Idiopathic osteosclerosis,,A,images/oralpath-exam5-spring-2018/fig24.jpeg
Which distinct histopathologic features would you anticipate if a biopsy was taken from the patient in the attached case at 7-years?,Multinucleated giant cells and fibrovascular connective tissues,Epithelial-lined lumina,"Dense, sclerotic bone",,,,A,images/oralpath-exam5-spring-2018/fig25.jpeg
What is the most likley diagnosis for the case in the attached image?,Cherubism,Paget's disease of bone,Florid cemento-osseous dysplasia,Gardner syndrome,Cleidocranial dysplasia,Ectodermal dysplasia,A,images/oralpath-exam5-spring-2018/fig26.jpeg
"Statement 1: The ossifying fibroma is considered a true neoplasm with significant growth potential. Statement 2: While the ossifying fibroma is benign, malignant transformation is a well-documented occurrence.",Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,C,
Which of the following DOES NOT present with radiographic findings comprised of mixed radiolucency-radiopacity?,Ossifying fibroma,Periapical cemento-osseous dysplasia,Florid cemento-osseous dysplasia,Focal cemento-osseous dysplasia,Cherubism,,E,
Which of the following are associated with fibrous dysplasia?,Jaffe-Lichtenstein syndrome,McCune-Albright syndrome,Gardner syndrome,A and B,B and C,All the above,D,
What is the most likely diagnosis based on the radiographic findings in the attached image?,Fibrous dysplasia,Osteoma,Focal cemento-osseous dysplasia,Ossifying fibroma,None of the above,,A,images/oralpath-exam5-spring-2018/fig30.jpeg
The retained dentition in the attached radiographic image is vital.  What radiographic changes do you anticipate in the long-term if root canal therapy is performed on each of the teeth seen in the attached image?,Resolution of the radiolucencies with normal bone fill,Enlargement of the radiolucencies,The lesions will become more radiopaque,,,,C,images/oralpath-exam5-spring-2018/fig31.jpeg
The retained dentition in the attached radiographic image is vital.  What is the most likely diagnosis?,Periapical granuloma,Periapical cemento-osseous dysplasia,Focal cemento-osseous dysplasia,Periapical cyst,None of the above,,B,images/oralpath-exam5-spring-2018/fig32.jpeg
What is the most likely diagnosis based on the radiographic findings in the attached image?,Florid cemento-osseous dysplasia,Periapical cemento-osseous dysplasia,Focal cemento-osseous dysplasia,None of the above,,,C,images/oralpath-exam5-spring-2018/fig33.jpeg
What is the most likely diagnosis based on the radiographic findings in the attached panoramic radiograph?,Florid cemento-osseous dysplasia,Periapical cemento-osseous dysplasia,Focal cemento-osseous dysplasia,Fibrous dysplasia,None of the above,,A,images/oralpath-exam5-spring-2018/fig34.jpeg
"Statement 1: Florid cemento-osseous dysplasia is most commonly identified in females of African decent. Statement 2: Irritation from a complete denture, exodontia and other manipulation of the involved bone may initiate necrosis of the involved bone in patients with florid cemento-osseous dysplasia.",Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
Statement 1: The lesional tissue of cemento-osseous dysplasia passes through a maturation process with time. Statement 2: In this maturation process lesional tissue becomes less vascular and less fibrous while becoming more ossified (i.e. greater proportion of osseous tissue).,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
"The image demonstrates histopathology from a patient who has one of the variants of cemento-osseous dysplasia.  Based on the histopathology seen in the attached image, one can make a definitive determination regarding the specific variant of cemento-osseous dysplasia.",True,False,,,,,B,images/oralpath-exam5-spring-2018/fig37.jpeg
