title,Cariology Final Exam (Spring 2021),cario,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Novamin is the common name for which remineralizing agent?,"Calcium Sodium Phosphosilicate, CSP","Casein Phosphopeptide, CPP","Casein Phosphopeptide Amorphous Calcium Phosphate, CPP-ACP","Tri-Calcium Phosphate, TCP",,,,,A,
Which of the following is not an indication for Silver Diamine Fluoride use?,Patients with high caries risk,Patients with no carious lesions,Patients with xerostomia,Patients with early childhood caries,Patients with a silver allergy,Both patients with no carious lesions and patients with a silver allergy,,,F,
Fluorapatite does not demineralize until the pH drops below:,6.5,5.5,3.5,4.5,,,,,D,
The translucent zone in the enamel carious lesion:,Is closest to the CEJ,Is closest to the DEJ,Is closest to the surface zone,Is the area of greatest demineralization,,,,,B,
Which of the following statements are true? Statement 1: Dentin Caries are radiographically seen as V-Shaped with broad area by DEJ and apex towards pulp. Statement 2: Dentin demineralizes at a pH of around 7.5,Only statement 2 is true,Only statement 1 is true,Both statements 1 and 2 are true,Neither statement is true,,,,,B,
Adverse effect(s) to the prolonged use of ____?___ may cause staining and emergence of a more virulent S. Mutan species:,Novamin,Cetylpyridinium Chloride,Propolis,Chlorhexidine,Xylitol,Novamin and chlorhexidine,,,D,
Saliva provides buffering against acids by:,Binding Bicarbonate with Hydrogen to form Acetic Acid,Binding Bicarbonate with Hydrogen to form Carbonic Acid,Binding Bicarbonate with Hydrogen to form Lactic Acid,Binding Bicarbonate with Hydrogen to form Hydroxyapatite,,,,,B,
Affected Dentin is: A. Unable to be remineralized B. Closer to the pulp than infected dentin C. Teeming with bacteria D. Has very little or no bacteria E. Is able to be remineralized,"Closer to the pulp than infected dentin, has very little or no bacteria, and is able to be remineralized","Unable to be remineralized, closer to the pulp than infected dentin, and teeming with bacteria",,,,,,,A,
Which combination of agents will cause the most teeth staining?,"Cetylpyridinium Chloride, Chlorhexidine, Stannous Fluoride","Cetylpyridinium Chloride, Chlorhexidine, Sodium Monofluorophosphate","Cetrimide, Chlorhexidine, Stannous Fluoride","Cetrimide, Cetylpyridinium Chloride, Sodium Monofluorophosphate",,,,,A,
The mechanism of action of __?___ prevents accumulation of calcium-phosphate salts on the tooth structure:,Lactoferrin,Lysozyme,Statherins,Lactoperoxidase,,,,,C,
Which of the following statements are true about CPP-ACP :,It is safe for all age groups,It should be used exclusively instead of a fluoride dentifrice,It has a 4-hour substantivity,It can be left on overnight,It is safe for all age groups and it can be left on overnight,,,,E,
Agglutinating factors in saliva:,Produce ammonia which raises the pH,Are bactericidal to gram negative bacteria,Lay a coating on the bacterial surfaces so that they stick to each other,Cause Bicarbonate and Hydrogen to combine,,,,,C,
Four basic components of a biofilm are:,"Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Advanced Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Fluid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Fluid Nutrient Channel, Primitive Communication System",,,,,D,
The FDA gave clearance for Silver Diamine Fluoride to be used as:,An anti-caries agent,An anti-gingivitis agent,Treating dental hypersensitivity in adults,As a remineralization agent in combination with Fluoride,,,,,C,
Mutans Streptococcus are:,Gram Negative Bacteria,"Gram Positive, Strictly Aerobic Bacteria",Gram Negative Viruses,"Gram Positive, Facultative Anaerobic Bacteria",,,,,D,
Average amount of Fluoride needed in saliva to enhance remineralization is:,0.04-0.1 ppm,1-2 ppm,10-15 ppm,100 – 150 ppm,,,,,A,
What agent should be avoided in asthmatic patients?,Propolis,Chlorhexidine,TCP,Fluoride,CSP,,,,A,
Fluorapatite is created by:,Fluoride binding to Hydrogen on the tooth surface,Fluoride binding to Calcium on the layer of the tooth surface,Fluoride binding to Calcium inside the pulp chamber,Fluoride binding to Magnesium in the dentin,,,,,B,
The first stage in oral biofilm development is comprised predominantly of:,Gram negative fusobacterium,Gram positive streptococcal,Cross linking eubacterium,,,,,,B,
Root caries are defined as:,U-Shaped lesion,Unable to be remineralized,Initial demineralization follows Sharpey’s fibers,Main bacteria is Actinomyces viscosus,Main bacteria is Microbacterium terrae,"U-Shaped lesion, initial demineralization follows Sharpey’s fibers, and main bacteria is Actinomyces viscosus","U-Shaped lesion, unable to be remineralized, and main bacteria is Microbacterium terrae",,F,
Which of the following statements are true? Statement 1. CPP-ACPF penetrates about 19 microns (0.019mm) into healthy enamel Statement 2. ICON penetrates about 30 microns (0.03mm) into tooth structure Statement 3. Silver combined with fluoride penetrates about 19 microns (0.019mm)  into healthy enamel,Statement 1 only,Statement 2 only,Statements 1 and 2,All 3 statements,Statement 1 and Statement 3,,,,C,
The inner affected dentin of a carious lesion is comprised of which zones:,"Turbid, Transparent, and Normal","Infected, Transparent, and Normal","Subtransparent, Transparent, and Normal","Infected, Turbid and Transparent",,,,,C,
Infected Dentin is:,Unable to be remineralized,Closer to the pulp than affected dentin,Teeming with bacteria,Collagen cross linking is intact,Comprised of Turbid and Subtransparent dentinal zones,"Unable to be remineralized, and teeming with bacteria","Unable to be remineralized, closer to the pulp than affected dentin, and teeming with bacteria",,F,
The corn-cob appearance of bacteria is described when:,Bacteria adhere to previously attached cells forming complex aggregations,Bacteria adhere to previously attached cells in plaque biofilm,Secondary and tertiary bacteria attach to primary colonizers,"Bacteria adhere to previously attached cells forming complex aggregations, and bacteria adhere to previously attached cells in plaque biofilm",All of the answers,,,,E,
Sodium Lauryl Sulfate (SLS) is predominantly found as which component of toothpaste?,Abrasive,Binder,Humectant,Preservative,Surfactant,,,,E,
Which of the following remineralizing agents are ‘activated’ by saliva?,ACP,CPP-ACP,CSP,TCP,All of the answers,"ACP, CSP, and TCP",,,F,
Pit and Fissure Enamel Caries:,Are Inverted V-Shaped,Are V-Shaped,Predominantly S. Sanguis,"Are Inverted V-Shaped, and Predominantly S. Sanguis",,,,,D,
"If a patient presents with two active carious lesions, a history of frequent snacking, and had restorations placed within the last three years; his caries risk would be:",Low,Moderate,High,Between a Tall and a Venti,,,,,C,
"When there is a limited supply of glucose/sucrose, Mutans Streptococcus produce:",Acetic Acid,Lactic Acid,Formic Acid,Carbonic Acid,Acetic Acid and Formic Acid,,,,E,
The radiographic appearance of a carious lesion that is in the inner half of enamel is characterized as a:,E1 Lesion,E2 Lesion,E3 Lesion,D1 Lesion,D2 Lesion,,,,B,
Which of the following statements about the Salivary Pellicle are NOT true?,It’s main role is protective in nature,It protects the enamel from abrasion and attrition,Bacteria are present in the pellicle,It lubricates the tooth surface to facilitate chewing and speech,All the answers,,,,C,
The critical pH is the pH at which saliva cease to be saturated with:,Fluoride and Calcium,Calcium and Phosphate,"Calcium, Phosphate and Fluoride",Fluoride and Phosphate,,,,,B,
Arrested/Inactive carious lesions have which of the following traits?,Are hard to the touch,Are rough,Are symptomatic,Are a black/brown discoloration,Are symptomatic,Are smooth to the touch,"Are rough, symptomatic, a black/brown discoloration, and smooth to the touch","Are hard to the touch, rough, a black/brown discoloration, and symptomatic",H,
"Active, non-cavitated white spot lesions have the following traits:",Appear dull or chalky under air,Are smooth and shiny in appearance,Should be immediately restored with a restoration,Usually are symptomatic,,,,,A,
Caries is an infectious bacterial disease?,True,False,,,,,,,A,
"Charcoal, as described in a peer review journal article has been recognized as;",A magical cure,An abrasive mineral to the teeth and gingiva,Effective as a whitening agent with no enamel damage,Valuable as an antibacterial and antifungal agent,,,,,B,
Which of the following are true regarding Secretory Immunoglobulin A (IgA)?,Prevents bacterial adherence to tooth structure,"The lower the IgA values, the lower the caries index","The higher the IgA values, the higher the caries index","The higher the IgA values, the lower the caries index",Binds to free floating iron,"Prevents bacterial adherence to tooth structure, and the higher the IgA values, the lower the caries index","Prevents bacterial adherence to tooth structure, and the lower the IgA values, the lower the caries index","Prevents bacterial adherence to tooth structure, the lower the IgA values, the lower the caries index, and binds to free floating iron",F,
