title,GDA Final Exam (Summer 2016),gda,final,"The question about a plane of reference may have an incorrect marked answer in the original source: the same figure is used elsewhere in this question bank to represent the median/sagittal plane, but here the answer key marks the correct answer as coronal. Not yet confirmed with the instructor."
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements is NOT TRUE about the development of the sinuses?,Maxillary sinuses expand both vertically and laterally,Sinuses occupy the space where the permanent teeth were before eruption,Sinuses are fully developed by puberty but can continue to expand,Sinuses are always symmetrical unless there is pathology,,D,
What kind of growth is shown in this figure?,Appositional growth,Sutural growth,Endochondral growth,Intramembranous growth,,B,images/gda-final-summer-2016/fig2.jpeg
Which of the following is NOT a psychosocial factor that impacts oral health in adolescents?,Changes in dietary habits,"Possible use of tobacco, alcohol and/or drugs",Potential for traumatic injury,Parents overseeing hygiene and home care,,D,
What kind of skeletal deformity is shown in this figure?,Mandibular Prognathism,Maxillary Prognathism,Bilateral Retrognathism,Mandibular Retrognathism,,D,images/gda-final-summer-2016/fig4.jpeg
Which of the following is NOT true of dental management in adolescents?,Topical fluoride can be applied until age 16,Patients do not need to be educated about dental hygiene and proper home care,Sealants should be placed on high risk patients even in adolescence,Chose restorations that are most conservative and esthetic,,B,
The root of the teeth except for third molars are usually formed by what age?,9 years old,12 years old,16 years old,30 years old,,C,
What part of the mandible is shown by the red arrow in the picture?,Condyle,Coronoid process,Body,Mental nerve,Symphysis,C,images/gda-final-summer-2016/fig7.jpeg
By the end of adolescence body fat accounts for what percentage in boys?,10%,16%,30%,50%,,B,
Which part of the face does NOT become more prominent during adolescent?,Nose,Chin,Lips,Brow,,C,
What is the number of chromosomes in a haploid cell (n)?,23,46,2,1/2,48,A,
Which of the following germ layers forms the Central Nervous System (CNS)?,Endoderm,Mesoderm,Ectoderm,None of the above,,C,
Which aortic arch has the adult derivative of the common carotid artery?,1,3,4,6,,B,
"Match the correct cranial nerve, name and function.",III; Optic Nerve; Sense of sight,VIII: Vestibulocochlear nerve; Hearing and equilibrium,X; Vagus; Trapezius Movement,XII; Glossopharyngeal; Swallowing,,B,
Which cranial nerve is responsible for mastication?,IV Trochlear,V Trigeminal,VII Facial,X Vagus,,B,
What defines the Veau Classification of palatal clefts Group VI?,Defects of soft palate only,Defects of hard and soft palate,"Defects involving the soft palate to the alveolus, usually involving the lip",Complete bilateral clefts,,D,
Which of the following is not another name for the primary dentition?,Milk teeth,Deciduous teeth,Succedaneous teeth,Baby teeth,,C,
Which of the following is NOT true of the bud stage in tooth development?,At 10 weeks permanent tooth buds begin to form lingual to the primary tooth buds,Crown morphology is not determined until the tooth begins to erupt,Buds for permanent second and third molars begin to form after birth,Permanent second and third molars are called accesional teeth,,B,
Which of the following is a true statment about the eruption patterns of the teeth?,Eruption of primary teeth usually begins at 3 months after birth,All primary teeth are usually present by the end of the second year,Teeth erupt only once the root is completely formed,The first teeth to erupt are usually the maxillary lateral incisors,,B,
When do the permanent canines erupt?,10-12 years old,6-7 years old,8-9 years old,11-12 years old,,A,
At what age are the primary second molars shed?,6-7 years,7-8 years,9-11 years,10-12 years,,D,
Which of the following tooth abnormalities is shown in the figure?,Gemination,Fusion,Dens Invaginatus,Taurodont tooth,,A,images/gda-final-summer-2016/fig21.jpeg
"Which class of amelogenesis imperfecta is classified by defective, thin enamel with pits fissures or grooves?",Hypomaturation,Hypoplastic,Hypocalcified,None of the above,,B,
Which of the following is NOT true of the ugly duckling stage in tooth eruption?,Central incisors appear flared,Diastema forms between the maxillary central incisors,Occurs around 8-9 years of age,Corrected when the first premolars fully erupt,,D,
Which of the following is not a characteristic of Crouzon's syndrome?,Premature fusion of the skull bones,"Wide set, bulging eyes",Beaked nose,Underdeveloped jaw,Autosomal recessive trait,E,
What vitamin deficiency causes scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,,C,
Which of the following treatment options for congenitally missing lateral incisors includes reducing the canine teeth to look more like a lateral incisor?,Implant placement,Fixed partial denture,Lateral extrusion,Canine substitution,,D,
When is it not necessary to make an orthodontic referral?,Anterior or posterior crossbite,Crowding,Diastemas,Class I occlusion,,D,
Which of the following syndromes is shown in the radiograph?,Crouzon's Syndrome,Treacher Collins Syndrome,Downs Syndrome,Hyperparathyroidism- Jaw Syndrome,,D,images/gda-final-summer-2016/fig28.jpeg
