title,Preclinical Pediatric Dentistry Exam 1 (Spring 2021),pedo,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
"In contrast to permanent teeth, primary teeth:",Have broader contacts,Have a less prominent cervical contour,Have smaller pulps in relation to crown size,Have thicker enamel,,A,
"Teeth B, I, L, S are the primary:",Canines,First molars,Second molars,Lateral incisors,,B,
The proper dose of fluoride supplementation for a 2.5 year old child who drinks non-fluoridated well water at home:,none,0.25 mg/ day,0.5 mg/ day,Depends on their weight,,B,
"According to the Caries Risk Assessment Form for children 0-5 year old, all of the following put a child at high risk for caries except:",Not receiving optimum fluoride through supplements or water,Child is a recent immigrant,Visible plaque,Enamel defects,,B,
Natal teeth,Erupt within the first month of birth,Are usually supernumerary teeth,Can be the cause of Riga Fede,"Are usually well formed, fully rooted teeth",,C,
"Teeth 3, 14, 19, 30:",Are considered succedaneus teeth,Begin to calcify at five months in utero,Erupt at around 4 years old,Begin to develop at four months in utero,,D,
The following is a picture of:,Bohn’s nodules,Epstein Pearls,Dental Lamina Cysts,Congenital Epulis of the Newborn,,A,
All of the following is true of congenital epulis of the newborn except:,Seen more frequently in females,Treatment is surgical resection,Recurrence is uncommon,Most frequently occurs on the posterior maxillary alveolar ridge,,D,
Tooth H:,Root is 2X crown length,Has four cusps,Has 3 roots,Mesial slope is shorter than distal slope,,A,
"By age 19 months, infants typically have the following teeth:","Primary central incisors, lateral incisors and canines","Primary central incisors, canine and first molars","Primary central incisors, lateral incisors and first molars","Primary central incisors, lateral incisors, canines and first molars",,C,
How many children in the US have been diagnosed with a mental health disorder:,1/3,1/4,1/6,1/5,,D,
ADHD :,Is a neurobiological disorder of executive function,Is not usually associated with other conditions,Is usually outgrown by adulthood,Can present itself for the first time as a teenager,,A,
All of the following are true about treating a patient with ADHD except:,Should try to keep visits short,Have clearly defined goals,Almost always use protective stabilization,Use positive reinforcement,,C,
Comorbidities of ADHD include:,ODD,Speech and language Disorder,Depression,"Depression, ODD and Speech and Language Disorder",Depression and ODD but not speech and language disorder,D,
Which of the following is a side effect of Ritalin and Adderall:,Increased appetite,Bradycardia,Excess Salivation,Tics,,D,
All of the following are true about patients with Autism Spectrum Disorder (ASD) except:,Vary widely in intelligence and abilities,Exhibit deficits in nonverbal skills,Are treated with Guanfacine,"May require multiple, short visits to acclimate them to the dentist",,C,
The use of a papoose board is contraindicated in patients with Autism Spectrum Disorder (ASD). Patients with ASD may have a higher caries risk due to pouching food instead of swallowing.,The first statement is true and the second statement is false,The first statement is false and the second statement is true,Both statements are false,Both statements are true,,B,
All of the following are true about absolute neutrophil count (ANC) except:,"Should be over 100,000/mm3 in order to proceed with elective dental treatment","Should be over 1,000/mm3 in order to proceed with elective dental treatment",Is an indicator of the host’s ability to fight infection,Can be ordered and found as part of a CBC,,A,
Risk factors for Acute Lymphocytic Leukemia (ALL) include all of the following except:,Down Syndrome,Ionizing radiation,Parental smoking,Low birth weight,,D,
Jean Piaget was a psychologist who:,Believed children behaved and should be treated as “little adults”,Believed children act as “little scientists”,Developed a theory about pain,Developed a theory about Autism Spectrum Disorder,,B,
The parenting style associated with the most desirable behavior in children is:,Permissive,Neglectful,Authoritative,Authoritarian,,C,
An example of using the behavior guidance technique of modeling is:,Using positive body language such as smiling at a patient,Showing a patient an instrument,Sending out positive imagery prior to the appointment,Watching a sibling in the dental chair,,D,
All of the following are true except:,Protective stabilization can be considered active or passive restraint,Requires proper documentation and informed consent,Is contraindicated in patients with ADHD,Helps deliver safe dental care,,C,
All of the following are contraindications for nitrous oxide use except:,History of asthma,Upper respiratory infection,First trimester pregnancy,Acute otitis media,,A,
The most common side effect of nitrous oxide is:,Nausea/ vomiting,Problems from B12 deficiency,Loss of consciousness,Inability to maintain airway,,A,
When using moderate sedation :,Loss of Consciousness is usual,Interventions are usually required to maintain the airway,A patient can slip in to deep sedation,"No monitoring is required, only recommended",,C,
A benefit of nitrous oxide is profound analgesia. A benefit of nitrous oxide is the same nasal hood works for all patients.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,D,
Caries located on the ______________ surfaces of the teeth is indicative of Severe Early Childhood Caries (S-ECC):,Interproximal,Smooth,Occlusal,Root,,B,
Streptococcus Mutans is the pathogenic microorganism that initiates the caries process followed by:,Lactobacillus,Actinomyces,Candida Albicans,Porphyromonas gingivalis,,A,
Frequent nighttime bottle feeding with milk and on demand breast feeding are both associated with Early Childhood Caries. It is encouraged to discontinue baby bottle use between 6-8 months.,Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement is true,,C,
Transmission of the bacteria that causes caries can be passed on through the saliva from mother to child. This type of transmission is called:,Active,Vertical,Passive,Horizontal,,B,
"According to the Jordan- Keyes Diagram, all of the following are secondary modifying factors that influence the formation of caries, except:",Education,Socioeconomic status,Environment,Use of fluoride,,D,
Vasoconstrictors in local anesthetics lower the risk of toxicity by increasing the rate of absorption of the local anesthetic into the child’s blood stream.,True,False,,,,B,
The maximum dose of injectable local anesthetic is calculated based on:,Half the adult dose,Patient’s chronological age,Patient’s weight,Patient’s dental age,,C,
