title,Pathomedicine Exam 2 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
1. Hyperemia is a passive process related to additional arterial blood flow. 2. Congestion is a passive process related to impaired outflow of venous blood.,Both statements are true.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,Both statements are false.,,,C,
Which of the following will not favor the formation of edema?,Increased colloid osmotic pressure,Increased hydrostatic pressure,Deep-vein thrombosis,Loss of plasma proteins through damage to the kidneys,Insufficient production of albumen by the liver,,A,
Renin functions to cleave:,Acetylcholine,Angiotensin I,Angiotensin II,Aldosterone,Angiotensinogen,,E,
The juxtaglomerular cells are:,Smooth muscle cells,Squamous epithelial cells,Endothelial cells,Glandular epithelial cells,Myoepithelial cells,,E,
An iron deficiency anemia will result from an internal loss of blood. The preceding statement is:,True,False,,,,,B,
Which of the following subtypes of hemorrhage are most likely to be associated with a vasculitis?,Petechiae,Purpura,Ecchymoses,Hematoma,Hemarthrosis,,B,
1. Normal hemostasis includes the ability to rapidly form a hemostatic plug at sites of vessel injury. 2. Thrombosis is the pathologic process by which thrombi form within intact vessels.,Both statements are true.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,Both statements are false.,,,A,
Thrombomodulin modifies the substrate specificity of thrombin so that it cleaves:,Protein S in place of fibrin,Protein C in place of fibrin,Protein C in place of fibrinogen,Protein S in place of fibrinogen,Factor Va in place of factor V,,C,
Platelet inhibiting mechanisms include:,The physical barrier of intact endothelium,Prostacyclin,Adenosine diphosphate (ADP),All the above,A and B only,A and C only,E,
Glanzmen thrombasthenia is an inherited deficiency of:,von Willebrand factor,GpIIb/IIIa,Clopidigrol,GpIb,Thromboxane A2,,B,
The PTT would be most helpful in acquiring clinically relevant information in patients taking:,Heparin,Coumadin,Plavix,Acetylsalicylic acid (aspirin),Oxymetazoline,,A,
Virchow's triad is comprised of:,"Endothelial injury, stasis or turbulent blood flow, hypercoagulability of blood","von Willebrand factor, Gp1b, GpIIb/IIIa","Vessel wall, coagulation cascade, platelets","Ischemic heart disease, hypertension, infective endocarditis","Smoking, diabetes, family history",,A,
1. Deep-vein thrombosis is the source of most pulmonary emboli. 2. Most pulmonary emboli must pass through the left atrium en route to the pulmonary system.,Both statements are true.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,Both statements are false.,,,B,
Which of the following is most prone to infarction?,Lung,Liver,Hand,Forearm,Spleen,,E,
"Hypovolemic shock in young, healthy patients is associated with survival rates closest to:",25%,33%,75%,85%,90%,,E,
Waterhouse-Friderichsen syndrome is best described as:,Adrenal necrosis related to disseminated intravascular coagulation,Renal necrosis due to infarction,Sudden cardiac death secondary to pulmonary embolism,Hypercoagulable state during pregnancy,Stasis ulcers related to inflammation,,A,
Primary hypertension (HTN) is diagnosed when the underlying cause is not completely understood. Secondary HTN is diagnosed when the underlying cause is known. Identifiable causes of HTN (secondary HTN) include which of the following?,Chronic kidney disease,Coarctation of the aorta,"Cushing's syndrome and other glucocorticoid states, including chronic long-term steroid therapy",Pheochromocytoma (tumor of the adrenal gland),All of the above,,E,
"A 40-year-old male is an underwater construction worker who primarily works on bridges. Since he is always in a hurry to get things done, he does not take his time surfacing from the depths of water in which he works. He has been in significant pain recently and went for a visit to his primary care provider (PCP). Following a thorough work-up, his PCP informed him that he has multifocal ischemic necrosis of his bones. What is the most likely diagnosis?",Deep vein thrombosis,The bends,Caisson sickness,Paradoxical embolus,Trousseau syndrome,,C,
"A patient presents to their primary care provider following a high blood pressure reading at a recent dental appointment. The patient has two office visits and was seated when their blood pressure was taken. At the first appointment the blood pressure reading was 149/91, at the second appointment their blood pressure reading was 151/90. What is the most likely diagnosis?",Normal,Pre-hypertension,Stage 1 hypertension,Stage 2 hypertension,,,C,
Which of the following substances are safe for impregnating retraction cord for use in patients with hypertension?,Epinephrine,Tetrahydrozoline,Oxymetazoline,A and B,B and C,,E,
Which of the following is considered a constitutional risk factor for ischemic heart disease?,Hypertension,Tobacco,Hyperlipidemia,Insulin-resistant diabetes mellitus,None of the above,,E,
Which of the following may be considered a physiologic injury to the endothelium?,Hypercholesterolemia,Circulating vasoactive amines,Immune complexes,Hypercholesterolemia,Turbulent hemodynamic events at bifurcation point in vasculature,,E,
At what percentage of coronary arterial vessel occlusion is stable angina most likely to develop?,30%,40%,50%,60%,70%,,E,
Which serum marker is most specific for damage to the left ventricle?,Troponin I,Troponin T,CK-MB,B-natriuretic peptide,,,D,
Statin drugs are anti-inflammatory.,True,False,,,,,A,
Percutaneous transluminal coronary angioplasty includes all of the following except:,Balloon threaded through occluded artery,Balloon is inflated to flatten atherosclerotic plaque,Segment of healthy vessel is harvested and grafted to side of occluded artery,Arterial lumen is enlarged,Blood flow is immediately restored,,C,
"Patients on warfarin should have the international normalized ratio (INR) assessed prior to surgical procedures. In order to perform oral surgical procedures, the INR should be no higher than:",1.5,2.0,2.5,3.0,3.5,,E,
