title,Concepts of Occlusion Quiz 1 (Spring 2018),occlusion,
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Occlusion is best defined as:,What happens during a persons' mastication cycle,When the TMJ and dentition (natural or analogues) are in a static relationship,The static relationship of the masticating or incising surfaces of upper and lower dentition or their analogues,Something we are supposed to know before we see a patient,All of the above,,C,
Which of the following is true for Centric Relation (CR)?,CR is independent of tooth position,There is no component of translation motion present,The condyles are positioned against the posterior slopes of the articular eminence,It is a repeatable position,All of the above,,E,
Centric Occlusion and MIP:,Are always the same,Can be coincident,May be significantly different in position,"MIP, if not equal to CO, is always a retruded position from CO","b ,c and d only",b and c only,F,
Which is true as related to Posselt's Envelope of Motion,It is represented in the sagittal plane only,A person normally functions within a small component of the envelope,Centric Occlusion is a point represented on the envelope of motion,The envelope tracing will look the same regardless of a persons maxillary - mandibular relationship (Angle's Classification),All the above are true,,C,
Which of the following is false as related to Angle's Class II Division 1 vs Division 2?,Maxillary incisor position is different between the two,Excessive vertical overlap of characteristic of division 2,Both divisions can be further classified in right and left variants,Arch form is irrelevant in differentiating between the two,,,D,
Which of the following is not indicative of a skeletal Angle's Class III malocclusion?,The maxillary first molar is distal to the mandibular first molar,The person will typically tend to have a strong protrusive habit,The mandibular incisors are typically anterior to the maxillary incisors,The malocclusion should always be restored back to a Class I incisor relationship,b and d,,E,
Which of the following applies to Angles' Class I malocclusion?,The mesio-buccal cusp of the maxillary first molar is lines up between the mesio buccal and disto-buccal cusps of the mandibular first molar,The person will always have canine guidance,The canines line up directly opposing each other,"Trick question, Angles' Class I means there is no malocclusion present",,,A,
Which of the following differentiates Primary vs Secondary Occlusal Trauma?,Primary is always self-limiting in nature,Secondary is due to parafunctional forces,Only Secondary causes damage to the attachment apparatus of the teeth involved,A person with secondary occlusal trauma to anterior teeth has no posterior support,None of the above,,E,
A patient exhibiting excessive wear of dentition will always have decreased vertical dimension of occlusion (collapsed bite),True,False,,,,,B,
“Dentinal cupping” is:,Used to refer to abfraction lesions,Caused by combination of wear and dietary factors,Is caused by the different hardness of dentin vs enamel,Should always be restored with direct restorations,"a, b and c only",b and c only,F,
