title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2019),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following is NOT an essential element of the informed consent process?,Risks of the planned procedure.,Benefits of the planned procedure.,Alternative treatments.,Likelihood of success of the planned procedure.,Assurances that the procedure will go well.,,,E,
Which of the following is NOT TRUE when obtaining a patient's medical history?,Using a written health history can be an effective method for obtaining a patient's medical history.,Using an oral history can be an effective method for obtaining a patient's medical history.,"When evaluating the information that a patient provides, it is important to consider how accurate an historian he/she is.","When evaluating the information that a patient provides, it is important to consider whether they realize any secondary gain by providing incomplete or inaccurate information.",Redundant questioning will not yield any additional information.,,,E,
Which of the following statements about ASA classifications is CORRECT?,This classification system was put forth by the American Society of Anesthesiologists and should only be applied to patients who will be receiving anesthesia.,Patients who are classified as ASA V and ASA VI are routinely treated in the dental setting.,Patients who are classified as ASA IV have mild systemic disease or a significant health risk factor.,Patients who are classified as ASA II have severe systemic life-threatening disease.,Patients who are classified as ASA III have severe systemic disease that is incapacitating.,,,E,
Questioning a patient about which of the following areas may be helpful in assessing a patient's risk for bleeding?,Easy bruising.,Epistaxis.,Bleeding following trauma or surgery.,Gingival bleeding.,Excessive bleeding during menstruation.,Hematuria.,All of the above.,G,
Which of the following statements regarding patients with various conditions that put them at risk for bleeding is NOT TRUE?,DDAVP (desmopressin) nasal administration can be effective in increasing a patient's levels of VWF and Factor VIII.,Use of aminocaproic acid may help prevent clot breakdown in at-risk patients.,"Once a patient's platelet count is 100,000 or less, they are at significant risk of bleeding with any surgical procedure and require platelet supplementation.",DDAVP (desmopressin) and corticosteroids can be effective in increasing a patient's levels of platelets.,Strict adherence to post-operative instructions will lessen the chance of significant bleeding occurring.,,,C,
Which of the following conditions should NOT make a dentist suspicious that the patient may be on anticoagulation therapy?,DVT's - deep vein thromboses.,PE's - pulmonary emboli.,Post coronary artery stenting.,Patients with need for extracorporeal blood flow - dialysis.,Liver disease.,,,E,
Which of the following statements is NOT TRUE regarding target specific anticoagulants?,"They generally should be discontinued prior to oral surgery, even for procedures with low bleeding risk.",Their pharmacokinetics are more predictable than warfarin.,Their half-lives are shorter than the half-life of warfarin.,Their use requires little to no routine monitoring,They exhibit fewer drug or food interactions than are seen with warfarin.,,,A,
Which of the following studies are NOT useful in assessing a patient's potential for hemostasis?,Platelet count,Bleeding time,PT - Prothrombin time,PTT - Partial thromboplastin time,INR,Hemoglobin measurement,,F,
Which of the following plans makes sense to implement prior to performing oral surgery on an anticoagulated patient? (Assume that the anticoagulants stated in the answer are the only anticoagulants that the patient is on and that all of the plans are developed in consultation with patient's physician.),Discontinue aspirin and Plavix one day prior to the surgery.,"If the patient's INR is 2.0 or less, discontinue the warfarin for three days prior to the surgery.","If the patient's INR is 5.3 and emergency surgery is necessary, consider using protamine sulfate to reverse the effects of the warfarin.",A patient on warfarin with a high risk of developing clots is undergoing a procedure with a high risk of bleeding. Check the INR and discontinue the warfarin three days before the procedure. Administer enoxaparin (Lovenox) (low molecular weight heparin) to maintain anticoagulation and discontinue the enoxaprin pre-operatively. Resume the enoxaprin and warfarin following the surgery. Discontinue the enoxaprin when the INR has returned to its therapeutic level.,"If the patient is on a target specific anticoagulant, check the INR daily beginning one week before the oral surgery to determine when the medication should be stopped.",,,D,
Which of the following techniques should NOT be utilized for the management of “potential bleeders”?,They should be treated early in the day and early in the week.,"If possible, oral surgery procedures should be performed prior to initiation of any therapies that would cause a higher potential for bleeding.","Consider doing a “test surgery” - extracting a single tooth rather that several teeth at once to see how the patient responds. Additionally, if a bleeding problem does occur, it would be less critical as it is from a single, smaller area and easier to manage.",Use adjunctive local measures to minimize the potential to bleed.,Patients undergoing dialysis should be treated on the day of their dialysis.,,,E,
"All of the following may be useful in minimizing the chances of a patient having a vaso-vagal reaction, EXCEPT:",Being aware of a patient's previous history of having vaso-vagal reactions and being extra diligent with all possible preventative measures.,Pre-operative hydration.,Pharmacologic anxiety control.,Psychological anxiety control.,Ensuring adequate pain control.,Treating the patient in an upright position.,Administration of supplemental O2.,F,
Which of the following conditions is/are accompanied by an increased risk of infection?,ETOH abuse.,End stage renal disease.,Immunologic diseases that are congenital or acquired.,Administration of corticosteroids or chemotherapy.,All of the answer choices in this question are correct.,,,E,
Which of the following statements is TRUE when comparing diabetic patients to patients without diabetes?,"Well-controlled diabetics do not have an increased risk of infection, but if they develop an infection, it is more difficult to control.","Poorly controlled diabetics do not have an increased risk of infection, but if they develop an infection, it is more difficult to control.",Well-controlled diabetics have an increased risk of infection and if they develop an infection it is more difficult to control.,Patients with diabetes do not show any difference in the risk of developing an infection or controlling an infection when compared to patients without diabetes.,Prophylactic antibiotics should be given to all diabetic patients undergoing oral surgery no matter what level of control they maintain.,,,A,
Which of the following management strategies is NOT a useful strategy for managing diabetic patients?,Consult the patient's physician as necessary.,"During the immediate perioperative period, mild-moderate hyperglycemia is preferred over hypoglycemia.",The decision to administer antibiotics is based on specific systemic and local factors related to the patient's condition and the surgery being performed.,"If possible, surgical treatment should be delayed until a diabetic patient's condition is optimized.",A patient's normal regimen of hypoglycemic medications should be always be strictly adhered to during the pre- and post- operative periods in order to maintain optimal glucose control.,,,E,
Which of the following is NOT a sign or symptom of hypoglycemia?,Hypotension.,Drowsiness.,Nausea.,Diaphoresis.,Bradycardia.,,,E,
Which of the following statements is TRUE regarding HIV+ patients?,Approximately 1/5 of HIV+ patients exhibit a clinically significant decrease in platelets which will result in bleeding problems during oral surgery procedures.,All patients with a CD4+ T cell count above 100 do not require prophylactic antibiotics for oral surgery.,All patients with a neutrophil count less than 1000 require prophylactic antibiotics for oral surgery.,Studies show that all HIV+ patients are at increased risk of infection when undergoing oral surgery procedures.,Acetaminophen may have an unfavorable interaction with the HIV drug zidovudine (Retrovir) which can intensify granulocytopenia and anemia in these patients.,,,E,
"All of the following statements regarding the use of antibiotic prophylaxis are TRUE, EXCEPT:",All patients who have had joint replacements require antibiotic prophylaxis when undergoing oral surgery procedures.,All patients with cardiac valve replacements require antibiotic prophylaxis when undergoing oral surgery procedures.,"If a patient who requires antibiotic prophylaxis for an oral surgery procedure is already on an antibiotic, an antibiotic from another class should be administered for the prophylaxis to reduce the risk from resistant organisms.",Certain cardiac valve conditions may require antibiotic prophylaxis for oral surgery procedures.,Prescribing prophylactic antibiotics when they are not indicated can result in health risks for the patient and development of resistant bacteria.,,,A,
Which of the following statements related to ORN (osteoradionecrosis) is NOT TRUE?,Removal of teeth which have a poor prognosis should be accomplished prior to starting radiation treatment.,ORN risk is higher in the denser mandible when compared to the maxilla due to increased bone devitalization in the at-risk mandible.,A total radiation treatment dose below 5000 rad (50 Gy) has decreased ORN risk when compared to higher doses. This is significant because 90% of oral malignancies are squamous cell carcinomas which require radiation doses exceeding 6000 rad (60 Gy).,Pre-irradiation extractions should be done in as simple a fashion as possible with minimal bone removal to allow bone remodeling to occur in a natural manner.,HBO (hyperbaric oxygen) may be a useful adjunctive therapy when it is necessary to perform oral surgery in patients who are at risk for ORN (osteoradionecrosis) due to radiation to the head and neck region.,,,D,
"In an adrenally suppressed patient, complex prolonged surgery may cause adrenal crisis. Which of the following is NOT a potential sign, symptom or result of adrenal crisis?",Hypertension,Syncope,Nausea,Fever,Death,,,A,
