title,Pathomedicine Exam 2 (Fall 2019),patho,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
"All of the following are procedures or instances that DO NOT require antibiotic prophylaxis in a patient with a prosthetic heart valve, EXCEPT one. Which one is the EXCEPTION?",Routine anesthetic injections through non-infected tissue,Dental radiographs,Bleeding from trauma to the oral mucosa,Periodontal probing,,D,
What is the most common organism implicated in infective endocarditis of intravenous (IV) drug users?,S. mutans,S. oralis,S. aureus,S. salivarius,S. pyogenes,C,
Statement 1: One MET equals 3.5 mL of oxygen per kg of body weight per minute at rest. Statement 2: It has been shown that the risk for occurrence of a serious perioperative cardiovascular event is increased in patients who are unable to meet a 11-MET demand during normal daily activities.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,C,
"In terms of increased blood volume in tissue, an erythematous hue is most indicative of:",Hyperemia,Excess deoxygenated blood,Impaired outflow of venous blood,Cyanosis,Inadequate tissue perfusion,A,
Deep venous thrombosis of the leg may cause edema in the related area of the leg. Which of the following is most likely responsible for the formation of edema in this scenario?,Increased hydrostatic pressure in the vessel,Decreased hydrostatic pressure in the vessel,Increased colloid osmotic pressure,Decreased colloid osmotic pressure,Administration of hydrochlorothiazide,A,
Which of the following is LEAST likely to elevate blood pressure?,Angiotensin II,Aldosterone,Myocardial natriuretic peptide,Vasoconstriction,,C,
"All of the following describe bleeding into a body cavity, EXCEPT one. Which one is the EXCEPTION?",Hemothorax,Hemopericardium,Hemoperitoneum,Hemarthrosis,Ascites,E,
"Exposure of the extracellular matrix facilitates all of the following, EXCEPT one. Which one is the EXCEPTION?",Platelet aggregation,Platelet adherence,Platelet activation,Significant Increase in the number of circulating platelets (thrombocytosis),,D,
Which of the following is NOT considered one of the three main components involved in hemostasis and thrombosis?,Vascular wall,Platelets,Coagulation factors,Neutrophils,,D,
Clopidogrel inhibits:,GpIIb/IIIa,TxA2,Alpha granules,Gp1b,vWf,A,
Statement 1: PGI2 is a vasoconstrictor and an inhibitor of platelet aggregation. Statement 2: TxA2 is a vasoconstrictor and promotes platelet aggregation.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,D,
"All of the following require vitamin K as a cofactor, EXCEPT one. Which one is the EXCEPTION?",Factor II,Factor VII,Factor IX,Factor X,Factor V,E,
"All of the following relationships are depicted in the diagram of Virchow's triad, EXCEPT one. Which one is the EXCEPTION?",Arrow from endothelial injury to hypercoagulability,Arrow from abnormal blood flow to hypercoagulability,Arrow from endothelial injury to abnormal blood flow,Arrow from hypercoagulability to endothelial injury,Arrow from abnormal blood flow to endothelial injury,D,
"Gas breathed and dissolved in blood and tissues at higher pressure may expand in the blood and tissues when entering lower pressure. With chronic exposure this leads to multifocal ischemic necrosis of bones (femoral head, tibia, and others). Which of the following is the most appropriate term for this disease process?",Caisson sickness,The bends,Amniotic fluid embolism,Deep venous thrombosis,Fat embolism,A,
A male of 40-years with a shellfish hypersensitivity (type I IgE-mediated hypersensitivity) inadvertently consumed a shrimp-containing food. Sites throughout his entire body began to swell from edema due to systemic vasodilation and increased vascular permeability. Treatment was not rendered in a timely manner and cardiac output dropped to dangerous levels. Which of the following represents the most likely diagnosis?,Septic shock,Anaphylactic shock,Neurogenic shock,Hypovolemic shock,Cardiogenic shock,B,
"All of the following are factors that contribute to septic shock, EXCEPT one. Which one is the EXCEPTION?",Inflammatory mediators,Endothelial activation and injury,Metabolic abnormalities,Spinal cord injury,Organ dysfunction,D,
Loss of elasticity leads to isolated diastolic HTN in those over 50-years.,True,False,,,,B,
"If lifestyle modifications alone are ineffective at reducing BP to healthy levels, what is the most common medication class for treating HTN?",Diuretics,Angiotensin-converting enzyme inhibitors,Beta blockers,Calcium channel blockers,Direct vasodilators,A,
"In conjunction with a BP reading greater than 180/110, which of the following clinical findings indicates a medical emergency?",Stable angina pectoris,Headache,Shortness of breath,Epistaxis,Hypertensive encephalopathy,E,
"In treating a patient diagnosed with upper stage 2 HTN, which of the following would be most appropriate in terms of measuring their blood pressure in the dental office?",At their initial visit and recall appointments only,At recall appointments and before procedures only,Keeping the BP cuff on during procedures and monitor the BP at regular intervals,,,C,
Medication-related gingival overgrowth is known to occur in hypertensive patients taking:,Thiazides,Direct vasodilators,Beta blockers,Angiotensin-converting enzyme inhibitors,Calcium channel blockers,E,
"Atherosclerosis is the leading cause of the all of the following, EXCEPT one. Which one is the EXCEPTION?",Angina,Myocardial infarction (MI),Cerebrovascular accident (CVA),Peripheral arterial disease,Infectious endocarditis (IE),E,
Which of the following is known to raise HDL levels?,Exercise,Smoking,Obesity,Excessive consumption of ethanol,A diagnosis of hypertension (HTN),A,
Which of the following is the first step in the development of an atherosclerotic plaque?,Chronic endothelial injury,Endothelial dysfunction,Smooth muscle emigration,Macrophage and smooth muscle cell engulfment of lipids,"Smooth muscle proliferation, collagen and other extracellular matrix (ECM) deposition and extracellular lipid accumulation",A,
Which of the following occurs latest in the development of an atherosclerotic plaque?,Chronic endothelial injury,Endothelial dysfunction,Smooth muscle emigration,Macrophage and smooth muscle cell engulfment of lipids,,D,
"Statement 1: True aneurysms involve the intima, media and adventitia. Statement 2: False aneurysms are comprised of a wall defect which leads to the formation of a hematoma on the outside of the vessel.",Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,A,
Statement 1: The proximal left anterior descending artery (aka “widow maker”) is very commonly affected in atherosclerosis. Statement 2: The internal mammary artery is more commonly affected by atherosclerosis compared to the proximal left anterior descending artery (aka “widow maker”).,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,C,
Severe dysfunction of which valve is most likely to result in heart failure?,Aortic,Mitral,Tricuspid,,,A,
Within what period of time following a bacteremia do 80% of patients who develop subsequent infective endocarditis begin showing signs and symptoms of the disease?,Two weeks,Five days,One week,Three days,Three weeks,A,
The Frank-Starling mechanism initially leads to:,Compensated heart failure,Decompensated heart failure,,,,A,
"All of the following represent clinical features of left-sided heart failure, EXCEPT one. Which one is the EXCEPTION?",Dyspnea,Cough,Orthopnea,Paroxysmal nocturnal dyspnea,Jugular vein distension,E,
Cor pulmonale includes:,Myocardial hypertrophy of the left atrium and ventricle,Dilation of the left atrium and ventricle,Bulging of the septum into the left side,Hyperplasia of the left atrium and ventricle,All of the above,C,
Which of the following represents stage B heart failure?,At high risk for developing heart failure but no structural changes or symptoms,Structural changes but no symptoms,Structural changes and prior or current symptoms,Refractory disease requiring special interventions,,B,
Which of the following is the most common congenital heart defect?,Atrial septal defect,Ventricular septal defect,Tetralogy of Fallot,Pulmonary valve stenosis,Patent ductus arteriosus,B,
The tetralogy of Fallot includes:,Ventricular septal defect,Pulmonary valve stenosis,Misplaced aorta,Thickened right ventricular wall,All the above,E,
Which of the following organs or anatomic regions is most likely to sustain an injury from an infarction?,Spleen,Lung,Liver,Hand,Forearm,A,
