title,Removable Prosthodontics Quiz 2 (Fall 2018),rempros,quiz
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
WHICH OF THE FOLLOWING IS NOT A PURPOSE OR FUNCTION OF A CUSTOM TRAY?,ALLOWS PROPER EXTENT OF A PROSTHESIS,IT PREVENTS DISTORTION FO IMRESSION MATERIAL,IT ALLOWS FOR VARYING THICKNESSES OF IMPRESSION MATERIAL,IT IS A RIGID SUPPORT FOR IMPRESSION MATERIAL,,,C,
WHEN YOU FABRICATE YOUR CUSTOM TRAY YOU WANT TO HAVE A HANDLE THAT COMES OFF THE TRAY IN A HORIZONTAL DIRECTION TO ALLOW LEVERAGE FOR REMOVAL FROM THE MOUTH,True,False,,,,,B,
AN IDEAL MAXILLARY RIDGE HAS:,WELL FORMED TUBEROSITIES,FRENUM THAT ARE ATTACHED CLOSE TO CREST OF THE ALVEOLAR RIDGE,MINIMAL TO NO UNDERCUTS,A AND C ONLY,,,D,
THE RETROMOLAR PAD,IS A CRITICAL LANDMARK IN THE MAXILLA,IS A NON RESORBABLE LANDMARK,SHOULD NEVER BE COVERED BY A PROSTHESIS,IS ONE OF THE BOUNDARY MARKS FOR THE LABIAL VESTIBULE,,,B,
THE MAXILLARY RUGAE AREA:,OCCURS IN THE ANTERIOR 1/3 OF THE HARD PALATE,IS MADE UP OF DENSE CONNECTIVE TISSUES,LIES IN THE MIDLINE OF THE HORIZON HARD PALATE,A AND B ONLY,B AND C ONLY,,D,
WHICH OF THE FOLLOWING IS NOT A CHARACTERISITC OF SALIVA THAT AIDS IN A SUCCESSFUL PROSTHESIS?,IT ACTS AS LUBRICANT,IT EXHIBITS ADHESIVE CHARACTERISTICS,IT INHIBITS THE CREATION OF A PERIPHERAL SEAL ON AN UPPER DENTURE,IT HELSP WITH THE CREATION OF “SUCTION” IN AN UPPER DENTURE,,,C,
SEVERE BONY UNDERCUTS ON AN EDENTULOUS ARCH:,WILL CAUSE THE PROSTHESIS TO BE UNDEREXTENDED,ARE DESIREABLE FOR RETENTION,SHOULD BE SURGICALLY ELIMINATED WHEN POSSIBLE,"ARE AREAS WHERE, IF UNCORRECTED, WILL LEAD TO SORE SPOTS","A, C AND D",,E,
THE THICKNESS OF THE FLANGE OF AN UPPER DENTURE IN THE DISTOBUCCAL AREA IS DUE TO:,ACTION OF THE MASSETERIC AND LEVETORORIS MUSCLES,THE PASSAGE OF THE ASCENDING RAMUS DURING FUNCTION,IS DEPENDENT ON THE DESIRED ESTHETICS OF THE DENTURE,IS HELPED TO BE DEFINED BY HAVING THE PATIENT OPEN AND CLOSE THEIR MOUTH DURING BORDER MOLDING,NONE OF THE ABOVE,,D,
THE LINGUAL FLANGE OF THE MANDIBULAR DENTURE:,IS IMPORTANT IN THE STABILITY OF THE DENTURE,TYPICALLY EXTENDS PAST THE MYLOHYOID RIDGE,IF TOO LONG CAN CAUSE A COMPLAINT OF A SORE THROAT,INVOLVES THE RETROMYLOHYOID SPACE,ALL OF THE ABOVE,,E,
BORDER MOLDING MATERIAL SHOULD POSSESS WHICH OF THE FOLLOWING?,HAVE ADEQUATE SET TIME AND BODY TO ALLOW PROPER MANIPULATION AND CAPTURING OF BORDERS WITHOUT DISTORTION,BE STICKY SUCH THAT IT ADHERES TO THE TRAY PROPERLY,HAVE SUFFICIENT BODY TO ALLOW FOR PROPER PLACEMENT ON THE TRAY AND NOT SLUMP OUT OF POSITION,RESIST ALTERATION AFTER SETTING TO KEEP FROM BEING IMPROPERLY TRIMMED,A AND C ONLY,"A, B , C AND D",E,
