title,Pathomedicine Exam 5 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Destruction of the myenteric plexus by Trypanosoma cruzi is most likely to cause:,Achalasia,Malory-Weiss tears,Esophageal varices,Pancreatitis,Gastroesophageal reflux disease,,,A,
Which of the following diseases is most likely to present as a medical emergency?,Eosinophilic esophagitis,Malory-Weiss tears,Esophageal varices,Barret esophagus,Gastroesophageal reflux disease,,,C,
"All of the following are associated with gastroesophageal reflux disease, EXCEPT one. Which one is the EXCEPTION?",Alcohol,Decreased gastric volume,Obesity,Pregnancy,Hiatal hernia,,,B,
"All of the following are potential complications of gastroesophageal reflux disease, EXCEPT one. Which one is the EXCEPTION?",Ulceration,Hematemesis,Melena,Stricture development,Dairy hypersensitivity,,,E,
Statement 1: Barret esophagus confers an increased risk for oral squamous cell carcinoma. Statement 2: Histopathologic changes in Barret esophagus include areas of columnar epithelium containing goblet cells being replaced by pseudostratified columnar epithelium.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,B,
Statement 1: Most cases of congenital hiatal hernia are identified in adult patients. Statement 2: Most cases of acquired hiatal hernia in adult patients are asymptomatic.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,D,
"All of the following are factors that contribute to gastric injury, EXCEPT one. Which one is the EXCEPTION?",NSAID use,Aspirin use,Gastric hyperacidity,Duodenal-gastric reflux,Elaboration of prostaglandins,,,E,
H. pylori infection places patients at risk for:,Gastric adenocarcinoma,Mucosa-associated lymphoid tissue (MALT) lymphoma,Gastric squamous cell carcinoma,Gastric melanoma,A and B,B and C,C and D,E,
"All of the following are typical causes of chronic gastritis, EXCEPT one. Which one is the EXCEPTION?",H. pylori infection,Antibodies directed against parietal cells and intrinsic factor,NSAID use,None of the above,,,,C,
The majority of peptic ulcers occur in the:,Duodenum,Gastric antrum,Gastric body,Gastroesophageal junction,Ileum,,,A,
A patient was recently diagnosed with peptic ulcer. H. pylori infection was identified as the cause. The patient developed candidiasis during treatment. What is the most likely etiology?,Excess stomach acid promotes the growth of fungal organisms,Proton pump inhibitors promote the growth of fungal organisms,Antibiotic therapy eradicated the normal oral microbiota allowing for the proliferation of fungal organisms,H. pylori was proliferating in the patient's dental plaque and caused reinfection,Tetracycline was not absorbed due to antacid use,,,C,
All of the following diseases confer an elevated risk for the development of malignancy EXCEPT one. Which one is the EXCEPTION?,Crohn disease,Ulcerative colitis,Irritable bowel syndrome,,,,,C,
Statement 1: The hygiene hypothesis states that reduced rates of enteric infections related to improved food storage may be the underlying cause of inadequate development of immune function. Statement 2: The hygiene hypothesis also states that exposure to innocuous microbes later in life triggers an inappropriate immune response.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,A,
"Intro: Female of 41-years presents for evaluation of a burning sensation in and around her mouth. HPI: The patient reported a history of burning and swelling of the lips and perioral skin of one-year duration. She reported no changing of habits around or since that time period related to food, lotions or other items. MedHx: Denies. Meds: Denies. Allergies: NKDA. SocHx: Denies. PhysEx: BP: 124/82 HR: 74 Regional H&N: EOE: Scattered distribution of perioral dermatitis comprised of ~0.7 x 0.7 cm wheal and flare plaques. No other extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: 1) An erythematous patch on the upper left labial mucosa measuring ~0.8 x 0.8 cm with central erosion measuring ~0.1 x 0.1 cm. 2) An erythematous patch on the lower mid-labial mucosa measuring ~0.8 x 0.8 cm with central erosion measuring ~0.1 x 0.1 cm. All other oral mucosal surfaces including the bilateral buccal mucosae, bilateral maxillary and mandibular buccal vestibules, gingiva, tongue, FOM, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia or other pathology. Question: A biopsy of the lower labial erythematous plaque is taken. Histopathologic review demonstrates the presence of granulomatous inflammation. What is the most likely diagnosis?",Malory-Weiss tears,Crohn disease,Ulcerative colitis,Herpes labialis,Pyogenic granuloma,,,B,
Defective migration of neural crest cells to segments of the colon results in:,Meckel diverticulum,Intestinal lymphangiectasia,Chondroid metaplasia,Hirschsprung disease,Crohn disease,,,D,
Intestinal intussusception is a result of:,Weakness or defect in the wall,Abnormal union of bowel segments due to inflammation or other injury,Inversion of a bowel segment into another segment of the bowel,Twisting of a bowel segment around itself,Erosions secondary to endoscopy trauma,,,C,
Dermatitis herpetiformis is a blistering skin condition seen in conjunction with:,Crohn disease,Gluten-sensitive enteropathy,Herpes labialis,Ulcerative colitis,Whipple disease,,,B,
Which of the following represents the most common cause of chronic pancreatitis?,Gall stones,Long-term alcohol abuse,Autoimmune pancreatitis (IgG4 disease),Cystic fibrosis,Viral infections,,,B,
Statement 1: Pancreatic pseudocysts lack an epithelial lining. Statement 2: Pancreatic pseudocysts are more common in chronic pancreatitis compared to acute pancreatitis.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,C,
Statement 1: Gallstones occur more commonly in males compared to females. Statement 2: A gallstone possessing a brown color suggests an infection may be present within the extrahepatic or intrahepatic ducts.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,D,
Biliary atresia is considered a disease of older adults.,True,False,,,,,,B,
Which of the following HbA1c levels would be considered within the range of normal for a non-diabetic patient?,3.9%,5.8%,6.9%,4.1%,12%,,,D,
Statement 1: Type 2 diabetes mellitus is most commonly caused by autoimmune destruction. Statement 2: Type 2 diabetes mellitus has a stronger genetic association compare to type 1 diabetes mellitus.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,D,
