title,Periodontics II Final Exam (Fall 2018),perio2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
A Class I furcation lesion (Glickman classification) is suprabony. Therefore the following therapy is recommended for treatment:,Root Resection,Osseous Surgery,"Oral hygiene, scaling, and root planing",Bone regenerative therapy,,C,
Which of the following is an indication for Gingivectomy?,Infrabony Defect,Acutely inflamed tissue,Inadequate zone of attached gingiva,None of the above,,D,
Healing of a Gingivectomy has the following characteristics:,The site heals by primary intention,Epithelialization usually takes 6-8 weeks,The connective tissue healing occurs prior to epithelialization,Healing is slower than that of a flap procedure,,D,
What is the accepted percentage of patient's that are non-compliant with periodontal maintenance?,One third,One half,One quarter,One eighth,,A,
Which are criteria used to establish the interval of periodontal maintenance?,The presence of risk factors,The level of plaque control,The severity of the disease,All of the above,,D,
What is the definition of Secondary Prevention?,The correction of defects to prevent disease progression,Prevention of disease progression,To prevent disease initiation,None of the above,,B,
Which of the following are objectives of a Periodontal Maintenance Procedure?,To ascertain the need for retreatment,To re-evaluate the results of active therapy,To reinforce Oral Hygiene,All of the above,,D,
What factors are true regarding patient's compliance with medications?,"The fewer the side effects, the better the compliance","The fewer the doses required, the worse the compliance","The few the number f drugs prescribed, the worse the compliance",All of the above,,A,
What did the Lang (1986) show in his paper about bleeding on probing (BOP)?,Patient with a probing depth of 4mm had a higher incidence of BOP,Pockets that had BOP of 4/4 had a 30% chance of losing attachment.,Patient with 25% or more BOP sites had a higher chance of losing attachment,All of the above,,B,
"According to Hirschfeld and Wasserman (1978) paper, what percentage of the patients followed were in the “Well Maintained” group?",83.2%,12.5%,4.2%,None of the above,,A,
Widening the zone (width) of attached gingiva accomplishes:,Enhanced plaque removal,Improved esthetics,Reduced inflammation around restored teeth,All of the above,,D,
Which of the following are disadvantages of the traditional Gingivectomy procedure?,There is slow healing,It can give an unaesthetic result,There is more postoperative pain,All of the above,,D,
What did Dr. Beube (1947) show in his 12-year study regarding bone regeneration?,He showed that by splinting mobile teeth together you can have bone regeneration,He showed that Scaling and Root Planing can result in bone regeneration,He showed that by using a bone graft it is possible to maintain a tooth with advanced bone loss for many years,None of the above,,C,
