title,GDA Midterm Exam (Summer 2021),gda,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements is NOT true regarding gametogenesis?,Meiotic divisions are reduction divisions because the chromosome number is reduced from diploid to haploid.,During meiosis division occurs and chromosome number is reduced from 46 to 23.,The only haploid cells in the body are the egg and the sperm and they each contain 26 chromosomes.,Gametogenesis is important because it ensures the same number of chromosomes from one generation to the next.,,B,
"Statement 1: Each pair of chromosomes consists of one chromosome from the mother and one from the father. Statement 2: During meiosis, the sex cells divide to produce gametes which contain (n) number of chromosomes.",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,A,
In what part of the uterus does fertilization occur?,Infundibulum,Ampulla,Isthmus,Mesosalpinx,Ovarian ligament,B,
What structure degenerates as the embryo moves through the uterine tube to allow increased size of the blastocyst in the uterus?,Zona Pellucida,Cortical granules,Pronucleus,Synctiotrophoblast,,A,
The most frequent site for an ectopic pregnancy to occur is which of the following?,Isthmus of the uterine tube,Ampulla of the uterine tube,Abdomen,Ovary,Cervix,B,
Mitochondrial DNA is only inherited from the mother.,True,False,,,,A,
True or False: Meckel's Cartilage is a derivative of pharyngeal arch 2 and contributes to the formation of the mandible.,True,False,,,,B,
The frontonasal process gives rise to which structure on the face?,Forehead,Cheeks,Chin,Lower lip,Bridge of the nose,A,
Which of the following hormones is detected in a positive pregnancy test?,Somatotropin,Human chorionic gonadotropin,Testosterone,Estrogen,Androgens,B,
What is the function of the lacunae?,Site of nutrient exchange,Finger-like process that attaches the embryo to the uterus,Protection of the yolk sac,Early cardiac function,,A,
Which of the following derivative comes from the ectoderm?,Central nervous system,Blood cells,Skeletal muscles,Epithelial lining of the digestive track,Linings of the lungs,A,
Statement 1: During meiosis the chromosome number is divided in half. Statement 2: In mitosis the chromosome number is preserved.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
"The sperm dies very quickly in the female genital track due to the acidic environment, usually in less than 6 hours.",True,False,,,,B,
The zona pellucida functions to block against polyspermy and _________________.,Ensure the male mitochondria does not enter the egg.,Release cortical granules that change the biology of the egg.,Digests the acrosome,Controls the size of the zygote as it is passing through the uterine tube.,,D,
Spina bifida occulta generally presents without symptoms.,True,False,,,,A,
Statement 1: The alar plate brings sensory information away from the spinal cord. Statement 2: The basal plate brings motor information to the spinal cord.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
Statement 1: Somites have pluripotential as they differentiate into specific tissues once migration has occurred. Statement 2: Myotomes give rise to the skin and connective tissue of the neck.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,C,
There are originally five vesicles in the developing brain which merge to become three distinct vesicles.,True,False,,,,B,
In the provided figure the cut through the center is known as what?,Median plane,Sagittal plane,Frontal plane,Proximal plane,,A,images/gda-midterm-summer-2021/fig19.jpeg
Which of the following is an adult derivative of the 6th aortic arch?,Ductus arteriosus,Stapedial arteries,Aortic arch,Internal carotid artery,The 6th arch involutes,A,
Statement 1: An adult derivative of the foregut is the appendix. Statement 2: An adult derivative of the hindgut is the jejunum.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
During what stage of respiratory development does surfactant begin to develop?,Pseudoglandular stage,Canilicular stage,Terminal Sac Stage,Alveolar stage,,C,
All lung development has been completed before birth.,True,False,,,,B,
Which set of primordial kidneys have an adult derivative in the male only?,Pronephric,Mesonephric,Metanephric,,,B,
It is possible to screen for Downs Syndrome or Trisomy 21 prior to birth.,True,False,,,,A,
Mesenchyme from the 1st pharyngeal arch gives rise to what group of muscles?,Extraocular muscles,Muscles of facial expression,Muscles of mastication,Muscles of the tongue,,C,
What does pharyngeal cleft 1 develop into?,External auditory meatus,Malleus,Tympanic Membrane,Hyoid,Cleft 1 involutes,A,
What does Cranial Nerve II control?,Sense of smell,Hearing,Trapezius Movement,Eyeball Movement,None of the above,E,
"Which of the pharyngeal pouches contributes to adult derivatives in the ear, including the tympanic membrane and auditory tube?",Pouch 1,Pouch 2,Pouch 3,Pouch 4,Pouch 5,A,
Which of the following bones does not arise from the maxillary prominence?,Nasal bone,Maxilla,Zygomatic plate,Secondary palate,,A,
What is the name of the duct that connects the thyroid and the tongue that obliterates during development?,Ultimobranchial body,Thyroglossal duct,Pharyngeal duct,Foramen cecum,Tuberculum impar,B,
Which of the following tongue abnormalities could be corrected with a frenectomy?,Macroglossia,Microglossia,Ankylglossia,,,C,
Cranial nerve III is the _________ and controls ____________.,Abducens; lid contraction,Vagus; visceral muscle movement,Occulomotor; extraocular eye movement,Vagus; downward and inward eyeball movement,None of the above,C,
The thyroid gland arises from the pharyngeal apparatus.,True,False,,,,B,
Which pharyngeal arches contribute to the formation of the tongue?,"I, II,","I, II, IV","I, III, VI","I, II, III, IV","I, II, IV, V",D,
Which of the following statements is not true of Pierre Robins syndrome?,"The prevalence in live births is high, about 1 in 850 births.",Pierre Robins is an autosomal recessive disorder.,Individuals with Pierre Robins present clinically with mandibular hypoplasia.,Patients often experience difficulties with breathing and feeding.,None of the above are false.,A,
"From review of the photo provided, what medication was this individual likely exposed to during development?",Tetracycline,Aspirin,Coumadin,Acutane,Pencillin,A,images/gda-midterm-summer-2021/fig37.jpeg
A child presents to your office with a diagnosis of Down Syndrome. He needs several occlusal restorations and his parents have consented to have you treat him in the office. On exam you note which clinical finding which may lead to difficulty in isolation and control of the tongue?,Microglossia,Macroglossia,Ankylglossia,,,B,
Which of the following is not a typical characteristic of Treacher Collins syndrome?,Hearing loss,Underdevelopment of the zygoma,Below average intelligence,Crowded teeth and shortened rami,,C,
The blue area shown in the figure can be identified as which facial prominence?,Frontonasal,Maxillary,Mandibular,,,C,images/gda-midterm-summer-2021/fig40.jpeg
The premaxillary portion of the palate DOES NOT contain which of the following?,Lateral incisors,Central incisors,Incisive fossa,Canines,,D,
The Millard Advancement technique to repair clef lips aims to hide the surgical scar where?,The aloe of the nose,The vestibular mucosa,The philtrum of the upper lip,The nasolacrimal groove,,C,
Which of the following is not true of the Rule of 10’s?,The child must be 10 weeks of age.,The child must weigh 10 pounds.,"The child’s white blood cell count must be less than 10,000.",The hemoglobin must be at least 10 grams.,All of the above are true.,E,
What body part experiences the most growth in the first year after birth?,Torso,Legs,Head,Ears,Arms,C,
A deficiency of what vitamin is related to Rickets?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,,D,
Which of the following nutrients is important for protein synthesis and a deficiency may cause loss of hair?,Zinc,Manganese,Iodine,Phosphorus,,A,
Growth in height is on average fastest in winter and growth in weight fastest in spring,True,False,,,,B,
Which of the following is not true?,Early childhood defined by the eruption of permanent teeth.,Middle childhood includes the start of the eruption of permanent teeth.,Late childhood is the prepubertal period with relatively steady progress in growth and maturation.,Rapid progress in neuromuscular or motor development occurs during late childhood.,,A,
A patient presents to your office at 32 weeks pregnant. She complains of a toothache and PA film shows an infection related to a partially erupted third molar. What pain medicine can this patient safely take until she can be seen by the oral surgeon for extraction?,Motrin,Ibuprofen,Acetaminophen,Naproxen,,C,
What organ system is most targeted by maternal alcohol consumption in the developing fetus?,Cardiovascular (Heart and blood vessels),Pulmonary (lungs),Neural (Brain and spinal cord),Gastrointestinal (Stomach and intestines),,C,
The cleft pictured in the figure is an example of a ______ cleft.,Incomplete bilateral,Complete unilateral,Incomplete bilateral,Complete bilateral,,D,images/gda-midterm-summer-2021/fig51.jpeg
What FDA classification is given to drugs that have been proven to be safe to pregnant women through human studies?,Category A,Category B,Category C,Category D,Category X,A,
A patient presents to your office for a routine dental restoration. She believes that she may be pregnant based off an at-home pregnancy test. What is the best choice of local anesthetic for this patient?,Articaine,Mepiviciane,Prilocaine,Lidocaine,,D,
To which of the following do patients with spend bifida have an increased risk of allergy,Penicillin,Sulfa drugs,Ragweed,Latex,Peanuts,D,
The effects of many teratogen exposures are apparent in infants and toddlers and can continue to affect an individual into teenage and adult years.,True,False,,,,A,
Which of the following is not a sign of supine hypotensive disorder in pregnant women?,Bradycardia,Nausea,Sweating,Drop in blood pressure,All of the above are signs of Supine Hypotensive Disorder,E,
Statement 1: The enzyme acrosin aids the sperm in dispersing and penetrating the follicular cells during fertilization. Statement 2: Hyaluronidase lyses the zone pellucida and allows penetration of the sperm into the egg.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,B,
"What specific step in the fertilization process causes a biochemical reaction that stops polyspermy, or the fertilization of the ovum by multiple sperm?",Release of hyaluronidase by the acrosome of the sperm,Formation of the female pronucleus,Cortical reaction,Formation of the ootid,,C,
Which reaction is responsible for accumulation of glycogen and lipids and cellular swelling which provides nutrition for the early embryo?,Decidual,Acrosome,Cortical,Zona,,A,
The embryonic mesoderm gives rise to which of the following?,Central nervous system,Neural crest cells,Blood cells,Lining of digestive tract,,C,
"Which of the following drugs are related to withdrawal in exposed newborns, hypoglycemia and higher incidences of HIV passed from mother to baby?",Methamphetamines,Cocaine,Heroin,PCP,LSD,C,
Which of the following is Correct regarding Fetal Alcohol Syndrome (FAS)?,"FAS effects about 100,000 live births per year.",Heavy drinking in the third trimester is the most likely cause of FAS.,Brain size and development is unaffected from FAS.,Individuals with FAS often present with smaller head circumferences and a flat mid-face.,,D,
What is the most important nutrient for the prevention of neural tube defects?,Zinc,Iodine,Folic acid,Vitamin C,,C,
Fetal maturity is defined as 33 weeks and 2000 grams.,True,False,,,,B,
Why is good oral health important during pregnancy?,Untreated dental caries in the mother increases the risk of baby developing caries (vertical transmission),Untreated oral infection may become a systemic problem during pregnancy,Pharmacological treatment should be limited,"Mother is too busy after birth, loss of pregnancy insurance coverage",All of the above are true,E,
Rolling a patient to the left will alleviate the symptoms of Supine Hypotensive Disorder.,True,False,,,,A,
