title,Intro to Clinical Dentistry Final Exam (Spring 2022),icd,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
"If a patient is deaf, you do not need to speak directly to them.",True,False,,,,,,,B,
"When talking to a person with an intellectual disability, you should talk to them through their guardian or companion.",True,False,,,,,,,B,
Which of the following is an example of using person-first language?,a wheelchair-bound patient,an autistic female,a person with cerebral palsy,a Down Syndrome male,,,,,C,
A person with autism does not necessarily have a lower IQ.,True,False,,,,,,,A,
Which of the following are true of autism (autistic spectrum disorder)?,it is a developmental disability,It usually appears in the first 3 years of life,It can cause social difficulties,It can cause sensory difficulties,all of the answers are true of autism,,,,E,
"If a patient has a diagnosis of cerebral palsy, it implies that they also have an intellectual disability.",True,False,,,,,,,B,
What term is used to describe a language-based learning disability that makes it difficult to read and spell?,intellectual disability,developmental disability,physical disability,dyslexia,,,,,D,
People with learning disabilities have a lower IQ.,True,False,,,,,,,B,
"Statement 1: Developmental disability is a condition of having a physical or mental impairment that limits, delays, or prevents a person from developing typically. Statement 2: All developmental disabilities are congenital.",Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,,,C,
ASA classification was developed by the American Society of Anesthesiologists and is primarily a method of assessing a patient's pre-anesthesia medical comorbidities.,True,False,,,,,,,A,
Airway evaluation and ASA classification have no bearing on the selection of appropriate pharmacologic intervention with sedation.,True,False,,,,,,,B,
Providing the patient with headphones and music is an example of:,Distraction,Desensitization,Slow approach,Tell-show-do,,,,,A,
Which of the following techniques can be used to help a patient with dental phobia:,Distraction,Desensitization,Slow approach,Tell-show-do,All of the answers can be used,,,,E,
"Anxiety can exacerbate other medical conditions, such as seizure disorders or hypertension.",True,False,,,,,,,A,
Dental phobia may be related to:,A prior negative dental experience,Fear of pain,Perceived lack of control,Feelings of helplessness,All of the answers are correct,,,,E,
"Dental phobia is a persistent and irrational fear of dentists or of dental treatment, resulting in the avoidance of dental care or marked distress or anxiety during treatment.",True,False,,,,,,,A,
Non-compliance is a risk factor for dental disease.,True,False,,,,,,,A,
A patient who is on aspiration precautions and a modified diet of thickened liquids and pureed foods presents to you for comprehensive care. Which of the following statements is (are) true?,You should avoid placing the patient fully supine.,You should modify treatment to limit and/or manage water during procedures.,Pureed foods are a risk factor for caries.,All of the statements are true.,,,,,D,
Social determinants of health have no effect on a person's oral health.,True,False,,,,,,,B,
Which of the following factors could be considered oral risk factors?,existing caries,seizure disorder,reliance on an aid to drive them to appointments,dexterity deficiency on their dominant side,all of these factors are considered oral risk factors,,,,E,
Oral risk factors are only identified through a clinical exam.,True,False,,,,,,,B,
The term “special needs” only refers to people with intellectual and developmental disabilities.,True,False,,,,,,,B,
Statement 1: Dental anxiety can prevent patients from seeking dental care. Statement 2: Lack of financial means of affording dental care is an example of a social determinant of health.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,,,A,
The most important item in a dental office that may be used during an emergency is:,Oxygen,An analgesic,A narcotic antagonist,An antihistamine,A vasodilator,,,,A,
Signs of Syncope include all the following except:,Dizziness,Ringing in ears,Hypotensive,Feeling cold,Tachycardia,,,,D,
Providers must be consistent and use the same terminology when speaking with patients and documenting treatment in chart notes.,True,False,,,,,,,B,
Which of the following is not an issue that must be covered in the consent discussion?,Procedure,Risks.,Benefits,Alternatives,School the provider graduated from,,,,E,
"When talking to a patient, the most specific way to describe the tooth to be extracted is by the tooth number so they know exactly which tooth you mean.",True,False,,,,,,,B,
"If surgical treatment is indicated, there is no alternative for the patient to choose.",True,False,,,,,,,B,
