title,Endodontics Midterm Exam (Spring 2019),endo,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What is not a goal of endodontic therapy?,removing as much pulp tissue with the least loss of hard tooth structure,removing large amounts of hard tissue that is likely infected with bacteria,creating a space for adequate irrigation,activating the irrigants via the oacillating handpiece to potentiate their cleansing action.,,,B,
When it comes to cleansing the canals what factor(s) are not directly relevant?,preservation of as much hard tissue as possible consistent with effective removal of pulp tissue.,the preservation of the quality of the remaining dentin after instrumentation.,whether or not an instrumentation system produces dentinal microcracks,the age of the patient,,,D,
What do we wish to avoid when instrumenting canals?,the creation ledges,transporting the canal in the apical third,producing dentinal defects,separating instruments,all the above,,E,
When instrumenting canals it is important to think,two dimensionally concentrating on the mesio-distal dimensions of the tooth,three dimensionally in both the mesio-distal and bucco-lingual plane of the canals,about limiting instrumentation in the bucco-lingual plane,about limiting instrumentation primarily to the mesio-distal plane,,,B,
Most canals in posterior teeth are,round in cross-section,are wider bucco-lingually than mesio-distally,are wider mesio-distally than bucco-lingually,are highly oval in the mesio-distal dimension,,,B,
What is an accurate description of an 02 tapered instrumentation system,each instrument increases by .2 mm/mm in diameter as we go from the instrument tip coronally,each instrument increases by .02/mm/mm in diameter as we go from the instrument tip coronally,each instrument increases by .02 mm/2mm as we go from the instrument tip coronally,none of the above,,,B,
What is the difference between an 02 tapered and 04 tapered instruments with both having a tip diameter of .20 mm?,the 02 tapered instrument will encounter more contact with the canal walls than the 04 tapered instrument.,the 02 tapered instrument will remove more tooth structure than the 04 tapered instrument.,the 02 tapered instrument will remove less tooth structure than the 04 tapered instrument,the 04 tapered instrument will encounter less resistance when working the canals bucco-lingually.,,,C,
In comparing reamers to files,reamers encounter more resistance along the length of the canal walls,files predominantly remove dentin when employing a horizontal hand motion,reamers predominantly remove dentin when employing a horizontal hand motion,files offer better tactile perception,,,C,
What are the differences in design between a stainless steel twisted reamer and a stainless steel twisted file?,reamers have approximately half the number of flutes along the same 16 mm of working length compared to a file,the orientation of the flutes on a reamer are about twice as vertical as those on a file,files are stiffer because the extra flutes produced by extra twists work harden the instruments more than reamers,all the above,,,D,
How does the 30º oscillating handpiece work?,It generates a 30º arc that is additive creating a full arc of motion ater 12 cycles producing a 360º.,"at 3000-4000 cycles per minute, the 30º oscillating handpiece generates between 250 and 330 rotations per minute",eliminates all rotations by limiting the arc of motion to 30º,none of the above,,,C,
The main causes of instrument separation include,excessive apical pressure applied to the oscillating instruments,excessive buccal and lingual pressure applied to the oscillating instruments,excessive mesial and distal pressure applied to the oscillating instruments,excessive torsional stress and cyclic fatigue applied to rotating instruments,,,D,
What instruments are more prone to separation?,those used in rotation whether continuous or interrupted,those used in 30º oscillations,,,,,A,
What does Newton's Third Law of Motion state?,that two bodies that interact will have interactions that are dependent upon the size of each body,that two bodies that interact will produce different results dependent upon the force of the first body on the second,that two bodies that interact will produce different results dependent upon the force of the second body on the first,that two bodies that interact will have an equal and opposite impact on each other,,,D,
The advantages of room temperature canal obturation does not include:,no shrinkage and some expansion of the obturation materials,eliminating the use of a cement interphase between the gutta percha point and the canal wall,the high flowability of the cement interphase that adapts to all the voids that may be present between the gutta percha point and the canal walls,a three dimensional fill achieved often without the need for auxiliary points.,,,B,
What roots are most vulnerable to root perforation due to concavities along their furcal lengths during instrumentation?,"maxillary centrals, laterals and canines",the mesial roots of maxillary and mandibular first molars,mandibular anteriors,the distal roots of mandibular molars and the palatal roots of maxillary molars,,,B,
The term “internal routing” is applied to,all instrumentation systems,particularly to rotary systems both continuous and interrupted,specifically to 02 tapered stainless steel twisted reamers used in a 30º oscillating handpiece,the manual use of K-files that can be controlled via the amount of hand pressure that is applied at all times.,,,C,
The action of “internal routing” describes the following most completely:,the tooth now adapts to the instrument giving a predictable result time after time,the instrument adapts to the tooth and the unique pulpal configurations that exist in each tooth preserving dentin and maximizing the amount of pulp tissue removed.,minimum dentin removed while removing more pulp tissue,maximum dentin removed to achieve the removal of the most pulp tissue,,,B,
The flat along the SafeSider reamers has the following advantages:,makes the instruments more flexible,creates two vertical blades that shave dentin away in both the clockwise and counterclockwise motion generated by the 30º oscillating handpiece,creates a greater space for irrigants and debris,reduces engagement along length making apical negotiation easier,all the above,,E,
What factor(s) do not effect success rates?,missed canals,separated instruments,loss of length,loss of coronal seal,minimal loss of dentin,vertical fracture,E,
"When instrumenting and obturating the length of the canal, our apical point of reference consistent with the highest rate of predictability is",the apical constriction or minor apical diameter,the apical foramen,the radiographic apex,the anatomical apex,,,A,
The only irrigant that actually digests pulp tissue remnants is:,17% EDTA,2% chlorhexadine,NaOCl,chloroform,,,C,
The bidirectional spiral does all the following except for:,drives the cement apically without driving it over the apex,drives the cement laterally along the length of the canal minus the last 3 mm,"drives the cement to the apex, but not beyond",provides a well coated canal prior to the placement of the prefitted master point,,,C,
The greatest disadvantage of thermoplastic obturation is,the high cost of these systems,the adaptability to the canal walls,the heat transferred to the ligament attachment of the tooth to bone,shrinkage after placement,,,D,
"Typically, when a canal disappears on an x-ray film as it goes apically it means",the canal is becoming highly calcified,the canal is ending at that point,it is splitting at the level of disappearance,the x-ray angle is inadequate,,,C,
Doing root canal therapy on older patients is often a greater challenge because,the canals are often quite calcified making them difficult to find and negotiate,the patients have health issues that make them less resilient,the visits must often be shorter,all the above,,,D,
The color of dentin is often a good clue to where the underlying pulp tissue is because,the dentin becomes whiter as we approach the correct location of the pulp tissue,the dentin tends to becomes darker as we approach the correct location of the pulp tissue,the dentin becomes redder and redder as we approach the pulp tissue,as the dentin becomes darker it also becomes softer indicating proximity to the pulp tissue,,,B,
"When retreating a tooth endodontically, taking a CBCT is a good idea to see",just how extensive any bone loss around the roots is,have any canals been missed in the original treatment,is there any evidence of internal or external resorption,all the above,,,D,
