title,Periodontics II Midterm Exam (Spring 2022),perio2,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
What is true regarding the radiographic landmark called “Lamina Dura?”,It appears as a continuous white line,It contains foramina which allows nerves to pass between bone and PDL,It may be evident when there is increased mobility and/or increased occlusal loading,"a, b, and c",a and b,C,
What is true regarding Necrotizing Ulcerative Periodontitis?,It only presents in patients with HIV infection,It is characterized by necrosis of the periodontal ligament,Patient is usually asymptomatic,All of the above,,B,
Which of the following are indications for the treatment of Gingival Overgrowth?,Interference with speech,Aesthetics,Access for home care,All of the above,,D,
Which of the following is part of Non-Surgical Periodontal Treatment?,Occlusal Adjustment,Scaling and Root Planing,Systemic Antibiotics,"a, b, and c",b and c,D,
The goal of periodontal therapy includes:,Creating a maintainable environment,Arresting disease progression,Resolving inflammation,Altering or eliminating periodontal pathogens,All of the above,E,
When presenting a treatment plan to a patient which of the following should be included?,Length and cost of treatment,Encourage questions,Describe patient's condition and clinical finding,a and b,"a, b, and c",E,
When determining success of periodontal therapy which of the following criteria indicate success of treatment?,Increase is probing depth,Decrease in occlusal stability,Reduction or absence of bleeding upon probing,All of the above,,C,
Which of the following are part of Re-Evaluation or Presurgical Evalution?,Occlusal adjustment,Oral hygiene status,Splinting,All of the above,,D,
Which of the following are part of “Initial Preparation?”,Gingivectomy,Elimination of “local factors”,Crown Fabrication,All of the above,,B,
Which of the following is not true regarding shallow and deep pocket depths?,Deep sites are more likely to contain aerobic bacteria,Bleeding upon probing occurs more often in deep pockets,Deep sites are more difficult to maintain,Supraginginval hygiene will affect flora in shallow sites only,,A,
"Which prognosis has the following definition: Inadequate attachment to maintain the tooth in health, comfort, and function.",Good,Fair,Poor,Questionable,Hopeless,E,
Gingival enlargement associated with systemic diseases or conditions include all of the following except:,Vitamin C deficiency,Pregnancy,Plasma Cell Gingivitis,Vitamin D deficiency,,D,
Which prognosis has the following definition: (1 or more of the following) 50% attachment loss with Class II furcations. The location and depth of furcations would allow proper maintenance but with difficulty.,Good,Fair,Poor,Questionable,Hopeless,C,
According to the study published by McGuire and Nunn which of the following is/are true?,Good hygiene was found to increase the likelihood of improvement,Initial mobility had no effect on the likelihood of improvement,Smoking decreased the likelihood of improvement by 80%,All of the above,,A,
According to Dr. Carranza what Grade is given to Gingival Enlargement that affects the papilla and marginal gingiva?,Grade 0,Grade 1,Grade 2,Grade 3,,C,
Which factors of Molar Furcation involvement is true regarding prognosis?,Maxillary Molars with a distal furcation is more favorable than Maxillary Molars with buccal and mesial furcation involvement.,Mandibular Molar furcation involvement is more favorable than Maxillary Molar furcation involvement,Mandibular 1st Molar furcation involvement is less favorable than Mandibular 2nd Molar furcation involvement,All of the above are true,,B,
Which of the following factors of root anatomy contribute to a better tooth prognosis?,Divergent roots have a better prognosis than convergent roots,Maxillary Molars have more enamel projections than Mandibular Molars,Maxillary Central Incisors more often have palatal grooves than Maxillary Lateral Incisors,Short Tapered Roots have a better prognosis than Long Straight Roots,,A,
What is true regarding factors affecting individual tooth prognosis?,"Mobility, no matter what the cause, affects individual tooth prognosis",Distribution and type of bone loss is extremely important,1 wall bony defect has a better prognosis vs a 2 wall defect,Probing depth does not affect prognosis,,B,
A young child who has recently had a kidney transplant presents with gingival enlargement. The following medication is most likely to contribute to this condition:,Dilantin,Cyclosporin,Nifedipine,None of the above,,B,
Which of the following are limitations of radiographs?,They are difficult to standardize,There must be 50-60% mineral loss before it is visible radiographically,"Due to superimposition, details of bony architecture may be lost",a and b,a and c,E,
When evaluated radiographs for periodontal disease which of the following is true?,Moderate bone loss is when there is greater than 50% bone loss,The crest of bone is viewed relative to a line drawn between the CEJ of adjacent teeth,Bone level is normally found 2-4mm apical to the CEJ,None of the above,,B,
What happens histologically when there is Drug Induced Gingival Enlargement?,Rete Pegs become elongated,The epithelium becomes thinner,There is thinning of the connective tissue,All of the above,None of the above,A,
What are features of Malocclusion?,Malocclusion can cause Gingivitis,Malocclusion can produce occlusal trauma,Malocclusion can cause Periodontitis,All of the above,,B,
Which of the following is true regarding Occlusal Trauma?,Parafunctional Habits is an example of Primary Occlusal Trauma,Secondary Occlusal Trauma is non-reversible,Chronic Occlusal Trauma is more common than Acute Occlusal Trauma,All of the above,,D,
Which of the following is not a cause of occlusal trauma?,Parafunctional Habits,Altered Passive Eruption,Faulty Restorations,All are causes of occlusal trauma,,B,
"Select the term that refers to repair in areas of the root not previously exposed to the pocket, such as after traumatic teats in the cementum, tooth fractures, or periapical lesions?",Epithelial adaptation,Repair,New Attachment,Reattachment,,D,
Varicella-Zoster Virus (VZV):,Infection occurs mainly in adulthood,Is the cause of chickenpox,Causes large ulcers in the floor of the mouth,All of the above,,B,
Which of the following are features of Necrotizing Ulcerative Gingivitis,Secondary features include bad breath and pseudomembrane formation,There is no invasion of connective tissue by bacteria,There is periodontal bone loss,All of the above,,A,
Which criteria help to determine if a tooth has a Periodontal Abscess vs a Periapical Abscess?,Mobility,Suppuration,Vitality,All of the above,,C,
Which of the following is not an objective of surgical pocket reduction?,To restore periodontal architecture to enhance plaque removal,To improve access to root surfaces to facilitate dental procedures,To lengthen pocket depth to improve plaque removal,All of the above are true,,C,
The following Neoplastic Enlargement is Malignant:,Squamous Papilloma,Peripheral Giant Cell Granuloma,Melanoma,Leukoplakia,,C,
Which of the following is not a feature of a “Pregnancy Tumor”?,It is usually painful from the outset,It is associated with Prevotella Intermedia and Prevotella Nigrescens,It can spontaneously regress after completion of the pregnancy,It is a discrete spherical mass,,A,
