title,Lasers in Dentistry Final Exam (Summer 2020),lasers,
question,option_a,option_b,option_c,option_d,option_e,correct,image
What does the letter “A” in LASER stand for?,Absorption,Amplification,Activation,Articulation,,B,
"A laser is operating in pulsed mode at a 25% duty cycle (ON 25%, OFF 75%), If 6.0 Watts is the peak power, what is the average power?",6.0 Watts,4.5 Watts,1.5 Watts,Cannot be determined from the information given,,C,
Why does red light appear brighter than green light when directed at a finger?,Red light is more highly absorbed by the tissue,Green light is more highly absorbed by the tissue,,,,B,
The very first LASER was invented by:,Ted Maiman,Albert Einstein,Thomas Edison,Leon Goldman,,A,
LASER light is made up of:,Neutrons,Electrons,Photons,Nitrogen,,C,
"By definition, which of the following is NOT a property of lasers?",Monochromatic,Collimation,Coherence,Divergence,,D,
In which part of the electromagnetic spectrum do Nd:YAG lasers operate?,In the infrared (IR) portion,In the visible portion,In the ultraviolet (UV) portion,In both the visible and ultraviolet (UV) portions,,A,
"Radial Apical Cleansing, (developed by Dr. Kolnick), accomplishes all the following except:",Drying the canal for obturation,Drainage and decompression,Recapitulation,Patency,,A,
Which of the following is an example of IONIZING radiation?,Microwave Radiation,Infrared Radiation,Ultraviolet Radiation,Radio Waves,,C,
"Assuming two laser beams of the same wavelength have equal power and are passed through fibers of identical diameter, the LONGER fiber will have:",Lower power density than the short fiber,Equal power density as the short fiber,Higher power density than the short fiber,Cannot be determined from the information provided,,B,
"Sometimes laser peak power is larger than average power, and sometimes they are the same.",True,False,,,,A,
"Dakin’s Solution is more caustic to dental tissues compared to undiluted sodium hypochlorite, which is well-tolerated.",True,False,,,,B,
A 2.0 Watt laser emits 20 mJ per pulse at 100 Hz (pulses per second). How much energy will be emitted in each pulse at 10 Hz at the same power setting?,200 mJ per pulse,100 mJ per pulse,400 mJ per pulse,5 mJ per pulse,,A,
What is measured in Watts/cm2?,Energy density,Energy per pulse,Power density,Power per second,,C,
Which laser delivery system uses a series of mirrors to deliver the laser beam?,Articulating arm,Optical fiber,Ruby rod,Hollow wave guide,,A,
"When a laser hits target tissue, several things can happen. If we are ablating soft tissue, which effect are we seeking?",Reflection,Absorption,Transmission,Refraction,,B,
Dental lasers used for HARD tissue ablation fall under the category of:,Class I,Class II,Class III,Class IV,,D,
The lasers used in dentistry are:,Ionizing,Non-Ionizing,,,,B,
Nominal Ocular Hazard Distance (NOHD) should be at least six feet.,True,False,,,,B,
Which form of bacteria is more easily killed by biocides?,Planktonic,Biofilm,,,,A,
"Diode lasers are less expensive, more practical and easier to use because they do not need to be initiated.",True,False,,,,B,
"When reviewing dental research, it is important to know that _____ is considered sterile.",5 log kill,6 log kill,4 log kill,3 log kill,,B,
Which of the following cannot be completed using a diode laser?,Excision of soft tissue,Gingivectomy,Removal of porcelain veneer,Removal of irritation fibroma,,C,
"If you are preparing a Class II cavity preparation using a laser, which would be the fastest?",2940 nm Er:YAG,1064 nm Nd:YAG,980 nm Diode,810 nm Diode,,A,
"The farther laser energy passes through tissue, the less it interacts with that tissue.",True,False,,,,A,
"According to “this guy” (Frank Beube – 1947), periodontal healing will occur as long as you have all of the following except:",Periodontal healing pack,Resistance to epithelial downgrowth,Stable protective clot,Clean disinfected site,,A,
"To make an appointment in clinic for a laser procedure, you need to check on Dr. Walinski’s availability before booking the appointment.",True,False,,,,A,
In which area of dentistry would Photodynamic therapy (PDT) be LEAST useful?,Periodontics,Orthodontics,Endodontics,Restorative Dentistry,,B,
Photobiomodulation (PBM) lasers fall in which part of the electromagnetic spectrum?,In the visible portion,In the infrared (IR) portion,In the ultraviolet (UV) portion,In the visible portion & In the infrared (IR) portion,In the visible portion & In the ultraviolet (UV) portion,D,
Erbium lasers penetrate much deeper into soft tissue than Nd:YAG lasers:,True,False,,,,B,
"For photodynamic therapy (PDT) to be effective, which of the following is not necessary?",Oxygen,Light,Photosensitizer,Shockwaves,,D,
The “N” in LANAP stands for:,Noninvasive,New,Nanoparticle,Necessary,,B,
"According to Dr. Tiger, true periodontal regeneration requires everything below except:",New laser fiber,New periodontal ligament,New cementum,New alveolar bone,,A,
Which of the following statements is TRUE?,Joules = Watts per second,Watts = Joules per second,The most important laser effect seen while ablating tissue is reflection,Hertz = number of pulses per minute,,B,
Your eyes are protected from laser irradiation by the glass in standard magnification loupes.,True,False,,,,B,
