title,Clinical Oral Radiology Exam 2 (Fall 2018),coralrad,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
Image D is in which plane? Image A: Image B: Image C: Image D:,Axial,Sagittal,Coronal,Cross-section,,B,images/coralrad-exam2-fall-2018/fig1.jpg
How would you describe the borders of the periapical hypodensity associated with #3? Image A: Image B: Image C: Image D:,Poorly-defined and non-corticated,Well-defined and well-corticated,Well-defined but non-corticated,Poorly-defined and well-corticated,,B,images/coralrad-exam2-fall-2018/fig2.jpg
"After carefully examining the provided slices, you notice there is another problem with #3 aside from the periapical hypodensity. Which of the following best describes the issue? Image A: Image B: Image C: Image D:",Severe periodontal bone loss,Cervical burnout,HYPERdense material past the palatal root apex,Impaction on #4,,C,images/coralrad-exam2-fall-2018/fig3.jpg
The patient is having pain associated with tooth #2. You diagnose a fracture on the radiograph. Which root has the fracture? Image A: Image B: Image C:,Mesiobuccal root,Distobuccal root,Palatal root,Crown,,B,images/coralrad-exam2-fall-2018/fig4.jpg
Which of the following best describes the type of fracture? Image A: Image B: Image C:,Horizontal root fracture,Vertical root fracture,Oblique (diagonal) root fracture,Class IV coronal fracture,,C,images/coralrad-exam2-fall-2018/fig5.jpg
Which tooth has a root fracture? Image A: Image B: Image C: Image D:,#4,#5,#12,#13,,B,images/coralrad-exam2-fall-2018/fig6.jpg
There is an entity on the floor of the left maxillary sinus. Which of the following BEST describes the internal structure of the entity? Image A: Image B: Image C: Image D:,HYPERdense,Hypodense,Isodense with soft tissue (the same density as soft tissue),Radiopaque,,C,images/coralrad-exam2-fall-2018/fig7.jpg
"Based on the radiographic presentation of the entity on the floor of the left maxillary sinus, which is the BEST impression? Image A: Image B: Image C: Image D:",Mucosal thickening,Frothy mucous,Mucous-retention pseudocyst,Squamous cell carcinoma,,C,images/coralrad-exam2-fall-2018/fig8.jpg
Please only look at image D for this question. The dentist is hoping to place an implant in the visualized portion of left maxilla Approximately how much bone is available for implant placement? Image A: Image B: Image C: Image D:,1.5 mm,3.0 mm,7.0 mm,10.0 mm,,B,images/coralrad-exam2-fall-2018/fig9.jpg
Please examine the left temporomandibular joint (TMJ). Note the hypodense lesion. Where is the lesion located? Image A: Image B: Image C:,Condylar head,Condylar neck,Articular disc,Articular eminence,,D,images/coralrad-exam2-fall-2018/fig10.jpg
The internal structure of the left mandibular condyle: Image A: Image B: Image C:,Has significant erosive changes,Has significant sclerotic changes,Is within normal limits.,Suggests the presence of a tumor,,C,images/coralrad-exam2-fall-2018/fig11.jpg
Which of the following best describes the periodontal bone surrounding the visualized maxillary tooth?,No bone loss,Mild bone loss,Moderate bone loss,Severe bone loss,,D,images/coralrad-exam2-fall-2018/fig12.jpg
One of the paranasal sinuses contains something other than air. What is the name of this sinus? Image A: Image B: Image C: Image D:,Maxillary sinus,Frontal sinus,Ethmoid sinus,Sphenoid sinus,,C,images/coralrad-exam2-fall-2018/fig13.jpg
An entity isodense with (the same density as) soft tissue is noted on the floor of the maxillary sinuses. Note how it follows the walls of the sinus. Which of the following is the BEST impression?,Sinonasal carcinoma,Mucosal thickening,Mucous-retention pseudocyst,Boogers,,B,images/coralrad-exam2-fall-2018/fig14.jpg
There is a lesion near the floor of the left maxillary sinus. Which of the following best describes its borders? Image A: Image B: Image C:,Poorly-defined and non-corticated,Well-defined and well-corticated,Well-defined but non-corticated,Poorly-defined and well-corticated,,B,images/coralrad-exam2-fall-2018/fig15.jpg
There is a lesion near the floor of the left maxillary sinus. Which of the following best describes its borders? Image A: Image B: Image C:,It communicates with the left maxillary sinus,communicates with tooth #15,It communicates with both the left maxillary sinus AND with tooth #15,It appears independent of both the left maxillary sinus AND tooth #15,,C,images/coralrad-exam2-fall-2018/fig16.jpg
