title,Removable Prosthodontics Midterm Exam (Fall 2019),rempros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A custom tray is used in the creation of a final impression for a CD because:,"It is always trimmed to the correct, final borders of the CD",It captures an accurate representation of soft tissues,It allows for a rigid container for impression material,It allows for uniform thickness of impression material,"b,c, and d only",,E,
A facebow transfer is used to:,Transfer the spatial relationship of the maxilla to the articulator,Allow for the transfer of proper arc of closure of the patient to the articulator,Allow for altering a patients VDO,All the above,a and c only,,D,
A patient presents with severe mandibular resorption. Which anatomic structure(s) would you be specifically concerned with versus a patient with a well formed ridge?,The retro-molar pad,The genial tubercle,The mental foramen,b and c only,All the above,,D,
A patient with dry mouth syndrome is more likely to experience which of the following;,Increased retention of a mandibular denture,Decreased likelihood of sore spots,Decreased suction of the upper denture,None of the above,,,C,
A properly poured and trimmed master cast should have what depth of vestibule preserved?,7- 10 mm,0 mm,2-3 mm,4-6 mm,,,C,
A semi-adjustable articulator can record the total pathway of movement of a patient's jaws,True,False,,,,,B,
A wax shim is used in a custom tray to allow for a uniform thickness of impression material,True,False,A wax shim is never indicated in a custom tray,,,,A,
"According to the directions you received in lecture, when setting semi-anatomical maxillary posterior teeth on a denture, all buccal cusps should be in contact with the flat occlusal plane",True,False,,,,,B,
"According to the lecture given, the height of the residual ridge of the mandible is reduced by how much during the first year post extraction?",7-9mm,0.1-0.2mm,4-5mm,2-3mm,,,C,
Aging and tooth loss in the denture wearing population can often affect the facial appearance. Which of the following can be seen in this patient cohort?,"Thinning appearance of the lips (reduced lip display), and increased accentuation of peri-oral wrinkles",Accentuation of the naso-labial folds,Reduction of the lower face height,All of the above,,,D,
Alveolar bone loss is caused by,Poorly fitting dentures,Tooth loss,Forces transmitted by well-fitting dentures,"a,b and c",a and b only,,D,
"Anatomically, a denture bearing area that exhibits thick keratinized tissues and underlying cortical bone would be considered a candidate for",Relief area due to high resorption risk,Secondary stress bearing area,Primary stress bearing area,Avoidance in covering during border molding,,,C,
Angular chelitis is,Caused by loss of lip support by missing teeth,A fungal infection,Can be treated with medicine,Is identified by inflammation where the body of the mandible meets the ascending ramus,"a,b,c only",,E,
"Before delivering a complete denture, generally how long would you inform your patient they should expect to spend adjusting to their new prosthesis?",Overnight,6-8 days,2-4 months,6 -8 weeks,,,D,
Border molding a custom tray:,Is only necessary when your initial impression is inaccurate,Allows the capture of the patients' soft tissues at rest,"Extends the borders of the denture such that during function, muscles activate to counter occlusal forces by displacement of the denture base",None of the above,,,D,
