title,Fixed Prosthodontics Final Exam (Fall 2021),fixedpros,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
"An onlay is an indirect restoration, that covers the cusp(s) of a posterior tooth. Which of the following statements is/are FALSE? 1) It is a modification of a Class II inlay. 2) Utilizes intra coronal retention. 3) Is a full veneer extra coronal restoration. 4) Occlusal forces are dissipated and non-destructive to tooth structure. 5) More protective restoration than a full crown. 6) Main feature is cuspal protection.","1, 2, and 6 are false.",All are true.,3 and 5 are False.,All are false.,,C,
"Your dental supply rep comes to your office, buys you and your staff lunch, and has a number of sample products to give you. She wants you to buy a new elastomeric impression material which she describes as hydrophilic with a 180-degree contact angle. You should:",Buy 10 boxes because it is on sale.,Buy 10 boxes because the properties she described sound great.,Tell her you prefer hydrophobic impression materials.,Tell her she doesn’t know what she is talking about.,,D,
"When we make a crown impression, we do not want the impression to extend beyond the chosen gingival margin (finish line) of the crown prep.",True,False,,,,B,
"When treatment planning for a post core on an endodontically treated tooth, which of the following statements is/are False: 1) Posts strengthen remaining tooth structure. 2) A ferrule of 1.5 to 3 mm is recommended. 3) All endodontically treated teeth should have a post placed. 4) A minimum of 2.5 mm radicular tooth structure is required.",1 and 2 are false.,2 is false.,"1, 3 and 4 are false.",All are false.,All are true.,C,
BIS-GMA produces a greater exothermic reaction while polymerizing than PMMA:,True,False,,,,B,
When comparing an inlay prep to an onlay prep: Statement 1: An inlay produces wedgelike forces over a wide area in the long axis of the tooth. Statement 2: An onlay distributes forces over a wide area in the long axis of the tooth.,"Statement one is true, statement two is false.","Statement one is false, statement two is true.",Both statements are true.,Both statements are false.,,C,
Choosing a high “crystalline phase” ceramic will provide a crown that is very translucent.,True,False,,,,B,
Dr. Mansdorf referred to an article in his last post-core lecture about endodontically treated teeth. Which of the following statements is/are true? 1) Endodontically treated teeth do become brittle. 2) Endodontic access preparation weakens the tooth. 3) Loss of tooth structural integrity weakens teeth. 4) Changes in dentin following endodontic treatment weakens teeth.,1 is the only true choice.,1 and 4 are the only true choices.,2 and 3 are true,"1, 2, 3, and 4 are true.","1, 2, 3, and 4 are false.",C,
Which of the following is/are False when discussing Non-Functional cusps:  1) Do not contact opposing teeth in MI. 2) Have smoother cusp ridges than Functional cusps. 3) Outer inclines have no potential for contact. 4) Keep soft tissue away from the occlusal table.,I and 3 are false.,2 is the only false choice.,4 is the only false choice.,"1, 2, 3, and 4 are true.","1, 2, 3, and 4 are false.",B,
Pressed ceramic material is provided as a:,Powder,Liquid,Ingot,None of the answer choices,,C,
"When fabricating a core, which of the following materials may be used: 1) Amalgam 2) Gold 3) Composite 4) Glass ionomer 5) Cement",2 and 3,"1, 2 and 3",3 only,All of the above,None of the above,D,
"When preparing a tooth for an onlay, we know capping and shoeing are very important preparation concepts. Which of the following is/are false when shoeing a cusp: 1) Shoeing is used on the functional cusp. 2) Shoeing veneers a cusp with only a slight bevel to the cusp tip. 3) Shoeing is used when esthetics involves the palatal cusps of maxillary premolar/molar teeth. 4) Shoeing the palatal cusp provides resistance form for the buccal cusps.",1 and 3 are false.,2 is false.,"1, 3 and 4 are false.",All are true.,All are false.,C,
"When inserting a porcelain laminate, the bond strength to dentin equals that of enamel:",True,False,,,,B,
A Cusp-to-Fossa occlusal pattern is less common than a Cusp-to-Marginal Ridge occlusal pattern:,True,False,,,,A,
"When preparing a post, it is necessary to remove all gutta percha, cement or other material to insure the post seats against solid root surface:",True,False,,,,A,
An impression material with a zero-contact angle will produce better surface detail than an impression material with a 180-degree contact angle:,True,False,,,,A,
"When discussing the fabrication of ceramic materials, the process that results in the properties of toughening, strength and translucency is/are:",Fusion.,Syneresis.,Vitrification.,Imbibition.,None of the answer choices.,C,
Ms. America presents to your office with a fractured tooth # 3. You decide a ceramic onlay is the restoration of choice. Cuspal coverage provides fracture resistance by covering the occlusal surface: Statement 1) The non-functional cusp should be prepared to a minimum reduction of 1.5 mm Statement 2) The functional cusp should be prepared to a minimum reduction of 2.0 mm.,"Statement 1 is true, Statement 2 is false.","Statement 1 is false, Statement 2 is true.",Both statements are true.,Both statements are false.,,B,
We place a die spacer after a physical or digital impression is made in order to: 1) Allow for complete crown seating. 2) Allow space for the cement used. 3) Increase mechanical retention of the crown. 4) We keep spacer 0.5 mm short of die margin.,"1, 2 and 4 are False.",3 is false.,"1,2 and 4 are True.",All are false.,,C,
You have been using a heavy body putty elastomeric impression material to fabricate reduction and provisional matrices all semester. You used both a regular body and a light body elastomeric impression material when making an impression of your laminate preparations. Statement 1) All three of these materials are polyether impression materials. Statement 2) All three of these impression materials set via a condensation silicone reaction.,"Statement one is true, Statement two is false.","Statement one is false, Statement two is true.",Both statements are true.,Both statements are false.,,D,
"When fabricating a metal coping for a porcelain fused to metal crown, the occlusal line angles should be sharp and squared off:",True,False,,,,B,
"When preparing a Class II MO Ceramic Inlay, which of the following is/are False: 1) Internal buccal, lingual, and distal walls of the prep must be convergent. 2) All internal line angles should be 90 degrees. 3) Buccal and lingual contacts do not need to be broken. 4) The cavosurface margins should be 45 degrees. 5) The inlay prep should be a minimum of 1.5 mm on the pulpal floor.","1 ,2 and 3 are true.",5 is the only false statement.,2 and 5 are true.,All are true.,All are false.,E,
"When making an impression of a tooth prep, whether physical or digital, our goal(s) is/are: Statement 1) To provide an accurate representation of the tooth preparation. Statement 2) Trim the physical or digital die to expose all margins.","Statement one is true, Statement two is false.","Statement one is false, Statement two is true.",Both statements are true,Both statements are false.,,C,
The cervical 1/3 of a post preparation yields the greatest retention and resistance form.,True,False,,,,B,
"When comparing porcelain laminates to direct composite veneers, which of these is/are False regarding porcelain veneers: 1) More technique sensitive than direct veneers. 2) More artistic expertise is required. 3) Not as durable and long lasting as direct veneers in general.",1 and 3 are the only false choices.,3 is the only false choice.,2 is the only false choice.,"1, 2, and 3 are false.","1, 2, and 3 are false.",E,
Simultaneous contact of all teeth at a proper vertical dimension is known as: 1) Centric Occlusion. 2) Centric Relation. 3) Protrusive Excursion. 4) Maximum Intercuspation.,1 only.,1 and 4,3 and 4,"1, 2, 3, and 4",None of the choices.,B,
"When comparing the esthetics of feldspathic porcelain to pressed ceramics, in general, feldspathic porcelain restorations are capable of greater and longer lasting esthetics:",True,False,,,,A,
Which of the following is/are false when discussing Zirconia type restorations: 1) They are the hardest dental ceramic at the present time. 2) They are always very translucent. 3) They have high thermal conductivity. 4) They have very high bond strength.,1 is the only false choice.,2 and 4 are the only false choices.,"2, 3 and 4 are false.",All 4 statements are true.,,C,
"Mrs. Bluestein presents to your office wearing a partial denture replacing teeth # 7-10. She saved a little girl from drowning and was given a $20,000 reward. She wants to have a “permanent” bridge extending from # 6 to # 11. She is very clear that she wants to maximize esthetics and does not want food to trap under the “false” teeth. You recommend a porcelain fused to metal fixed prosthesis. The type of pontic you should select is/are:",Modified ridge lap.,Sanitary.,Ovate.,Any of the answer choices.,None of the answer choices. Modified ridge lap.,C,images/fixedpros-final-fall-2021/fig29.jpeg
The maxillary third molar contacts two teeth in the opposing arch:,True,False,,,,B,
MB cusps of mandibular molars contact: 1) Statement One: The MMR of maxillary molars. 2) Statement: The DMR of the maxillary tooth mesial to it.,"Statement one is true, statement two is false.","Statement one is false, statement two is true.",Both statements are true.,Both statements are false.,,C,
DL cusps of mandibular molars overlap the maxillary molars:,In the buccal groove.,In the lingual groove.,In the MMR.,In the DMR.,,B,
The buccal cusps of tooth #12 and tooth # 13 sit in the embrasures between #20-21 and #19-20.,True,False,,,,A,
The MB cusp of the first maxillary molar sits in the________ of the first mandibular molar:,Mesiolingual groove,Mesiofacial groove.,Distobuccal groove.,None of the answer choices,,B,
"When fabricating an Ion crown provisional, the proper treatment sequence is: 1) Trim length of Ion crown. 2) Prepare tooth. 3) Trim the gingival contour of Ion crown to prepared tooth margins. 4) Place provisional material in Ion crown. 5) Trim Ion crown margins, correct contacts and incisal length and make any other adjustments. 6) Seat and repeatedly remove Ion crown until material is set.","1, 2, 3, 4, 5, 6","3, 4, 2, 5, 1, 6","2, 1, 3, 4, 6, 5",None of the choices,,C,
"When fabricating a PFM restoration, the Coefficient of Thermal Expansion of the metal coping is lower than that of the ceramic,",True,False,,,,B,
"Which of the following is/are False when discussing laminates: 1) A 90-degree shoulder diamond is the preferred reduction diamond. 2) You may place the laminate margin on an existing composite, amalgam or other restorative material. 3) The palatal margin of a porcelain laminate should not be a contact point in occlusion.",3 is the only correct choice.,2 is the only false choice,1 and 2 are false.,"1, 2, and 3 are true.","1, 2, and 3 are false.",C,
