title,Cariology Quiz 1 (Spring 2018),cario,quiz
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Two fermentable carbohydrates as related to dental caries are:,Sucrose and Xylitol,Glucose and Sunrise,Fructose and Xylitol,Glucose and Sucrose,,,D,
Three key protective factors in the caries balance are:,"Carbohydrates, saliva, antibacterials","Calcium, Fluoride, Chlorhexidine","Adequate Saliva, Fluoride, Antibacterials","Xylitol, Bacteria, Low pH",,,C,
Three key pathological factors in the caries balance:,"Cariogenic bacteria, Carbohydrate frequency, Xerostomia","Cariostatic bacteria, Lack of fluoride, Xerostomia","Salivary pellicle, Bicarbonate, Sucrose","Noncariogenic bacteria, orthodontic brackets, Calcium deficient diet",,,A,
Mutans Streptococcus:,Consume acid and produce an exopolysaccharide,Produce lactic acid as a by-product from glucose metabolism,Are non-infectious,Produce acetic and formic acid when there is an abundance of sucrose/glucose.,,,B,
Four basic components of a biofilm are:,"Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Advanced Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Fluid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Fluid Nutrient Channel, Primitive Communication System",,,D,
The salivary pellicle;,Is the cellular layer of adsorbed salivary proteins,Is a semi-permeable barrier between the enamel and oral environment,Forms within hours after a dental cleaning,Is the acellular layer of adsorbed salivary proteins,B and D,A and B,E,
Carbonated Hydroxyapatite;,Is less soluble in acid than Fluorapatite,Is less soluble in acid than hydroxyapatite,Is of similar solubility to fluorapatite,Is more soluble than hydroxyapatite in acid,,,D,
The effect of Fluoride on remineralization of carious lesions is by;,Producing the more soluble mineral Fluorapatite,Causing bacterial cell destruction by interfering with enzyme pathways,Producing the less soluble mineral Fluorapatite,A and C,B and C,,E,
The main purpose of Glycerin in toothpaste is;,As a humectant to prevent hardening of the paste,As a preservative to prevent bacterial growth,As an abrasive to remove surface stains,As a sweetener to improve the taste,,,D,
Which of the following materials is safe to be left overnight and safe for all age groups?,CCP-ACPF,CSP,TCP,CCP-ACP,,,D,
The FDA gave clearance for Silver Diamine Fluoride to be used as:,An anti-caries agent,An anti-gingivitis agent,Treating dental hypersensitivity in adults,As a remineralization agent in combination with Fluoride,,,C,
A contraindication for using Silver Diamine Fluoride includes:,A nut allergy,A Sodium Lauryl Sulfate allergy,A pollen allergy,A silver allergy,,,D,
Charcoal has been recognized as;,A magical cure,An abrasive mineral to the teeth and gingiva,Effective as a whitening agent,Valuable as an antibacterial and antifungal agent,,,B,
Infants may acquire S. Mutans;,Only via horizontal transmission,Only via vertical transmission,Via both horizontal and vertical transmission,Neither via horizontal or vertical transmission,,,C,
Which two materials are known to cause staining of teeth;,Stannous Fluoride and Chlorhexidine,Sodium Fluoride and Sodium Hypochlorite,Sodium Monofluorophosphate and Chlorhexidine,Stannous Fluoride and Sodium Hypochlorite,Sodium Monofluorophosphate and Sodium Fluoride,,A,
