title,DAO Quiz 4 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
The maxillary canine has the largest cingulum of any of the anterior teeth,True,False,,,A,
From an incisal view the maxillary canine:,The mesial half is thicker faciolingually then the distal half,The distal half is thicker faciolingually than the mesial half,Mesial and distal halves are the same,,A,
When does tooth #6 erupt?,12 years,6 years,15 years,8 years,A,
"Which tooth is the longest, including crown and root,",#22,#6,#25,#24,B,
The root of the lower canine:,May have two canals,Will only have one canal,Will only have two canals,,A,
The height of contour of the upper and lower canines is in;,In the gingival 1/3,In the middle 1/3,Higher on the lingual,,A,
"The mesial outline, of tooth #22, when viewed from the labial is:",Straight from crown to root,The crown is rounded and the root straight,Mesial and distal outline are the same,,A,
With normal attritional wear the cusp tip of the maxillary canine:,Will move to the mesial,Will move distally,Will remain in the center of the tooth,,B,
Which tooth has the longest crown cervico-incisally ?,#6,#25,#24,#22,D,
The distal contact of the maxillary canine is in:,lncisal 1/3,Middle 1/3,Gingival 1/3,,B,
