title,Endodontics Midterm Exam (Spring 2018),endo,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
The determination of what constitutes effective obturation is determined by,how dense the obturation material is on x-ray,its intimate adaptation to the canal walls along its length and breathe,placing the maximum amount of gutta percha in the canals,a broad thick look of obturation material as seen in the mesio-distal plane onx-ray,,,,B,
What factor does not have a direct impact on the success of the endodontic procedure?,loss of length,canal transportation,perforations,loss of coronal seal,age of the patient,vertical root fracture,separated instruments,E,
The one item that is not a goal of obturation is to,reduce coronal leakage,reduce bacterial contamination,make the tooth more resistant to vertical fracture,seal the apex from the periapical tissues,entomb the remaining irrigants in the canal,,,C,
The apical constriction is important to us because,it is at this point where we go no further in length,it is where we want to block the canal to prevent materials from extrudingapically,it gives us a strong clue we should go no more than .5 mm beyond its lengthafter we encounter it,it represents the limit of instrumentation and obturation,,,,C,
Which statement is true regarding the smear layer?,It is an organic layer that protects the tooth after root canal therapy,Should be retained to improve the seal from obturation,its presence decreases the amount of bacteria that can penetrate the dentinaltubules,it is stable and is not effected by any bacteria that are present,The smear layer has inorganic and organic components whose removalimproves the adaptation of the obturating materials to the canal walls.,,,E,
The most valuable tool in appreciating the anatomy of the pulpal tissue is:,the dental microscope,troughing the canals after entering the pulp chamber,cone-beam computed tomography,x-rays from different horizontal angles,,,,C,
What is a good clue when looking for canals?,the color of the overlying dentin,going into the chamber as deeply as possible,going into the pulp chamber as wide as possible,looking for pulp horns,,,,A,
When a canal disappears on x-ray as it heads apically it generally means,the canal is ending at this point and will go no further,it is highly calcified,it is just naturally narrowing down,it is bifurcating into more than one canal,,,,D,
Canals become narrower over time because of,physiologic aging,trauma,pathosis,occlusion,all the above,,,E,
The single most practical information one can use to find calcified canals is,cone beam computed tomography,the microscope,the color of dentin,generated from a sharp explorer,,,,C,
Pulp chambers and the canals extending from the chambers,rarely if ever have lateral canals,if accessory canals are present they do not exist in the pulp chamber,accessory canals can exist any where pulp tissue exists,the older a person is the more lateral canals are present.,,,,C,
Root morphology for each tooth,"is pretty consistent for each group of teeth be they incisors, premolars ormolars",is pretty much round in cross-section through out the canals length,varies in cross-sectional shape and the general morphology,"never varies in cross-sectional shape, but varies in morphology",,,,C,
Cross-sectional canal shapes can be,round,highly elliptical,concave on their furcal root surfaces,be isthmus-like,all the above,,,E,
If one finds a mesial canal that does not line up bucco-lingually with the distal canal it is likely that,those are the only two canals that are present,we should be looking for a a second mesial canal,we also have a second canal in the distal,it means nothing due to the variability of pulpal anatomy,,,,B,
The proper length to instrument and obturate a canal to is,apical foramen,.5 mm beyond the apical constriction (minor apical diameter),2 mm short of the anatomical apex,the radiographic apex,,,,D,
Apical foramens,always align with the radiographic apex,are the anatomic apex,exist in a variety of sites generally within 2 mm of the end of the root,are always represented by a single orifice wherever they exit,,,,C,
Vital endodontic instrumentation versus non-vital instrumentation varies in the following way,vital instrumentation should be taken closer to the end of the root canal,non-vital instrumentation should be taken closer to the end of the root canal,both should be taken to the same length,slight overfilling on vital cases leads to a higher success rate.,,,,B,
Many studies have concluded that,the best results are attained when instrumentation and obturation are confined to the apical constriction,the best results are attained when instrumentation and obturation are slightly beyond the apical constriction,when instrumentation is slightly beyond the apical constriction and obturation is confined to the apical constriction.,the best results are attained when the obturation is more than 2 mm short of the apex,,,,C,
The worst endodontic results occur,when the obturation is over 2 mm short of the apex,when the obturation material is over the apex,when the irrigants are not used profusely,when NaOCl is not the main irrigant,,,,B,
gaining proper access does not include,removing all caries,conserving tooth structure,removing all coronal pulp tissue,negotiating slightly beyond the constriction of each canal,,,,D,
Consider the following in finding canals,symmetry,color change,orifice location,all the above,,,,D,
Proper shaping is best attained,by internal routing with a reamer in a 30º oscillating handpiece,with straight-line access,with crown-down preparations,the use of K-files in a watch winding motion,,,,A,
Temporary sealing of the chamber between visits is best accomplished,with a small piece of cotton and a thin layer of cement,by filling the entire pulp chamber with a soft cement,by placing cotton and then a strong cement for approximately 3.5 mm thickness,with a large piece of cotton and a soft cement,,,,C,
The one item that is not required for pulp chamber access is,magnification and illumination,fast and slow speed handpieces,a series of sharp reamers relieved along their length,endodontic explorers,,,,C,
The access opening into anterior teeth is generally,round,square,triangular,oval,,,,C,
The one reason reciprocating rotary instruments do not separate in a canal because,they are exposed to excessive torsional stress and cyclic fatigue,they often negotiate highly curved canals,They engage the apical end of the canal too aggressively,they are used in short arcs of motion,,,,D,
"If you are not sure what canal the instrument is in, the best thing to do is",remove the instrument from the canal and take an x-ray from 2 different angles,take an x-ray with the instrument in the canal to determine if it is in a mesial or distal root,take an immediate CBCT (cone beam computer tomographic) with the instrument in the canal.,rely on your anatomical knowledge of pulpal anatomy to eventually determine what canal you are in.,,,,B,
The most important step in the initiation of endodontics is,to make sure you don't perforate out a side wall,to make sure you are doing the correct tooth,to make sure you don't block the canal anywhere along length,that you find all the canals.,,,,B,
The purpose of cleaning and shaping the canals is,to prevent discomfort,to provide a space that can be adequately obturated,to provide a space that can be adequately and effectively irrigated,to cure or prevent apical periodontitis,,,,D,
Cleaning and shaping canals are a challenge with rotary instruments because,they are generally round but have differing tapers,canals are often quite narrow,canals are often a far different shape than the instrument used to cleanse the canal and incur stresses that can lead to separation.,they are used to internally route the pulp tissue from the canals three dimensionally,,,,C,
Instrument that stays centered in the canal,are likely to cleanse the canal three-dimensionally,can produce an x-ray upon obturation that appears to better obturated than it is.,is better than one that internally routs the pulp tissue in the mesio distal and bucco-lingual planes,preserve tooth structure,,,,D,
Stainless steel relieved reamers are,inferior to stainless steel K-files in cleansing and shaping the canals,superior to stainless steel K-files in cleansing and shaping the canals,more likely to lose length when used,more likely to impact debris apically when used,,,,B,
The main function of EDTA is to,remove the organic element of the smear layer and canal walls,reduce the bacterial count,breakdown the biofilm growing on the canal walls,remove the inorganic element of the smear layer and the canal walls,,,,D,
"In a study by Laurent Scherman et al, it was found that",rotary cleansing action was the best in removing the smear layer from the canal walls,interrupted rotation was the best way to remove the smear layer from the canal walls.,a 30º oscillating handpiece with the use of relieved reamers was most efficient at removing the smear layer throughout the length of the root.,all systems performed comparably,,,,C,
Reamers are superior to K-files because,they make more contact with the canal walls along length,they are likely to encounter more resistance when negotiating to the apex,they encounter less resistance during apical negotiation,they impact more debris apically than files,,,,C,
Which statement is correct?,Files have fewer flutes than reamers along their 16 mm of working length,Reamers encounter more resistance than files during negotiating to the apex,Reamers have fewer flutes than files along their 16 mm of working length,The flutes on a reamer are more horizontally oriented than those on a file.,,,,C,
Relieved reamers,are more flexible than K-files or non-relieved reamers,provide an extra space for debris,have two vertical blades that shave dentin away in the clockwise and counterclockwise motion,all the above,,,,D,
Relieved reamers can be used multiple times because,they resist full rotations better than NiTi (nickel-titanium instruments),they are used in interrupted rotations rather than full rotations,their motion is limited to a 30º arc or 1/12 of a full rotation,stainless steel is highly resistant to breakage,,,,C,
Internal routing refers to,creating greater tapers than the original tapers of the tooth,imposing a shape that allows for greater tapered points to be placed,making sure that there is straight-line access,duplicating the original anatomy in larger form,,,,D,
What statement is not true?,relieved stainless steel reamers are used in a 30º handpiece oscillating at 3000-4000 cycles per minute.,relieved stainless steel reamers do not undergo cycle fatigue like those instruments used in rotation,relieved stainless steel reamers must be discarded after one use,relieved stainless steel reamers can be used several times before replacement,,,,C,
