title,Periodontics II Quiz 2 (Spring 2020),perio2,quiz
question,option_a,option_b,option_c,option_d,correct,image
Which of the following is/are a contraindication for Gingivectomy?,Acutely inflamed gingiva,Gingival overgrowth related to medication use,Suprabony pockets,All of the answer choices,A,
When performing Gingivectomy what type of healing occurs?,Connective tissue healing occurs before epithelial healing,Healing occurs more quickly than when performing flap surgery,The site heals by secondary intention,None of the above,C,
The purpose of the Gingivectomy procedure is to gain clinical attachment.,True,False,,,B,
In the Gargiulo (1961) article about “Biologic Width” what was the average width of the Connective Tissue Attachment?,0.97mm,1.07mm,0.69mm,2.04mm,B,
Which of the following is/are an indication for hard tissue (bone) Crown Lengthening?,Caries that does not extend below the gingival margin,Altered Passive Eruption,Crown fracture that extends below the gingival margin but not near the connective tissue attachment,When a patient needs a Crown,B,
Which of the following occurs when Supracrestal Attached Tissues is violated?,Patient will always lose alveolar bone,Epithelial attachment will recede,Patient tends to have acute pain,Patients tend to develop bleeding upon probing,D,
A partial thickness flap does not include Periosteum,True,False,,,A,
What are disadvantages of the Apically Positioned Flap with Osseous Reduction?,Root hypersensitivity,Loss of clinical attachment,Increased risk for caries,All of the above,D,
How many incisions are made when performing a Replaced Flap procedure?,One,Two,Three,Four,C,
Biologic Width is defined as the physiologic dimension of:,Junctional Epithelium and gingival sulcus,Junctional Epithelium and connective tissue attachment,Connective tissue attachment and gingival sulcus,Attachment loss and recession,B,
