title,TMD & Orofacial Pain Final Exam (Spring 2020),tmd,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Is it possible to both snore with the mouth open during some stages of sleep and clench & grind (bruxism) at other stages of sleep within one night’s sleep.,Yes,No,,,,,,A,
Which of the following are true statements?,"There are 4 stages of sleep, Stage 1,2,3 and REM.",Once asleep a person goes through each stage of sleep once in sequence without repeating,,,,,,FILL,
Dreaming occurs in REM stage.,"1, 2","1, 2, 5","1, 3, 5","1, 4 3. Obstructive Sleep Apnea results from: A. The signal to the diaphragm is blocked and there is less stimulus to breathe. B. The muscles of the chest wall are blocked from contracting. C. The pharyngeal muscles contract causing blockage of the airway. ✓D. The airway becomes obstructed 4. The best way to document apnea and its severity, is with: A. Bed partner’s observation of snoring. B. An APP for the phone to record snoring. ✓C. A polysomnogram D. Epworth sleepiness scale 5. The gold standard of treatment for severe sleep apnea is: A. Side sleeping using a positional aid. B. The use of an oral appliance C. Surgery to enlarge airway ✓D. Continuous Positive Airway Pressure",,,,C,
Oral appliances for obstructive sleep disorders are designed to:,Open the mouth allowing more air in.,Decrease clenching.,Increase airway patency,Increase stimulus to breathe.,,,,C,
There are numerous designs for oral appliances to treat sleep apnea. They all share one important element that reduces sleep apnea.,They are all made of acrylic.,They all use a screw mechanism for adjustments,They are all sufficiently thick to allow more air in.,They all advance the mandible forward.,,,,D,
There are numerous potential complications from using an oral appliance for sleep apnea. All of the following are potential complications except:,An increase in arrhythmias,A change in the bite.,Irritation to the temporomandibular joint.,Sore jaw muscles.,,,,A,
"Your patient has severe apnea diagnosed by an overnight sleep study. It is important to know if the oral appliance you just made is effectively reducing the apnea.  After wearing the appliance for 1 week, your patient reports that he still feels tired in the morning, his wife reports that he is snoring a little less, but he feels tired at work.  What do you do?",Refer him for CPAP.,Tell him that he is not a good candidate for an oral appliance.,Suggest that surgical alternatives may need to be considered.,Adjust the oral appliance.,,,,D,
"Your patient has severe apnea diagnosed by an overnight sleep study. It is important to know if the oral appliance you just made is effectively reducing the apnea.  After wearing the appliance for 1 week, your patient reports that he still feels tired in the morning, his wife reports that he is snoring a little less, but he feels tired at work. He has been wearing the oral appliance for 3 months. The appliance is comfortable and he tolerates it well. He still feels tired in the morning, his wife is still complaining of his snoring even though it is a little less, and he still feels tired at work. You have done all that you can by adjusting the appliance. He has reduced his alcohol consumption, but he cannot reduce his weight.  He is still 60 pounds overweight. What do you do?",Refer him to a nutritionist for weight loss.,Refer him back to the sleep physician for further evaluation.,Order a home sleep test,Make a different oral appliance.,,,,B,
A 50-year-old man comes to you because his snoring is disturbing his wife and she cannot sleep. He sleeps in another bedroom. He asks you to make him a sleep appliance to stop the snoring. On the medical history form he lists no medications and no medical problems. He tells you that he is in good health. He appears to be overweight by about 50 pounds. You ask questions regarding his medical history and learn that he has hypertension but has not been compliant with anti-hypertensive medication that has been prescribed. He tells you that he is an engineer for the railroad and drives the Metro North commuter train to NYC. He is going on vacation with his wife in 2 months and they will be sleeping in the same room. His snoring can potentially ruin the whole trip. He asks for your help to make a sleep appliance as soon as possible. You suspect that his snoring is a sign of sleep apnea. Of the following what is the least appropriate recommendation?,Suggest that he lose weight.,Refer him to a sleep medicine physician for an evaluation,Make an oral appliance to control his snoring as requested.,Ask if he is sleepy during the day.,,,,C,
A 50-year-old man comes to you because his snoring is disturbing his wife and she cannot sleep. He sleeps in another bedroom. He asks you to make him a sleep appliance to stop the snoring. On the medical history form he lists no medications and no medical problems. He tells you that he is in good health. He appears to be overweight by about 50 pounds. You ask questions regarding his medical history and learn that he has hypertension but has not been compliant with anti-hypertensive medication that has been prescribed. He tells you that he is an engineer for the railroad and drives the Metro North commuter train to NYC. He is going on vacation with his wife in 2 months and they will be sleeping in the same room. His snoring can potentially ruin the whole trip. He asks for your help to make a sleep appliance as soon as possible. You suspect that his snoring is a sign of sleep apnea. What is the most appropriate recommendation?,Suggest that his wife is a light sleeper.,Make an oral appliance to stop the snoring and help him enjoy his vacation.,Suggest that he sleep on his side instead of his back.,"Explain your concern, educate him about apnea and refer him to a sleep physician for comprehensive evaluation.",,,,D,
