title,Endodontics Quiz 1 (Spring 2020),endo,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
What step(s) is (are) generally not included in making an endodontic diagnosis? a. the dentist asks the patients about their chief complaint b. the dentist asks the patients about previous history and symptoms that made them come to the office c. the dentist performs objective clinical tests d. opening into the pulp to determine its state of health e. the dentist combines the data from objective clinical tests with the subjective findings to reach a tentative differential diagnosis,b,e,d,all the above,,C,
Proper health care forms do not include: a. information on the specific reasons the patients have presented themselves b. previous financial history of the patient's ability to pay for services c. information on their overall health d. psychological evaluation regarding dental care in general e. a general history of past dental treatment,b,d,e,All the above,,A,
SOAP represents the 4 basics prior to treatment: Which letter is incorrectly stated? a. The S stands for noting subjective information b. The O stands for noting objective information c. The A stands for assessment of that information d. The P stands for determining the price of the procedure,a,b,c,d,,D,
What is the best way to see the pulp and surrounding bone? a. chemical based x-rays b. digital x-rays where the contrast and color can be manipulated c. cone beam computed tomography (CBCT) d. ultrasonic imagery e. thermography,a,c,b,e,,B,
What is the most important step prior to treating a medically compromised patient? a. determine what drugs they are on b. determine how long they have been medically compromised c. determine the severity of the condition(s) d. communicate with the patient's physician(s) e. develop an excellent rapport with the patient,a,c,d,e,,C,
"Patient issues the dentist should be aware of before starting treatment include: a. history of allergies and any adverse effects from drugs formally or presently taken b. presence of prothetic valves, joints, stents, pacemakers c. whether antibiotics should be administered prophylactically d. that the patient clots normally e. can have anesthetic with vasoconstrictor f. prone to emergencies like congestive heart failure",f,b,d,all the above,,D,
What is the typical prophylactic dosage of these two antibiotcs prior to treatment? a. 2000 mg of penicillin or amoxicillin one hour prior to treatment b. 600 mg of clindamycin one hour prior to treatment c. 1000 mg of penicillin or amoxicillin at the time of the procedure d. 400 mg clindamycin one hour prior to the procedure,"c,d","a, b","a, c","b,c",,B,
What is not a sign of hypoglycemia? a. confusion b. tremors c. agitation d. skin blotches e. diaphoresis (sweating) f. tachycardia g. peripheral numbness in the hands and legs,a,d,e,f,,B,
The anatomic pulpal configuration along the length of the tooth is best determined by: a. a series of periapical x-rays taken at different horizontal angles b. examining the pulpal floor with a sharp explorer after access has been gained c. staining the pulpal floor with 1% methylene blue d. taking a cbct e. troughing of the anatomical grooves in the floor of the chamber,a,c,b,d,,D,
"When a canal on x-ray disappears halfway down the root, what is the likely cause? a. the canal is calcified at this point and impenetrable b. the natural thinning of the canal in approaching the apical end of the root c. the greater density of the bone obscuring the canal anatomy d. the bifurcation of the canal at the point of disappearance e. the canal is curving to the lingual reducing its exposure to x-rays",a,b,d,e,,C,
Why do canals become narrower over time? a. physiologic aging b. different types of pathosis (advancing decay) c. trauma d. heavy occlusion e. bruxing and clenching,a,b,d,all the above,,D,
What statement regarding the color of dentin is generally not true?,is fairly uniform throughout the length of the tooth,is darker when pulp tissue lies beneath it,is a clue to where to find the underlying pulp tissue,is a guide to where to penetrate deeper in searching for the pulp chamber and canals,,A,
Pulpal anatomy is generally: a. fairly uniform throughout the length of the root b. generally conical in cross section c. wider bucco-lingually than it is mesio-distally d. at times C-shaped with external concavities mirroring that anatomy e. isthmus-like in many instances,"a, b","b, c, d","c, d, e",all the above,,C,
What is not an objective in gaining access to the pulp chamber? a. remove all decay b. remove sound tooth structure to gain straight-line access c. unroof the pulp chamber completely (a conjectural issue today) d. remove all coronal pulp tissue both vital and non-vital e. locate all root canal orifices,a,b,c,d,e,B,
What are the purpose(s) of instrumentation? a. create a space that can be fitted with an equivalently sized point b. debride the canal of pulp tissue and any bacteria associated with it c. make sure that the instruments remain intact d. create a space that is a larger version of the original canal space e. create a space that can be effectively irrigated,"a, d, e","a, c, e","b, d, e",all the above,,C,
"Most pulpal spaces tend to: a. be conical along the entire length of the root b. be significantly wider bucco-lingually plane than it is mesio-distally c. is generally quite wide both mesio-distally and bucco-lingually d. vary little within the groups of anterior, bicuspids and molars","a, b, c","a, c, d",a,b,,D,
What is the single most important endodontic procedure to assure the resolution of a periapical infection? a. a perfect conical shape is imposed throughout the length of the canal b. the pulpal remnants and associated bacteria are removed in both bucco-lingual and mesio-distal plane along the entire length of the root c. a good coronal seal is established in between visits and the final visit d. a piece of cotton is placed in the access cavity to keep out large bits of food from clogging the space e. if the proper medication alone is placed within the confines of the canal,a,b,c,d,e,B,
What is endodontic shaping limited and guided by? a. the internal pulpal anatomy of the root b. an awareness of both the internal and external anatomy of the root c. irrigation along the length of the root d. the imposition of a conical shape along the length of the root e. the ability to place calcium hydroxide within the confines of the root,"a, b, c, d","a, c, d, e","a, b",all the above,,C,
How are endodontic instruments most safely used? a. when they have a series of horizontal flutes along their 16 mm of working length b. when they have a series of vertical flutes along their 16 mm of working length c. when they are used in rotation whether it is continuous or interrupted d. when they are used in short amplitudes of horizontal motion while being pulled in and pushed out of the canal,a,b,c,d,,D,
