title,Practice Management I Final Exam (Spring 2019),pmgmt1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following are used on an insurance form to identify the provider of the service rendered?,The CDT code,The DEA number,The NPI number,The CDS Number,None of the above,C,
What is the best method for receiving detailed information regarding a patients' benefits is?,Reviewing previous claims experience,the personnel office of the employer,from the patient,by requesting a pre-determination of benefits,examining information printed on the insurance card.,D,
When submitting an insurance form after offering a discounted fee to a patient,the regular fee for services are submitted for payment,the PPO fee is submitted for payment,the discounted fee is submitted for payment,the UCR fee is submitted for payment,none of these,C,
The “Birthday Rule”:,Is used to identify the oldest parent,Is used to identify which parent is primary,primary is the insurance that pays the most,A &C are correct,None of the above are correct,B,
If a crown is prepped in December and inserted in January,the claim may be sent in as being performed in December.,the date of service is the date the preparation of the tooth.,the insertion date of the crown in January must be used.,Any treatment date may be used,none of these,C,
Dental Maintenance Organization (DMO) plan,allows a patient to see the Dentist of their choice,the patient may select any PPO Dentist that accepts the plan.,the patient must see a dentist that is contracted under that plan,allows the freedom patient to see only Dentist that accept insurance,none of these,C,
"In regard to insurance submission, a person may be guilty of insurance fraud if","one knowingly makes a false, fraudulent, or misleading statement",omits a material fact from the claim form,both a and b,neither a or b,,C,
Indemnity Insurance Plans are used to represent a Capitation Plan,True,False,,,,B,
For patients who are covered by more than one insurance carrier the dentist should,submit the claim to only one insurance carrier since it is illegal to have two or more insurance benefit plans,submit claims to both insurance carriers without telling either of the two about each other,coordinate the benefits of the primary carrier with the secondary carrier,none of the above,,C,
CDT codes are:,criteria for identifying caries,codes for identifying dental procedures,Uniform criteria for premedication,All of the above,None of the Above,B,
Capitation benefit plans pay the dentist,after the Dentist submits a claim form,based on a sliding scale,a per-person or per-family dollar amount,per Dentist encounter,When the patient sees the Dentist,C,
A deductible is,paid by the patient,a fee that must be collected,many times an annual fee,occurs in many indemnity plans,All of the above,E,
The sole proprietorship,can occur when the dentist practices alone,is the easiest method that an individual can operate,occurs if you have not formed any business entity,has significant liability associated with it,All of the above,E,
In a sole proprietorship legitimate business expenses are deductible.,True,False,,,,A,
The term LLC stands for,Lifetime Location Company,Limited Liability Corporation,Laser Lighting Corporation,None of the above,,B,
There is no business structure that will protect a dentist from dental malpractice.,True,False,,,,A,
In order to be considered an independent contractor what factors must be considered:,Control over when the person works,Written contracts,Control over financial aspects of the business,All of the above,None of the above,D,
Insurance claim forms do not have to reflect discounts given to patients.,True,False,,,,B,
"In a court judgement of a case not involving dental malpractice, the shareholders of the s corp. only stand to loose their investment.",True,False,,,,A,
Falsification of dental insurance claims is considered a criminal offense.,True,False,,,,A,
The average retirement age for a dentist in 2019.,72.9,63.9,69.8,68.9,None of the above,D,
Musculoskeletal is the leading cause of disability among dentists.,True,False,,,,A,
Serving or working in this institution allows you to provide dental services to the less fortunate without you worrying about the business aspects of the clinic.,Local and State Government,Community Health Clinics,Federal Services,Corporate Practice,All of the above,B,
What factor(s)  should be considered when negotiating space for a dental practice?,Long term options,Renew at a fixed rate,Right of first refusal,Exclusion of competion,All of the above,E,
A dentist working in the federal service can retire after 25 years.,True,False,,,,A,
