title,Oral Surgery II Final Exam (Fall 2021),osii,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_k,option_l,option_m,option_n,correct,image
Which of the following statements is TRUE?,"When performing orthognathic surgery, the starting point for establishing the proper positioning of the jaws is the maxillary central incisor.",The goal of orthodontic treatment prior to orthognathic surgery is to align the maxillary and mandibular teeth relative to each other.,Skeletal changes effected with orthognathic surgery will not result in changes in the appearance of the patient’s face.,The sagittal split osteotomy is an example of a maxillary osteotomy technique.,"Due to the location of the surgical cuts, the LeFort I osteotomy carries a higher risk of damage to the inferior alveolar nerve than the LeFort III osteotomy and this risk increases with the age of the patient.",,,,,,,,,,A,
Consider the diagram below: Which of the following surgical procedures does this represent:,Genioplasty.,Sagittal split osteotopmy.,Vertical ramus osteotomy.,LeFort osteotomy.,Zygoma implant.,,,,,,,,,,A,images/osii-final-fall-2021/fig2.png
Consider the two diagrams below. I. II. Which of the following statements is TRUE?,The procedure represented in I carries a higher risk to the inferior alveolar nerve than the procedure represented in II.,The procedure represented in II carries a higher risk to the inferior alveolar nerve than the procedure represented in I.,The procedures represented in I and II carry equal risk to the inferior alveolar nerve.,"If the inferior alveolar nerve is injured in either of these procedures, paralysis of the lower lip may result.",Either of these procedures can result in injury to all branches of the facial nerve.,,,,,,,,,,B,images/osii-final-fall-2021/fig3.jpeg
The photograph shown here demonstrates the changes that occur in a person’s face as they age: Consider the following conditions/occurrences: I. Ptosis or drooping of facial structures such as the brows. II. Increase in wrinkles. III. Periorbital tissues appear to hollow out. IV. Upper and lower eyelid orbital fat pads become more prominent. V. Jowls increase. VI. Bone atrophies. Which of the following answers include all of the above facial changes that occur with aging?,"I, II, III, IV, V, VI.","I, II, V, VI.","II, III, IV, V, VI.","I, III, IV, V, VI.","I, II, III, IV, V.",,,,,,,,,,A,images/osii-final-fall-2021/fig4.jpeg
Which of the following statements is FALSE?,"The upper third of the nose is bone, and the middle third or vault and the lower third or tip are cartilage.",Septal extension grafts can be used to elongate the nose in a simple rhinoplasty procedure that reliably achieves good results.,The amount of skin to remove during a transcutaneous upper eyelid blepharoplasty is calculated so that the patient will be able to close their eye properly after the procedure.,Lower eyelid blepharoplasty involves removal of fat from each of the three fat pads in the lower lid.,Maxillofacial surgery improves appearance and facial aesthetic surgery restores appearance.,,,,,,,,,,B,
"During facelift procedures, methylene blue dye can be injected through Stensen’s duct into the parotid gland. This enables the surgeon to clearly determine the extent and outline of the parotid gland as shown in this photograph: Which of the following statements is TRUE?",Dissecting superior to the parotidomasseteric fascia creates a safe plane because the branches of the facial nerve are buried deep within the middle of the parotid gland.,It is safest to perform blunt dissection at the anterior border of the parotid gland because the facial nerve remains deep in this location.,"The branches of the facial nerve in this region include the temporal, zygomatic, buccal, marginal mandibular, mental, and cervical branches.","If the facial nerve branches are damaged, the patient will lose sensation along the distribution of these nerves.",Sharp dissection is preferred over blunt dissection in the area of the facial nerve branches so the surgeon can work more precisely to protect the nerves.,,,,,,,,,,A,images/osii-final-fall-2021/fig6.jpeg
Which of the following statements is TRUE?,"If a patient who requires 12 weeks of chemotherapy has a normal platelet count after the first week of therapy, there is no reason to expect the platelet count to change along the course of chemotherapy.","If a patient’s platelet count decreases during chemotherapy, it is unlikely it will return to normal levels at any time after the chemotherapy is finished.",Both bone marrow and liver problems can cause issues with platelets.,"Normal platelet counts are between 50,000 - 400,000 per microliter.","For urgent oral surgical procedures, a minimum of 25,000 platelets per microliter is recommended.",,,,,,,,,,C,
Which of the following statements is FALSE?,The lifespan of a white blood cell is approximately 13 - 20 days.,"Normal white blood cell count is 4,500 – 11,000 per microliter.",White blood cells are produced in the bone marrow.,Low levels of white blood cells make patients more susceptible to infection.,Patients with very low white blood cell counts may develop severe infections which result in copious quantities of purulence.,,,,,,,,,,E,
Which of the following statements is/are TRUE?,"The clinical effects of radiation include “the 3Hs” – hypocellularity, hypovascularity, and hypoxia.","Radiation mucositis symptoms include diffuse erythema, ulceration, and exudate and often last approximately 2 months.",Xerostomia may result from radiation therapy which damages the minor salivary glands but spares the major salivary glands.,Oral surgical treatment should be completed on irradiated patients within 2 months of completing radiation as long-term effects of radiation take place after this time.,Hyperbaric oxygen should be repeated if oral surgery becomes necessary more than 6 months after the hyperbaric oxygen regimen was originally performed.,,,,,,,,,,A,
A patient presents to your office after they tripped and fell. Consider this list of findings: I. Nasal fracture. II. Laceration at the inferior aspect of their chin. III. Score of 9 on the Glasgow Trauma Scale. IV. Deviation on opening. V. Paresthesia along entire distribution of the first division of the trigeminal nerve. VI. Preauricular edema or ecchymosis. VII. Paresthesia along entire distribution of the second division of the trigeminal nerve.. VIII. Anterior open bite. IX. Limitation of extraocular movements. X. Septal hematoma. XI. Double vision. XII. Dizziness and amnesia. Which choice below includes ALL findings from the above list that should make you suspicious that the patient may have sustained a condylar or subcondylar mandible fracture?,"II, IV, VI, VIII.","I, III, V, VII, IX, X, XI, XII.","II, IV, V, VI, VIII.","II, IV, VIII.","II, IV, VIII, IX.",,,,,,,,,,A,
Identify the type of mandible fracture at each of these arrows.,Condylar.,Symphysis.,Subcondylar.,Body.,Angle.,Ramus.,Coronoid process. Maxillary Zygomatic. Orbital floor. Ramus.,,,,,,,,G,images/osii-final-fall-2021/fig11.jpeg
Identify the type of fracture seen in each of these diagrams.,Le Fort I,Le Fort 2,Le Fort 3,,,,,,,,,,,,C,images/osii-final-fall-2021/fig12.jpeg
Which of the following statements regarding patients with clefts is FALSE?,Lip repair is generally performed at 3 – 6 months of age.,Palate repair is generally performed at 7 – 9 months of age.,Ear tubes are generally performed at 7 – 9 months of age.,Speech surgery is generally performed at 5 years of age.,Alveolar bone graft is generally performed at 10 -13 years of age.,Midface advancement is generally performed after 14 years of age.,Nose lip revisions are generally performed after 14 years of age.,,,,,,,,E,
Which of the following statements is FALSE?,Alveolar bone grafting can interfere with the eruption of teeth bordering the cleft.,Alveolar bone grafting provides support to the alar base and nasal floor.,Alveolar bone grafting provides periodontal support to the teeth bordering the cleft.,Alveolar bone grafting does not facilitate closure of the oro-nasal fistula.,There is no significant difference between the results obtained when alveolar bone grafting is done with autogenous hip bone or BMP (bone morphogenetic protein).,,,,,,,,,,A,
Which of the following statements is FALSE?,The external face is generally completely formed by the sixth to seventh week of fetal development.,The primary palate is generally completely formed by the sixth to seventh week of fetal development.,The secondary palate is generally completely formed by the eighth to ninth week of fetal development.,The pharyngeal arches are generally completely formed by the tenth to eleventh week of fetal development.,The soft palate is generally completely formed by the twelfth to thirteenth week of fetal development.,,,,,,,,,,D,
Which of the following dysrhythmias is considered an INTERMEDIATE RISK dysrhythmia?,AF - atrial fibrillation.,PAC’s – premature atrial contractions.,Sinus bradycardia in young individuals.,Asymptomatic ectopic beats.,1st or 2nd degree AV block.,,,,,,,,,,E,
