title,Oral Diagnosis & Oral Medicine Final Exam (Summer 2021),oralmed,
question,option_a,option_b,option_c,option_d,option_e,correct,image
"According to the assigned reading from the course, patients with unstable or progressive angina:",Are not candidates for elective dental care.,Are good candidates for all comprehensive care.,Are good candidates for all comprehensive care as long as vasoconstrictors are not utilized.,Are good candidates for elective scaling and root planing only.,,A,
"According to the assigned reading, each of the following places the patient at risk for osteonecrosis of the jaw, EXCEPT one.  Which one is the EXCEPTION?",Chemotherapy.,Bisphosphonate therapy.,"Radiation treatment to the head, neck, or jaw.",,,A,
Which of the following local anesthetic formulations would be most appropriate at Touro Dental Health for patients taking digitalis?,1% diphenhydramine,2% lidocaine with 1:100k epinephrine,2% lidocaine with 1:50k epinephrine,3% carbocaine,,D,
Type I hypersensitivities are mediated by:,IgE,IgM,IgG,IgA,,A,
Predictable reactions based on known pharmacological toxic properties of a drug are considered:,Type A drug reactions,Type B drug reactions,Type C drug reactions,Type D drug reactions,,A,
How is methemoglobinemia managed?,Methylene blue,Toludene blue,Acetaminophen blue,None of the provided answers,,A,
Which local anesthetic should you recommend an allergist test on a patient for which you are concerned about a possible true allergy to local anesthetic?,"3% mepivocaine, plain","4% septocaine with 1:100,000 epinephrine","2% lidocaine with 1:100,000 epinephrine","3% mepivocaine with 1:100,000 epinephrine",,A,
True or False: Burning mouth syndrome only affects peri- and post-menopausal women,True,False,,,,B,
Which of the following represents the etiology of burning mouth syndrome?,None of the options,Vitamin deficiency,History of trauma to the tongue,Candidal overgrowth,Allergic reaction,A,
Which is true of the following statements: Statement 1: Nociceptive pain is related to a noxious insult. Statement 2: Neuropathic pain is generated and maintained by the nervous system,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
The inflammatory infiltrate in lichen planus is primarily composed of:,Lymphocytes,Eosinophils,Neutrophils,Plasma cells,,A,
"True or False: according to the assigned reading, DOACs (rivaroxaban, apixaban, dabigatran, edoxaban) are now the preferred agents in those with nonvalvular atrial fibrillation",True,False,,,,A,
Which local anesthetic has the greatest cardiac risk?,Lidocaine,Mepivicaine,Articaine,Bupivacaine,,D,
Which of the following is a possible symptom of opiod withdrawal?,Lethargy,Respiratory depression,Diarrhea,Sedation,,C,
Which of the following conditions could be treated by a medication that causes medication-related hyperpigmentation?,Gout,Yeast infection,Leukemia,Hypertension,Hyperlipidemia,C,
Which is true of the following statements: Statement 1: Mucosal melanoma has a better prognosis than melanoma of the skin. Statement 2: Mucosal melanoma most often occurs on the palatal mucosa and maxillary gingiva,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Which of the following is considered a “benign fibro-osseous lesion”,Peripheral giant cell granuloma,Fibrous dysplasia,Osteoma,Osseous choristoma,Osteosarcoma,B,
