title,Oral & Maxillofacial Surgery Instrument Quiz (Spring 2019),omfs,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements is correct?,Picture 1 shows a hemostat and Picture 2 shows a needle holder,Picture 1 shows a needle holder and Picture 2 shows a hemostat,Pictures 1 and 2 both show a needle holder,Pictures 1 and 2 both show a hemostat,,A,images/omfs-quiz-spring-2019/fig1.jpeg
Which of the following pictures shows a properly positioned throat screen?,A,B,C,D,,D,images/omfs-quiz-spring-2019/fig2.jpeg
Which of the following pictures shows a forceps being used properly (Please do not include hand position in your evaluation)?,A,B,C,,,C,images/omfs-quiz-spring-2019/fig3.jpeg
Which of the following instruments is labeled correctly?,A,B,C,D,,C,images/omfs-quiz-spring-2019/fig4.jpeg
Which of the following instruments is a seldin retractor?,A,B,C,D,,B,images/omfs-quiz-spring-2019/fig5.jpeg
"Which of the following set-ups shows instruments arranged in the expected order of use during an extraction? (You may need to use additional instruments beyond those shown, but select the correct order for the instruments shown here.)",A,B,C,D,,D,images/omfs-quiz-spring-2019/fig6.jpeg
Which of the following instruments is a 301?,A,B,C,D,E,C,images/omfs-quiz-spring-2019/fig7.jpeg
"The instrument pictured here is the best instrument to grasp, luxate and deliver a tooth that is being extracted.",True,False,,,,B,images/omfs-quiz-spring-2019/fig8.jpeg
The instrument pictured here is utilized to loosen a tooth that is being extracted by pushing against an adjacent tooth.,True,False,,,,B,images/omfs-quiz-spring-2019/fig9.jpeg
Which of the following photographs is the most accurate depiction of how a cow horn forceps engages a tooth during an extraction?,A,B,C,D,,D,images/omfs-quiz-spring-2019/fig10.jpeg
(BONUS QUESTION - 0 Point) Which of the following is pictured here?,2 Premolars,2 Molars,2 Canines,2 Incisors,,C,images/omfs-quiz-spring-2019/fig11.jpeg
