title,PCOD II Midterm Exam (Spring 2022),pcod2,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
"When taking a summative, your anonymous number is",Synonymous with your seat number,Can be found on canvas the day before,All of the above,None of the above,,D,
You are about to take a summative #19 MOD and you notice #20 has a significant nick on it. The summative did not yet start. What should you do?,Tell Dr. Erdfarb,Tell your row instructor,Go to the dispensary and get a new #20 to replace the nicked one,Leave #20 the way it is,,C,
You cut your finger in the middle of a summative. You are bleeding but there is only 30 minutes left to the summative. What is the first thing you should do?,Tell your row instructor,Finish the summative and take care of the issue afterwards,Rinse off your finger and get back to the summative,Report the incident to Health Services,,A,
You are absent for simlab. What should you do?,Email Dr. Erdfarb letting her know you were not here,"You are an adult, and can decide not to come whenever you want",Lab is optional. As long as the work is done missing lab is no big deal,You are never allowed to be absent since simlab is mandatory,,A,
You are looking at a radiograph of the patient's upper left quadrant. #13 and #14 have decay. #14 has a large MOD and #13 has decay that just passed D1. Which do you restore first?,"Only restore #14, we do not do operative on D1 lesions","Restore #14 first, followed by #13","Restore #13, followed by #14",There is no difference which you restore first.,,C,
You are looking at a radiograph of the patient's lower right quadrant. The first molar has a large MOD decay. The second molar has a small MO. Which do you prepare first?,"Prepare #30 first, and #31 second","Prepare #31 first, and #30 second","Prepare #18 first, and #19 second","Prepare #19 first, #18 second",,A,
Sam was born with Cerebral Palsy and lives in a group home and relies on access-a-ride to get to his doctor appointments. Sammy would benefit from,Doing one restoration at a time,Doing more than one restoration at a time,Full mouth of crowns,Ignoring his medical and dental needs,,B,
Quadrant dentistry is beneficial for,The provider,The patient,Both,"Neither, there is no real benefit",,C,
"I prepared two teeth, #5 DO and #4 MO, the preparations are equal in size, which should I restore first?",#4,#5,Restore both at the same time,Doesn't matter since they are equal in size,,A,
You have prepared a large MO on #18 and a slot preparation DO on #19. When restoring which band would you burnish?,The band around #19 DO,The band around #18 MO,Both,Neither,,B,
Where are bases placed in a cavity preparation?,Cementoenamel Junction,External Walls,Exposed Enamel,Internal Walls,,D,
"In TCDM, when starting a cavity preparation, we always start with",Chasing decay,An Ideal prep,A slot prep,None of the above,,B,
Which statement is true:,Round burs are to be used in your high speed hand piece,You can use a spoon excavator to create your outline and convenience form,The edges of a spoon excavator are sharp,"The smaller the spoon excavator used, the less potential to reach the pulp",,C,
"After finishing an MOD cavity preparation, you realized there were only 10 minutes left to the clinic session. The best option for your patient would be:",Place an IRM and have them return to place a composite tomorrow,Place a glass ionomer and have them return to place a composite tomorrow,Quickly to a composite with a clear matrix band since it will cure quickly,Leave the preparation open and that way it will be easy access when the patient returns for the permanent restoration,,B,
Which statement is true?,A spoon excavator can be used for removal of deep decay in place of a rotary instrument,A base can be used as thin as .5mm thick over the existing liner because of its great crushing strength.,"In a very deep cavity, the thicker the liner the easier it is for the pulp to regenerate",Once you get deeper towards the pulp you should use the tip of the explorer to check how far you are from the pulp,,A,
"When mixing IRM it becomes very crumbly, what is my next step?",Throw out the IRM and begin again,Add more powder,Add more liquid,Look at the expiration date and make sure it is not expired,,C,
Which dental materials promotes the formation of secondary dentin.,Calcium hydroxide,IRM,Composites,Amalgam,Two of the above,A,
The following are functions of a base except,Formation of tertiary dentin,A thermal insulator,Keeps a liner from being crushed during condensation,Is placed on a tooth in a thicker layer than a liner,,A,
Calcium Hydroxide liner is a frequently used liner because it:,Stimulates production of secondary dentin,Can be used with only composite resin material,Acts as a base as well as a liner,Does not require the use of a filling material.,,A,
Desensitizers used to prevent hypersensitivity should be used,In large amounts,In contact with soft tissue,To seal all affected dentinal tubules,All of the above are correct,,C,
The elapsed time from the start of mixing a material to the point at which the consistency of the material is no longer suitable is called:,Setting time,Working time,Distortion time,Mixing time,,B,
The following can affect the setting time of a material,The temperature,The humidity,The powder to liquid ratio,All of the above,,D,
"Mrs. Sugarman has a lot of cavities. You begin her treatment plan with a large Class V on #11. You excavate the cavity beautifully, and you choose to restore with Glass ionomer. Which statement is TRUE?","You cannot restore with Glass Ionomer, since Glass Ionomer is only a temporary restorative material",Glass ionomer only comes in one color and would not be esthetic.,Glass Ionomer can be beneficial to my patient because of its ability to release fluoride,Glass Ionomer cannot be used in a class V restoration because it has poor wear resistance,More than one answer is TRUE,C,
There is research to support leaving infected dentin at,The cavosurface margin,The axial wall,The pulpal floor,B and C,You can never leave infected dentin,D,
Caries detector is a good learning tool because,It allows you to see the difference between infected and affected dentin,It works only on the cavosurface margin,It helps identity where there may be remaining decay,Allows you to scan the tooth for tooth decay with a LED light,,C,
Glass Ionomer is _______ than composite,Softer,Harder,Less esthetic,A and C,,A,
A Resin Modified Glass Ionomer sets by,Chemical Cure,Light Cure,Mechanical Retention only,More than one answer is correct,,D,
In a selective etch technique how long do you etch for?,10 seconds,15 seconds,20 seconds,30 seconds,,D,
"You have prepared a Class II preparation, you choose to selectively etch. That means you are etching the following:",The entire cavosurface margin,Only the occlusal portion of the cavosurface margin,The entire preparation,Only the internal walls of the preparation,,A,
Partial Caries Removal is when,You leave affected dentin behind,You leave infected dentin behind,Is detrimental and should not be done,Has been proven to be an elective treatment option for permanent teeth with deep carious lesions,More than one answer is correct,E,
Which statement is FALSE?,It is challenging to use multiple tofflemire bands in a quadrant at a single time,A flat unburnished tofflemire band will produce proper anatomy,Using a tofflemire can sometimes compromise visibility,Incomplete curing can be complication of using a metal matrix band,,B,
A Pro-Matrix system,Is not specific to a single quadrant,Is inexpensive,Can be sterilized and used time and time again,Allows for easy anatomical contact between teeth,,A,
Timmy is a 5 year old patient w a DO on #B. In order to restore his tooth I may use:,A denovo band,A curved tofflemire,An automatrix system,The Palodent system,,A,
The following system uses a ring to help separate the teeth to ensure good contact:,Denovo Matrix System,Palodent System,Bioclear system,Automatrix System,,B,
A slot preparation is indicated if there is decay only on the _____ surface of the tooth and there is no clinical or radiographic decay on the ______,"Proximal, occlusal","Occlusal, proximal","Facial, proximal","Occlusal, lingual",,A,
Dovetail is used,In all preparations,For added retention,Only in Class I minimally invasive preparations,In crown preparations only,,B,
"When you are placing a Retention Groove in a proximal box, the retention groove can be located at",The axiopulpal line angle,The axiolingual line angle,The axiogingigival line angle,None of the above,,B,
Convenience form of a Class II amalgam slot preparation indicates the need to access the interproximal caries from the ____ making it a Class II preparation,Occlusal surface,Mesial surface,Distal surface,Buccal surface,,A,
The following preparations include a pulpal floor EXCEPT:,Class II conventional composite preparation,Class II conventional amalgam preparation,Class II slot preparation,Class I slot preparation,,C,
The difference between a retention groove and a dovetail is,A dovetail is only on the occlusal 1/3,Retention grooves are only used with composite,Dovetails are only used in composites,A and C,,A,
