title,Preclinical Pediatric Dentistry Exam 2 (Spring 2020),pedo,exam2
question,option_a,option_b,option_c,option_d,correct,image
Primary herpetic gingivostomatitis,Is self limiting,Can be treated with acyclovir in the prodromal period,Should be treated palliatively,All of the above,D,
The white spots surrounded by a red ring inside the mouth found during measles is called:,Hand Foot Mouth disease,Koplik Spots,Angular Chelitis,Candidiasis,B,
Herpangina can be differentiated from herpes by:,The location of the ulcers,One is a virus and one is bacterial,The type of palliative care given,"The associated fever, malaise and lymphadenopathy",A,
The treatment of choice for a dentoalveolar abscess on a primary molar:,Pulpotomy,Pulpectomy,Extraction,SDF,C,
Magic mouthwash,Should be given to all children with a toothache,"Is a mix of benzocaine, Benadryl and maalox","May be swabbed into a child’s mouth, as needed",Is swallowed for analgesia,C,
All of the following are true about canine space infections except:,Should be treated with PO antibiotic only,May require a visit to the emergency room,Will likely require an extraction,Can cause swelling of the lower eyelid,A,
Coronal pulp amputation of a primary tooth is called:,Pulpectomy,Pulpotomy,Apexification,Apexogenesis,B,
Apexogenesis,Is performed on primary and permanent teeth,Is performed on primary teeth only,Is performed on all permanent teeth,Is performed on developing permanent teeth,D,
All of the following materials can be used for primary tooth pulpotomy except,Formocresol,Gutta Percha,Ferric Sulfate,MTA,B,
An indication for a primary tooth pulpectomy is:,Any vital primary tooth with decay extending to the pulp,Necrotic primary second molar at dental age of 4,Necrotic primary first molar at dental age of 6,A nonrestorable primary second molar at dental age of 5,B,
All of the following are features of MTA except,High biocompatibility,May cause discoloration,Induces dentin bridging.,Has a lower success rate than formocresol,D,
When a patient with no drug allergy presents with a dental abscess:,He should be sent to the emergency room,He should be given a prescription for Amoxicillin,He should be given a prescription for Clindamycin,He should be told to come back at the first available appointment,B,
The correct dose for SBE prophylaxis for a child with no known drug allergy is:,20-40 mg/kg 30-60 minutes prior to procedure,25-45 mg/kg 30-60 minutes prior to procedure,50 mg/kg 30-60 minutes prior to procedure,2g 30-60 minutes prior to procedure,C,
All of the following data should be included on a prescription except:,Name of drug,Doctor’s name,Patient’s name,Mother’s name,D,
Preventive Resin Restorations,Usually do not require local anesthesia,Are indicated for interproximal caries,Usually do not require etchant,Requires beveling of the occlusal surface,A,
All of the following are steps in Preventive Resin Restorations except:,Isolation,Pumice,Use a 556 bur to prep,Bond,C,
A restoration that integrates prevention with the restoration of incipient caries with composite resin on the same occlusal surface is:,Class I restoration,Class V restoration,Preventive Resin Restoration,Sealant,C,
According to the AAPD guidelines on pediatric Restorative Dentistry:,Caries is a definite progressive disease,Caries always requires surgical and restorative intervention,Caries can sometimes be managed with preventive services,Amalgam should not be used to restore primary teeth,C,
Which of the following is true about resin celluloid crowns:,Also called stainless steel crown,Also called strip crowns,Also called compomers,Also called zirconia crowns,B,
How many milligrams of fluoride are there in one drop of 38%silver diamine fluoride?,38mg,2.24 mg,5.65 mg,11.3 mg,B,
Which of the following are considered key candidates for the use of SDF?,Patients with high risk for caries,Patients who cannot tolerate standard treatment for medical or psychological reasons,Patients without access to regular care,All of the above,D,
All the following are actions of SDF EXCEPT:,Arrest dental caries,Increase dentinal solubility,Prevents dental caries,Decreases dentinal hypersensitivity,B,
Which of the following is true concerning the recommended use of Buckley’s formocresol for pulpotomy procedures on primary teeth?,A cotton pellet moistened with formocresol and blotted on sterile gauze to remove the excess is placed in contact with pulp stumps and is allowed to remain for 5 minutes,A cotton pellet moistened with formocresol and blotted on sterile gauze to remove the excess is sealed in the tooth and allowed to remain for 2 weeks.,Buckley’s formocresol is mixed with ZOE,Buckley’s formocresol is used for permanent rather than primary teeth,A,
Which of the following statements is true concerning pulp testing in primary teeth?,The value of the electric pulp test in determining the condition of the pulp in primary teeth is questionable,The test provides reliable evidence of the degree of inflammation in the pulp,Thermal pulp testing is more reliable than electric pulp testing for young children,Use of laser Doppler flowmeter and transmitted light photoplethysmography are more invasive than electric pulp testing,A,
Which of the following antiviral agents has been successfully used in infants and children for treatment of acute herpetic gingivostomatitis,Acyclovir (Zoviraz),Famciclovier (Famvir),Valacyclovir (Valtrex),Dyclonine hydrochloride (Dyclone),A,
A(n)__________ is a fluid filled swelling on the floor of the mouth that may elevate the tongue.,Mucocele,Ranula,Eruption Hematoma,Apthous ulcer,B,
The _________ technique is used to manage the restoration of non-pulpally involved teeth with a stainless steel crown without caries removal,Hall,SMART,Fluoride,Apexification,A,
The prescription for recurrent herpes lesions is:,Acyclovir 2g bid for 1 day,Acyclovir 1g bid for 2 days,Valacyclovir 1g bid for 2 days,Valcyclovir 2g bid for 1 day,D,
Which of the following materials is often used as a protective liner:,Compomer,Calcium Hydroxide (lime-lite),Resin infiltrate,MTA,B,
All of the following is true of PRR except:,They are for enamel only lesions,Used when there is no radiographic evidence of decay,Restored with sealant over the restoration,Cure bond and composite together in one step rather than separately,D,
All of the following are appropriate questions to ask a patient who presents in pain except:,What’s your fluoride status?,Does anything make the pain better or worse?,Have you taken anything for the pain?,Any allergies?,A,
All of the following are adverse effects of SDF except:,Black stain of the teeth,Metallic taste,Painful during application,Possible mucosal irritation,C,
The recommended limit of SDF is equal to:,1 drop of SDF per 22 kgs body weight per treatment visit,1 drop of SDF per 10 kgs of body weight per treatment visit,1 drop of SDF per 4.5 kgs of body weight per treatment visit,1 drop of SDF per 1kg of body weight per treatment visit,B,
38% SDF solution is comprised of the following:,"5%solvent,25%remineraliztion factor,8% antimicrobial factor","8% solvent,5% remineralization factor,25% antimicrobial factor","5% solvent,8% remineralization factor,25%antimicrobial factor","8%solvent,25%remineraliztion factor,5%antimicrobial factor",B,
The restorative material of choice used for the SMART technique is:,composite resin,IRM,Glass ionomer,Fluoride varnish,C,
A mucocele:,is neoplastic in origin,has never been reported at birth,is treated by marsupialization,may drain spontaneously,D,
Which of the following is used to control thrush:,Triamcinolone acetonide (Kenalog in Orabase),Nystatin (Mycostatin),Phenytoin (Dilantin),Ascorbic Acid,B,
Which of the following is true concerning tooth preparation for an incipient class I (enamel only) lesion in a 3 year old child?,A papoose board should be used to restrain the child in the dental chair,A rubber dam and local anesthetic are utilized,A no. 556 or no. 557 bur is used to open the decayed area,The cavosurface margin is extended only to the extent of the caries lesion,D,
