title,Intro to Clinical Dentistry Final Exam (Spring 2019),icd,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Clinic protocol for local anesthesia demands that,caution be taken when recapping needles,only how many carpules of anesthesia was delivered is recorded,Prior to local anesthesia the student declares to the instructor the type of injections,a &c,,,D,
Glass ionomer bases have the following property or properties,Releases calcium over time,can be an irritant to the pulpc has a low compressive strength,none of the above,,,,B,
Current protocol for intake includes,intake exam occurs in each clinic,a comprehensive oral exam is done on the intake visit,treatment planning is completed for simple cases,All of the above,,,D,
the goal of SCRP is to,remove subgingival calculus,shrink pocket depth,be an initial step to periodontal surgery,All of the choices are the goals of SCRP,,,D,
You have just completed presenting a comprehensive treatment plan to a patient. The plan is to fabricate an RPD. The first visit will be a general prophylaxis OHI etc. What additional procedure should you add on to prepare for the next visit the start of the RPD,Final impression,bite registration,Study models,Border Molding,,,C,
Indicate the correct materials needed for the first visit for the RPD production,Record bases with wax rims,custom tray,bite registration impression material,RPD design,b and d,a and c,E,
For a ceramic crown on tooth #19 you must always send to the lab,Preliminary Impressions used for your provisional,Bite registration,Photos,fee charged,,,B,
"regarding a direct operative procedure, the initial prep is",an ideal prep,a prep with the removal of all decay,not a step that needs to be approved by an instructor,,,,A,
"RX Sample- please return veneers teeth #6-#11 final shade B1 enclosed, final impression counter model, Photos of patient full face. Rounded distal angle on incisors muted cusp on canine Return by 6-11 Q. What necessary information is not on this RX?",Patient's Social Security Number,Choice of material for veneers,Size of veneers,amount of reduction done to teeth.,All of the above,,B,
The purpose of a Clinic Protocol is,Have a defined evidence based method of treating a patient that is uniformed for both students and faculty,to be able to grade a student,it is a requirement of the ADA,None of the above,,,A,
the methods to record and send to the dental lab implant position and orientation so they can fabricate a restoration include all except,Open tray final impression,Closed tray final Impression,Scan Body trios scan,digital photos,None of theses choices,,D,
"Treatment note for decay into the pulp tooth #9. first visitPatient presented to clinic for treatment of decay #9 lingual. Placed 20% benzocaine topical gel on buccal of #9 then injected 36 mg lidocaine and 018 mg of epinephrine using infiltration techniques with a 30 gauge short needle, Excavated decay which communicated with the pulp as expected. Defined access prep performed a pulpectomy. initial WL 24 mm from incisal edge. Instrumented to #25 Safesider instrument using NaOCl as irrigant. Placed cotton pellet in canal and temporary restoration to seal access.",Which of the following information is required yet missing from this note?,Number of carpules of anesthesia administered,Speed of motorized instrumentation,length of appointment,None of the above,,E,
"Patient presented to clinic for treatment of decay #9 lingual. Placed 20% benzocaine topical gel on buccal of #9 then injected 36 mg lidocaine and 018 mg of epinephrine using infiltration techniques with a 30 gauge short needle, Excavated decay which communicated with the pulp as expected. Used caries detector to ensure all decay removal. Defined access prep performed a pulpectomy. initial WL 24 mm from incisal edge. Instrumented to #25 Safesider instrument using NaOCl as irrigant. Placed cotton pellet in canal and temporary restoration to seal access.",During the treatment an endodontic file was broken in the canal. You had easily managed to remove the broken file without any damage to the tooth and was able to continue treatment. Is it required to add that to the treatment note?,Yes,No,,,,B,
The proper dosage of amoxicillin for antibiotic prophylaxis is,2000 mg I hr. before treatment,2000 mg 6 hrs. before treatment,500 mg I hr. before treatment,500 mg 6 hrs. before treatment,,,A,
the attributes of a secondary treatment plan include,fulfilling most of the patients' treatment goals,restoring the dentition using methods that differ from the primary treatment plan,additional treatments not in the primary treatment plan,a and b,,,D,
TCDM Formative and Summative Clinical Rubrics differ in:,Formatives have three achievement level columns while summative have two achievement level columns,Summative have three achievement level columns while Formatives have two achievement level columns,The criteria for each one are different,B and C,There is no difference between them,,A,
The World Health Organization Recommends Respiratory and Cough etiquette to prevent disease transmission to include,Spatial separation for patients with respiratory symptom,Refusing to treat patients that exhibit respiratory symptoms,Placing gloves gowns and masks on patients that exhibit respiratory symptoms,No special treatment of patients with respiratory symptoms,,,A,
Diagnosis Codes in dentistry,Are needed to properly bill insurance companies,Are used to accurately describe the condition being treated by the attached procedure,Are used as a method of assessing the ability of a student to understand a condition and what procedure is used to treat that condition,B and C,All of the above,,D,
A patient with severe systemic disease that debilitates them is classified as a,ASA I,ASA II,ASA III,ASA IV,,,C,
Statement #1: a patient taking at least 10mg of cortisol daily for 2 weeks during the last year is at risk for acute adrenal insufficiency. Statement #2: exogenous steroid medications can enhance normal release of endogenous glucocorticoids in amounts necessary for the body when stressed with a surgical procedure.,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,D,
The most versitile radiographic data for a general dentist to use for detecting and diagnosing a variety of conditions is,A full mouth series,A panoramic radiograph,A cone beam computer tomography,a cephalemtric series,,,A,
"For antibiotic prophylaxis, the antibiotic of choice for a patient that is allergic to pennicillin is",Erythromycin,Clindamycin,Vancomycin,Cephalexin,,,B,
Centric relation and certric occlusion are interchangable terms,True,False,,,,,B,
Occlusal equilibration should be done on every patient on a routine basis,True,False,,,,,B,
"In a stable occlussion, when the mandible goes into protrussive movement along the anterior teeth, the posterior teeth should",Completely Disclude,Have no more than 2 points of contact,have group contact,None of the above,,,A,
"In a stable occlusion, When an occlusion goes into a lateral movement, the teeth on the non working side should",Occlude,Disclude,have 2 points of contact,None of the above,,,B,
