title,PCOD I Midterm Exam (Fall 2022),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Statement 1: There is 4% more mercury in amalgam capsules than needed. Statement 2: It is removed when a patient eats.,Both the first and second statement is true,Both the first and second statement is false,"The first statement is true, and the second statement is false","The first statement is false, and the second statement is true",,,,,C,
Which of the following are considered amalgams?,Tin-Mercury,Copper-Mercury,Silver-Mercury,Gold-Mercury,All of the above,,,,E,
Which is a disadvantage of using Amalgam as a restorative material,Shrinking when setting,It is esthetic,Can withstand pressure and wear,Easy to use,Has good long term success,,,,B,
"After placing your amalgam in the amalgamator, the consistency of your amalgam is dry and crumbly. What does that mean?",Your amalgam was overmixed,Your amalgam is undermixed,Your capsule expired,You forgot to activate the capsule,,,,,B,
True/False: Eating seafood will give you a greater mercury exposure than the placement of a new amalgam restoration:,True,False,,,,,,,A,
If someone wanted to measure their level of mercury exposure then would collect,A saliva sample,A urine sample,A blood sample,None of the above. Instead they would test the air,,,,,B,
A D1 dental student presents to your office with Insomnia. The least probable reason for her insomnia is:,Her anxiety,The 12 amalgam restorations in her mouth,Her Adderall medication,Her 4 cups of coffee a day,,,,,B,
How can you safely work with amalgam in your dental office?,Keep the operatory well ventilated,Use high volume suction,Do not have carpeting,All of the above,,,,,D,
True/False: More mercury is released when removing a previous amalgam restoration than placing a new amalgam restoration,True,False,,,,,,,A,
You can be exposed to mercury by,Ingestion,Inhalation,A and B,Neither A nor B,,,,,C,
The ion of mercury has an affinity to which physiological system?,Nervous,Circulatory,Gastrointestinal,Reproductive,,,,,A,
The blue ringed contra angle hand piece,Has a 1:1 speed ratio with the rheostat,Has a 1:5 speed ratio with the rheostat,Has a 1:2 speed ratio with the rheostat,Has a 1:10 speed ratio with the rheostat,,,,,A,
Working on Maximum speed with the high speed handpiece would be at:,"25,000 RPM","125,000 RPM","200,000 RPM","400,000 RPM",,,,,C,
To make convergent walls I would use the following bur,330,169,56,789,,,,,A,
All the following are true EXCPET: Your set up for restoration of a Class II Amalgam should include:,A wedge where the apex faces the occlusal,The matrix band should be seated 1mm above the adjacent tooth's marginal ridge,Your matrix retainer should be loose to allow for flexibility,Burnishing your band prior to restoration will help establish a contact,,,,,C,
Wedges,Should be placed on the lingual,Prevent overhang,Help to create contact by separating the teeth,All of the above,,,,,D,
"When preparing your box for Class II molar amalgam, how wide does the proximal box need to be bucco-lingually?",1.5mm,2mm,As wide as you want,As wide as needed to break contact and see the tipoff the explorer,,,,,D,
"When seating a tofflemire matrix retainer in the mouth, it is important that your matrix retainer goes on the lingual surface of the teeth.",True,False,,,,,,,B,
On the tofflemire matrix retainer the open end of the U-shaped fork faces the gingiva,True,False,,,,,,,A,
"When folding a tofflemire to place into a tofflemire matrix retainer, the wider end will face the occlusal surface.",True,False,,,,,,,A,
"You are preparing #18MO for a Class II Amalgam. As you were preparing your proximal box, you slipped gingivally. You now have to recreate the gingival floor. How wide mesiodistally will your box be?",1.75 mm,1.5 mm,1.25 mm,Depends on how deep you slipped and how much enamel is left,,,,,D,
"A patient has extreme wear on the occlusal surface of his teeth and a needed restoration on tooth #29. Measuring from the deepest area, how deep is your preparation if the patient only has .5mm left of enamel?",.5 mm deep,1.0 mm deep,1.5 mm deep,2.0 mm deep,,,,,B,
The following prep would be called a,#12 Mesial,#12 Mesio-occlusal,#12 Distal,#12 Disto-occlusal,None of the above,,,,D,
"When preparing a Class II for an amalgam restoration, Statement 1: it is important to break gingival contact, Statement 2: because the decay is above the contact.",The first statement is true and the second statement is not true,The first statement is false and the second statement is true,Both the first and second statement is true,Both the first and second statement is false,,,,,A,
When preparing #21 for a Class I preparation it is important to,Hold your handpiece at a 45 degree angle as it relates to the occlusal plane,Be mindful of the oblique ridge,Be mindful of the transverse ridge,A and C,A and B,,,,D,
"On a Class II molar preparation, how wide does the proximal box need to be mesio-distally?",1.25mm,1.5mm,2mm,"No measurement can be given, it will be different for all patients",,,,,B,
All the following should go into the amalgam waste containers EXCEPT:,The amalgam capsule,The excess amalgam,The pillow and pestle,The amalgam well,,,,,D,
