title,Periodontics II Quiz 1 (Fall 2018),perio2,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
What is the most common clinical sign of trauma to the periodontium?,Tooth mobility,Pain,Bleeding Gums,Pocket Formation,,A,
What are signs of Occlusal Trauma?,Narrowing of the Periodontal Ligament,Horizontal Bone Loss,Root Resorption,None of the above,,C,
Which of the following cause Occlusal Trauma?,Faulty restorations,Parafunctional habits,Occlusal prematurities,All of the above,,D,
Herpes Zoster (Shingles) has the following features:,There are unilateral lesions that follow the infected nerve,Is usually not associated with pain,Is usually seen in children,a. and c.,,A,
Patients with Recurrent Herpetic Lesions present with which of the following:,Inflamed Gingiva,Elevated temperature,Multiple Vesicles,All of the above,,C,
Which of the following are features of Necrotizing Ulcerative Gingivitis?,There is invasion of the connective tissue by spirochetes,Primary features are bad breath and pseudomembrane formation,Secondary features include pain and bleeding,All of the above,,A,
What happens histologically when there is Drug Induced Gingival Enlargement?,Rete Pegs become shortened,The epithelium becomes thinner,There is thinning of the connective tissue,All of the above,None of the above,E,
Factors related to the Incidence and Prevalence of Drug Induced Gingival Enlargement include:,Dose and duration of drug use,Overall health of patient,Level of local factors,All of the above,,D,
Which statement is true regarding Chronic Inflammatory Enlargement?,It is only localized,It typically progresses quickly,It can be caused by mouth breathing,a. and c.,b. and c.,C,
According to Dr. Carranza what Grade is given to Gingival Enlargement that is confined to the interdental papilla?,Grade 0,Grade 1,Grade 2,Grade 3,,B,
