title,Endodontics Midterm Exam (Spring 2023),endo,midterm
question,option_a,option_b,option_c,option_d,correct,image
Disinfection of the root canal is accomplished by the dynamic duo of irrigation and obturation.,True,False,,,B,
Working length is measured by placing a file to the:,Radiographic apex,Apical foramen,Apical constriction,Anatomical apex,C,
"With stainless steel hand instruments, in larger sizes they become more flexible allowing a better negotiation of curved root canals.",True,False,,,B,
On average we instrument canals up to what file size?,20,35,45,50,B,
"When instrumenting the mesial root of a mandibular molar, the least appropriate taper to use is:",02,04,06,08,D,
Dentin found in the cervical third of the root canal is termed:,Peri-radicular dentin,Coronal dentin,Peri-cervical dentin,Pre-curvature dentin,C,
"When treating tooth #6, one should expect to use what length files?",21,25,31,35,C,
Rotary files should only be used once the canal is first instrumented up to a size:,8 or 10 k file,15 or 20 k file,25 or 30 k file,45or 40 k file,B,
"When accessing the maxillary central incisor in the Pre-clinic, it is prudent to use a diamond shoulder bur to help smooth the external outline form.",True,False,,,B,
"When accessing the maxillary central incisor, the widest portion of the preparation mesio-distally should be greater than or equal to 1/2 of the lingual surface, which provides for fully supported marginal ridges.",True,False,,,B,
The maxillary first bicuspid most commonly has:,1 root and 1 canal,2 roots and 1 canal,2 roots and 2 canals.,3 roots and 4 canals.,C,
The mesial extent of the access preparation for the maxillary molar should be ≥1.0 mm from the mesial marginal ridge.,True,False,,,B,
"For the preclinical protocol, the first rotary instrument placed in the canal (aside from the orifice opener) is a size:",15 02,15 04,30 04,20 04,B,
"Generally, rotary instrumentation goes first, followed by hand instrumentation.",True,False,,,B,
"When discussing files, a size 35 04, 21 mm file: the 04 refers to:",Tip size,Taper,Length.,None of the above,B,
"When obturating a canal, gutta percha should reach the working length with a loose fit, as tug back might cause the gutta percha cone to get stuck at the apex.",True,False,,,B,
"In the Pre-clinic, if your size 35 gutta percha cone extends past the working length, the solution is:",Choose a smaller cone,Choose a larger cone,Cut back the cone,Re-instrument the canal,C,
"When placing a rubber dam, the dam should cover the patients nose to prevent inhalation of root canal materials.",True,False,,,B,
"When accessing the maxillary central incisor, initial access penetration should be at what angle?",25,45,50,90,B,
"When accessing the maxillary incisor, one should clear the incisal edge by:",2 mm,4 mm,5 mm,1 mm,A,
The short shank spoon excavator is used inside the pulp chamber to help prevent perforation.,True,False,,,B,
The most important factor for preventing the formation of a periapical lesion is:,Disinfection,Conservative access,Obturation to the working length,Removing excess cement from the pulp chamber,A,
A tooth diagnosed with ‘asymptomatic apical periodontitis' must present with a periapical lesion on radiograph.,True,False,,,A,
A tooth diagnosed with ‘symptomatic apical periodontitis' must present with a periapical lesion on radiograph.,True,False,,,B,
The best diagnostic test for differentiating a periapical radiolucency which is endodontic in origin versus one which isn't:,Percussion test,Palpation test,Vitality test,Bite test,C,
Which diagnoses is a true dental emergency?,Symptomatic apical periodontitis,Chronic apical abscess.,Asymptomatic apical abscess,Acute apical abscess,D,
It is suggested that one prescribe an antibiotic for patients who present with a chronic apical abscess.,True,False,,,B,
The first choice of antibiotics for patients who present with a dental infection is:,Clindamycin,Azithromycin,Amoxicillin,Augmentin,C,
"If one finds a fistula on the gingiva adjacent to tooth #14, one can be confident that tooth 14 has a chronic infection, and root canal is warranted.",True,False,,,B,
One would expect that a tooth associated with a fistula would test non vital.,True,False,,,A,
