title,Fixed Prosthodontics Final Exam (Fall 2018),fixedpros,final
question,option_a,option_b,option_c,option_d,correct,image
"When polishing a material, the abrasive must be harder than the material to be polished:",True,False,,,A,
"When discussing a patient with a Class III occlusion, the mandibular arch is usually posterior to the maxilla:",True,False,,,B,
"When seating a restoration, the occlusion is the first thing to be adjusted:",True,False,,,B,
The Superior Cavity of the TMJ allows for gliding and translatory movements:,True,False,,,A,
Bis-Acryl provisional material has a higher wear rate than PMMA:,True,False,,,B,
A screw type post is the LEAST retentive type of post:,True,False,,,B,
The Neurocranium refers to the facial skeleton:,True,False,,,B,
A Base Metal Alloy must contain at least 40% Noble metal:,True,False,,,B,
A Gates Gliddon drill cuts more aggressively than a Peeso reamer:,True,False,,,B,
A Semi-Adjustable articulator is a Class_______ Articulator:,I,II,III,IV,C,
Resin Cements have the greatest compressive strength and the lowest solubility:,True,False,,,A,
Solder should possess a fusion temperature 60 degrees C higher than the metal being soldered:,True,False,,,B,
Glass ionomer cements do not release flouride:,True,False,,,B,
A solder joint placed diagonally through the middle of a pontic is stronger than a solder joint placed interproximally:,True,False,,,A,
The MOST common cause of a poorly adapted crown margin is:,Poor casting technique,Incomplete seating of the crown,Poor impression,None of the above,C,
"When discussing Dental Casting Gold Alloys, a Type I alloy is harder than a Type IV alloy:",True,False,,,B,
Which of the following is NOT a mechanism for luting a dental restoration:,Nonadhesive (mechanical) luting,Micromechanical luting,Molecular adhesion,Thermal adhesion,D,
The Curve of Wilson is always related to the Upper arch:,True,False,,,B,
The margin of a restoration is considered to be open if the opening gap is 50 microns or more:,True,False,,,A,
The maxillary buccal cusps and the mandibular lingual cusps are considered Supporting Cusps:,True,False,,,B,
The Internal cavity of the TMJ allows for Hinge rotation:,True,False,,,A,
The buccal cusp of tooth #13 occludes with teeth:,19 and 20,20 and 21,19 only,None of the above,A,
Alloys are softer than pure metals:,True,False,,,B,
"When designing a fixed prosthesis and the abutment teeth are tilted, you should consider:",Orthodontic uprighting,Nonrigid connector,Split pontic attachment,All of the above,D,
The Knoop scale is used to measure:,Melting temperatures of metals,Hardness of dental materials,Anxiety of D2 students taking Fixed Final Exam,None of the above,B,
"The higher the Fineness of a dental solder, the higher its melting temperature:",True,False,,,A,
A screw type post is the LEAST likely to fracture a root:,True,False,,,B,
When discussing mandibular movement: Statement 1: depression refers to the closing of the mouth. Statement 2: elevation refers to the opening of the mouth.,The first statement is True,The second statement is true,Both statements are True,Both statements are False,D,
PMMA has a higher shrinkage percentage than Bis-Acryl:,True,False,,,A,
When a porcelain fused to metal restoration is fabricated the bonding interface between metal and ceramic is crucial. What type of bonding occurs between the metal and non metal:,Covalent,Ionic,,,B,
The side toward which the mandible moves in lateral excursion is called the Non-Working side:,True,False,,,B,
We appreciate Gloria Gong because:,She is ALWAYS helpful,She ALWAYS knows the answer,She helps us through the IT maze,All of the above,D,
Statement 1: PMMA is an unfilled resin material Statement 2: Bis-Acryl is a filled resin material:,"First statement is true, second statement is false","First statement is false, second statement is false",Both statements are true,,C,
"When casting a post pattern in an investment ring, the mix of the investment material should include more water than the usual mix. This will allow for a post with a passive fit:",True,False,,,A,
"When determining the origin of a draining fistula, to determine which tooth requires endodontic therapy, which of the following diagnostic aids are used:",A radiograph,A gutta percha point inserted into the fistula,Questioning the patient regarding type and location of symptoms.,All of the above,D,
It has been my pleasure to work with Dr. Stan Freeman in presenting Introduction to Fixed Prosthodontics to the class of 2021.,Merry Christmas and Happy New Year,I love this course,I hope exercises sign off could be easier next semester,,C,
