title,Ethics Final Exam (Summer 2019),ethics,,"1 question (about the ADA Ethics Hotline and the school's SPEA chapter) has its answer choices cut off after the first option in the source file, so it was omitted from this practice exam."
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A patient presents with deep caries in one of his teeth. His dentist explains that the best treatment is a crown. He asks the dentist if he could do a filling. The dentist explains that a filling can be done but is not his best option as she does not know how long it will hold up. The patient insists that the dentist does the filling. The dentist performs the filling as the patient wants. This is an example of which of the following ethical principles?,Autonomy,Beneficence,Non-maleficence,Justice,Veracity,,A,
"Consider the following three statements: I. It is unethical for a dentist to practice while abusing controlled substances, alcohol or other chemical agents that impair the ability to practice. II. All dentists have an ethical obligation to urge chemically-impaired colleagues to seek treatment. III. Dentists do not have an ethical responsibility to report evidence of an impaired colleague to the professional assistance committee of a dental society if that dentist does not self-report. Which of these statements are CONSISTENT WITH the ADA Principles of Ethics and Code of Professional Conduct?","I, II, and III.",I and II.,I and III.,II and III.,None of these statements are CONSISTENT WITH the ADA Principles of Ethics and Code of Professional Conduct.,,B,
Which of the following statements is FALSE?,Heroin addiction cannot be related to exposure to prescription opioids.,Dental prescriptions for opioids have played a role in the opioid crisis.,Pharmaceutical companies have played a role in the opioid crisis by misleading the lay public and medical professionals about the risks of opioids.,"Despite their knowledge and training, healthcare professionals are at risk of opioid addiction.",The illegal diversion of opioid medications by patients to family and friends has contributed to the opioid crisis.,,A,
Which of the following statements describes a good pain management practice after dental/oral surgical treatment?,"If opioids are necessary, a 7-day supply should be prescribed.","Opioid prescriptions can be renewed twice without evaluating the patient in-person, but for subsequent renewals, the patient should be re-evaluated in person.",NSAID's (non-steroidal anti-inflammatory medications) should not be utilized as the first-line pain medications as they do not provide adequate pain management for these procedures.,Long-acting local anesthetics can be utilized at the surgical appointment to decrease the need for post-operative analgesics.,Patients should be given whatever pain-killers they want. It is not the dentist's responsibility to police society.,,D,
Which of the following categories includes people at increased risk for harm from opioids?,Patients over 65.,Adolescents.,Patients with co-morbid substance use disorder.,Patients with co-morbid mental health disorder.,Patients with underlying kidney and liver disease.,All of the categories listed here include people at increased risk for harm from opioids.,F,
Which of the following behaviors are often exhibited by patients who may be drug-seeking?,Inappropriate behavior.,Seductive and ingratiating actions.,Present for emergency treatment.,Request specific medications.,Unreliable with appointments.,All of the behaviors listed here are often exhibited by patients who may be drug-seeking.,F,
Which of the following statements is FALSE regarding patients who are “high” or impaired by substance use at the time of treatment?,They can provide legal informed consent for a procedure.,They may not be capable of complying during treatment.,It may be best to defer treatment until they are not “high” or impaired.,They may not be capable of complying with post-operative instructions.,They may not be capable of making the best decisions regarding their treatment.,,A,
Which of the following two statements is most accurate?,True addiction is a disease.,True addiction is simply a choice made by the individual.,,,,,A,
Which of the following actions may be considered “cheating” or “unethical behavior” by dental students?,Stockpiling laboratory supplies that may be needed in the future.,Sending work to a dental laboratory and submitting it as your own.,Delaying treatment on a patient so that the treatment could be done at the best time for the student.,Performing unnecessary treatment on a patient even though it does not in any way harm the patient.,All of the actions described here should be considered “cheating” or “unethical behavior.”,,E,
TCDM Faculty actions should be performed in consideration of the fact that the faculty has obligations to which of the following groups?,"The public, TCDM students, and TCDM/TCUS itself.",The public and TCDM students.,The public and TCDM/TCUS itself.,TCDM students and TCDM/TCUS itself.,,,A,
