title,Intro to Clinical Dentistry Exam 1 (Spring 2018),icd,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Infection Control Protocols are used to prevent transmission from,provider to patient,patient to provider,patient to patient,a and b,all the above,E,
Standard (Universal) Precautions do not need to be used in an operatory,When a procedure that will not cause bleeding is done,When you know the patient has no infectious diseases,When you are interviewing a patient to obtain a medical and dental history,None of the above,,D,
The purpose of using infection control procedures in the preclinical environments,is to prevent transmission from student to student,to prevent transmission from student to faculty,to change our habits and prepare for the clinical environment,to keep the manikins and equipment clean and protected,,C,
Effective communication is a skill that,allows you to obtain all pertinent information from a patient,is unnecessary to properly treat patients,"is nice to have, but not essential for a successful oral health team",is best learned after graduation in private practice,,A,
A key aspect of proper interview technique is,active listening,scaring the patient into revealing all information,asking questions in a judgmental manner,asking closed ended questions,leading a patients' response to questions,A,
The purpose of Four Handed Dentistry is to achieve all except,a more efficient work flow,a decrease in muscular stress on the provider,better focus on patient treatment,better control of staff work responsibilities,,D,
The proper instrument handoff technique,allows the transfer of instruments without the provider moving from the operating field,increases infection control prevention.,does not need to be practiced for smooth transfer.,can be done from any position around the patient,a and b,A,
"to insure infection control, Providers should wash their hands:",before placing gloves,after removing gloves,after cleaning an operatory,b and c,All of the above,E,
The intake clinic determines,the treatment plan for new patients,an individual fee schedule for each patient,if a patient is viable for treatment by a dental student,a and c,all of the above,C,
"it is a good idea to develop a script for patient interviews, in order",to have a consistent approach to data gathering,to show confidence in the ability to interact with the patient,to ensure that no patient information is missed,a and c,All of the Above,E,
"When performing a Head and Neck extra-oral exam, the tools we use to conduct the exam are",palpation,observation,palpation and observation,"palpation, observation and questioning",,D,
Lymph nodes that we examine during a head and neck exam include.,Preauricular Lymph nodes,Axillary Lymph Nodes,Inguinal lymph nodes,Infra-clavicular Lymph nodes,,A,
The treatment plan presentation to instructor criteria in the rubrics assesses,if the student is well versed in the treatment plan,if the student can defend the choices made in the treatment plan,if the student chose the right treatment plan that the instructor wanted,a and b,All of the above,D,
Professionalism goals do not include,skills and traits,respectful behavior toward other students,Patient Management,Procedure management,none of the above,E,
Information that is not routinely gathered during the Patient Intake visit.,BW Radiographs,Panoramic radiograph,Full mouth intraoral Series,Cone Beam Computer Tomography (CBCT),c and d.,E,
"To begin to formulate all treatment plans, it is important to start with",Patients' Budget for treatment,Treatment goals for the patient,clinic schedule,Faculty availability for treatment plan presentation,,B,
Consent forms that must be complete before any treatment can be administered are,patient Informed consent for treatment,patient Protected Health information consent,Consent for E-mail use,acknowledgment of receipt of all consents,All of the above,E,
"When treatment planning replacement of a missing tooth with a fixed prosthesis, the factor(s) that need to be considered to decide on the possible methods of tooth replacement are",the status of teeth on either side of the edentulous area,the span of the edentulous area,Patient's medical health,Bone density,all of the above,E,
