title,Endodontics Final Exam (Spring 2018),endo,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Increased spatial resolution means,details can be separated based on the density of the x-ray,details close to one another can be separated on the x-ray more easily,the images are larger and more easily read,that contrast resolution also increases,,B,
Important parameters of CBCT does not include,pixel size,field of view,Voxel size,slice thickness/measurement accuracy,,A,
Voxels differ from pixels in the following way,voxels are two dimensional units,pixels are three dimensional units,voxels are three dimensional units,pixels show more detail than voxels,,C,
The smaller the voxel size,the greater the spatial resolution,the greater the contrast resolution,the lesser the spatial resolution,the lesser the contrast resolution,,A,
"In CBCT images of a failed molar root canal, the dentist cannot see",missed canals,internal and external resorption,how well adapted the gutta percha is to the canal walls,the full extent of bone loss around the roots,,C,
When doing mandibular molar endodontics the most important landmark the CBCT provides is,the number of canals present in the tooth,whether or not the canals are highly curved,the relationship of the IAN to the apices of the roots,just how calcified the canals are,,C,
Internal resorption differs from external resorption in the following way,internal resorption cannot be stopped by conventional endodontics,internal resorption can be stopped by conventional endodontics,external resorption is stopped by conventional endodontics,external resorption is self-limiting and requires no treatment,,B,
Manifestations of a vertical root fracture include:,thickened pdl,J-shaped bone loss around the affected tooth,shallow broad periodontal pocket,deep narrow periodontal pocket,,D,
The etiology of vertical root fractures does not include:,a history of endodontics,excessive brushing of the teeth for many years,excessive force applied during endodontic instrumentation and obturation,excessive tooth structure removal during endodontics,,B,
With vertical fractures in endodontically treated teeth,the endodontic cement tends to hold the tooth together,makes the fracture more apparent on x-ray,the obturation material can hide the fracture on x-ray.,the cement prevents the ingress of bacteria that would lead to infection,,C,
Fractures appear on a two-dimensional x-ray,when the cortical layer of bone is resorbed,when the trabecular bone is resorbed over 5 mm,when the trabecular bone is resorbed over 10 mm,under all the above circumstances,,A,
Iatrogenic predisposing factors for vertical fracture do not include,greater tapered preparations,micro-cracks produced by rotary instrumentation,an uneven thickness of remaining dentin,short arcs of motion at high frequencies,,D,
Most canals are,wider bucco-lingually than they are mesio-distally,wider mesio-distally than they are bucco-lingually,similar in both the mesio-distal and bucco-lingual dimensions,cleansed by preparing greater tapered conical spaces,,A,
Dentinal micro-cracks are more likely to develop when,short arcs of motion at high frequency are employed,oscillating instruments are used vigorously in the bucco-lingual plane,a continuous up and down motion is applied,greater tapered instruments are used in rotation be it continuous orinterrupted,,D,
What step would not be employed in the treatment of pulpal necrosis with acute apical abcess without swelling?,attain effective anesthesia,complete instrumentation of the canals,inter-visit medication,leave the access to the pulp open for drainage,,D,
