title,DAO Quiz 1 (Summer 2017),dao,quiz,"2 questions (about the meaning of the abbreviations CEJ/DEJ, and the number of embrasures around a proximal contact point) were fill-in-the-blank questions in the source, not multiple choice, so they were omitted from this practice exam."
question,option_a,option_b,option_c,option_d,correct,image
The “Clinical Crown” of the tooth is:,The portion of the tooth covered by enamel,The portion of the tooth that is visible in the mouth,The portion of the tooth from the “CEJ” to the occlusal surface,,B,
tooth #12 in the “Universal system” is?,the upper right first premolar,the upper left first premolar,the upper right lateral incisor,,B,
Tooth #12 in the “FDI” system is?,the upper right first premolar,the upper left first premolar,the upper right lateral incisor,,C,
Which of the following are “Succedaneous” teeth?,lower molars,upper incisors,lower premolars,,C,
Which of the following terms might be interchangeable? 1. Lingual 2. Facial 3. Buccal 4. Occlusal,1 and 3,2 and 4,2 and 3,1 and 2,C,
The surface of the tooth that faces “TOWARDS” the midline is?,distal,incisal,mesial,lingual,C,
Tooth “A” in the universal numbering system is?,The primary upper left 2nd molar,The primary upper right 2nd molar,The primary upper right 1st molar,The primary lower right 2nd molar,B,
From how many lobes does the maxillary central incisor develop?,1,2,3,4,D,
The “anterior-posterior” curve of the teeth in the arch is called?,curve of MUNSON,curve of SPEE,curve of WILSON,,B,
Maxillary molars normally have how many roots?,1,2,3,4,C,
The “CERVICAL LINE”,Is normally higher towards the incisal (occlusal) on the distal of a tooth,Is normally higher towards the incisal (occlusal) on the mesial of a tooth,Is approximately the same height on the mesial and distal of a tooth,,B,
