title,PCOD I Final Exam (Fall 2020),pcod1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
All of the following are characteristics of enamel except:,Covers and protects the dentin,Has the ability to repair itself,Hardest tissue in the human body,Shiny,Highly mineralized,B,
The cell responsible for enamel formation is:,The ameloblast,The odontoblast,The cementocyte,The cementoclast,The osteoblast,A,
The reduced enamel epithelium consists of all the following except:,Stellate reticulum,Stratum intermedium,Ameloblasts,Outer enamel epithelial cells,Inner enamel epithelial cells,E,
The enamel rod is the crystalline structural unit of enamel. Each rod runs parallel to the enamel surface.,Both statements are true,Both statements are false,"First statement is true, second statement is false","First statement is false, second statement is true",,C,
All the following structures can only be seen with a microscope except:,Enamel tufts,Imbrication lines,Enamel lamellae,Bands of Hunter-Schreger,Lines of retzius,B,
Each enamel rod is filled in with:,Air,Calcium hydroxyapatite crystals,Calcium salts,An odontoblastic process,Enamelin,B,
Interglobular dentin is highly mineralized. Globular dentin is less mineralized.,Both statements are true,Both statements are false,"First statement is true, second statement is false","First statement is false, second statement is true",,B,
Tertiary dentin is:,Formed before completion of the apical foramen,More mineralized than secondary dentin,More mineralized than primary dentin,Formed because of injury to the tooth,First dentin to be formed,D,
The dentin that forms the wall of the tubule is:,Peritubular dentin,Intertubular dentin,A canaliculus,Mantle dentin,Circumpulpal dentin,A,
The bulk of the dentin found in a tooth is:,Mantle dentin,Circumpulpal dentin,Tertiary dentin,Predentin,Secondary dentin,B,
"After taking an alginate impression on a patient, the first thing you need to do is wrap your alginate in a",Plastic wrap,Damp towel,Dry towel,Soaking wet towel,,B,
Wrapping your alginate impression in a wet towel_______,Slows down the distortion process,Keep the alginate impression from fading colors,"Does nothing, there is no purpose for this",Keeps debris from contaminating the impression,,A,
When placing the tray with alginate material in a patient’s mouth you must..,Press two fingers bilaterally on the anterior teeth,Press one finger on the occlusal surface of the anterior teeth,Press two fingers bilaterally on the occlusal surface of posterior teeth,"You do not need to hold the tray, the alginate will hold it in place",,C,
