title,Orthodontics Exam 1 (Spring 2020),ortho,exam1
question,option_a,option_b,option_c,option_d,correct,image
Anatomic points are drawn on panoramic x-rays and angles/measurements are derived from these points,True,False,,,B,
"In cephalometric analysis and the angle SNA, A refers to?:",A point on the mandible,A point on the maxilla,A point on the forehead,A point in the cranial base,B,
Which of the following best represents the value of extra-oral and intra-oral photos as part of orthodontic records?,Define starting occlusal relationship,Define facial balance,Allow evaluation of treatment progress,All of the above,D,
Panoramic x-rays do not provide information on which of the following?,Direction of facial growth,Root position and length,Eruption during the mixed dentition,The presence of missing teeth,A,
What might one expect to see in a hyperdivergent individual?,Very deep bite,Anterior open bite,Short lower face,A line tangent to the mandibular plane lies below the base of the cranium,B,
A high angle grower is characterized by what directions of growth,"More downward, less forward","Less downward, more forward",Neither downward nor forward,Upward and backward,A,
A line drawn tangent to the mandibular plane that intersects the head below the base of the cranium is characteristic of what type of grower?,Hyper-divergent,Normo-divergent,Hypo-divergent,High angle,C,
What might one expect to see in a hypodivergent individual?,Short lower face height,long lower face height,Equal upper and lower face heights,A line tangent to the mandibular plane lies within the base of the cranium,A,
A transverse discrepancy is also known as a?,Deep bite,Open bite,Crossbite,Overbite,C,
Which is NOT true of overbite?,Is a vertical measurement,Represents the vertical degree of overlap of the upper and lower incisors,Is commonly confused with overjet by the public,Is considered normal at 100 percent,D,
What of the following is NOT true of overjet?,Esthetics often promote desire for overjet correction,Risk of anterior trauma increases with increased overjet,"Without incisal guidance, continued eruption of mandibular teeth can be destructive to upper anterior palatal tissue",Severe overjet is irrelevant to risk of trauma to upper anterior teeth,D,
When considering proper incisor inclination or angulation:,Incisors should be flared significantly,Incisors should be retroclined significantly,Incisors should be leaning slightly forward,Retroclined incisors is always a treatment goal,C,
The main growth site in the mandible is:,Mandibular suture,Symphyseal suture,ramus suture,Condyle,D,
Orthodontists can use the leeway space to help correct crowding situations because?,The erupting premolars are larger than the deciduous molars,The erupting premolars are smaller than the deciduous molars,The erupting premolars are equal in size to the deciduous molars,The premolars always have delayed eruption,B,
Which of the following is true about a crossbite?,Is always anterior only,Is always posterior only,Can present both anterior and posterior,Is always bilateral,C,
A normo-divergent grower would exhibit the following:,Long lower face,A line tangent to the mandibular plane lies below the base of the cranium,A line tangent to the mandibular plane intersects the head at the base of the cranium,A line tangent to the mandibular plane intersects the head within the base of the cranium,C,
Completely blocked out canines would represent:,Severe crowding,No crowding,mild crowding,moderate crowding,A,
Lip incompetence refers to:,Closure of the lips with muscle strain,Closure of the lips without muscle strain,Well balanced faces,Class 3 individuals,A,
In a well balanced face:,Lower face height is roughly equal to upper face height,Lower face height is longer than upper face height,Lower face height is shorter than upper face height,Upper and lower face heights are not equal,A,
"In cephalometric analysis and the angle SNB, B refers to?:",a point on the mandible,a point on the maxilla,a point on the forehead,a point in the cranial base,A,
Normal overjet is considered:,2.5-3 mm,4-5 mm,6-7 mm,7+ mm,A,
Moderate overbite is considered:,0-10%,10-25%,30-60%,80-90%,C,
A Class II malocclusion is typically characterized by a,Prognathic mandible,Retrognathic mandible,“strong chin”,Anterior Crossbite,B,
A class III malocclusion is typically characterized by a,Prognathic mandible,Retrognathic mandible,“weak chin”,Large overjet,A,
Which best describes the Angle Classification?,Class I,Class 2,Class 3,Class 4,B,images/ortho-exam1-spring-2020/fig25.jpg
Inclination of the incisors would be considered:,upper incisors retroclined,upper incisors proclined,upper incisors normal,both upper and lower incisors retroclined,B,images/ortho-exam1-spring-2020/fig26.jpg
The lower arch has a deep Curve of Spee. This would:,Not affect crowding,Decrease crowding,Increase crowding,Cause bite opening,C,images/ortho-exam1-spring-2020/fig27.jpg
The overjet is considered:,Mild,Moderate,Normal,Severe,D,images/ortho-exam1-spring-2020/fig28.jpg
Which best describes the Angle Classification?,Class I,Class 2,Class 3,Class 4,B,images/ortho-exam1-spring-2020/fig29.jpg
Crowding in the upper arch would be considered:,Non-crowded,Mild,Moderate,Severe,D,images/ortho-exam1-spring-2020/fig30.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Normal,C,images/ortho-exam1-spring-2020/fig31.jpg
"Based on e-line, facial balance would best be described as:",Full for Caucasian,The e-line does not describe facial balance,Showing a class III facial type,Balanced for Caucasian,D,images/ortho-exam1-spring-2020/fig32.jpg
Which best describes the incisor inclination?,Upper incisors proclined,Upper and lower incisors retroclined,Upper and lower incisors proclined,Normal incisor inclination,B,images/ortho-exam1-spring-2020/fig33.jpg
SM is considered what type of grower?,Normo-divergent,Hypo-divergent,Hyper-divergent,None of the above,C,images/ortho-exam1-spring-2020/fig34.jpg
"The overjet, at 9 mm, is considered:",Normal,Mild,Moderate,Severe,D,images/ortho-exam1-spring-2020/fig35.jpg
Which best describes the Angle Classification?,Class I both sides,Class 2 both sides,"Class I on the right, class 2 on the left","Class 2 on the right, class I on the left",D,images/ortho-exam1-spring-2020/fig36.jpg
What best describes the transverse problem?,No crossbite,left side posterior crossbite,Anterior and posterior crossbites,Posterior crossbite on both sides,C,images/ortho-exam1-spring-2020/fig37.jpg
